"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Auston Matthews","April 4, 2018 - April 4, 2018","TOR","C","2","16.22","11.03","17.05","-6.02","39.28","40.8","63.07","8.51","15.6","-7.09","35.3","31.48","57.71","6.05","11.88","-5.83","33.74","22.38","43.95","--","--","--","--","--","0.31","0.67","-0.36","31.63","1.15","2.48","1","1","--","3.7","3.7","--","100","--","100","3.64","95.71","-3.64","4.29","100","99.35","0.65"
"Connor Brown","April 4, 2018 - April 4, 2018","TOR","R","2","12.58","8.99","13.38","-4.39","40.19","42.88","63.82","6.65","12.5","-5.85","34.73","31.72","59.62","6.04","9.76","-3.72","38.23","28.81","46.55","--","1.09","-1.09","--","5.2","0.27","0.52","-0.25","34.18","1.29","2.48","--","--","--","--","--","--","88.83","--","91.28","4.06","95.84","-4.06","-4.56","88.83","99.9","-11.07"
"Connor Carrick","April 4, 2018 - April 4, 2018","TOR","D","1","12.18","15.5","12.71","2.79","54.95","76.35","62.61","13.04","11.28","1.76","53.62","64.24","55.57","10.26","8.22","2.04","55.52","50.54","40.49","--","2.15","-2.15","--","10.59","0.45","0.61","-0.16","42.45","2.22","3","--","1","1","--","4.93","--","73.84","--","80.94","3.45","94.59","-3.45","-13.65","73.84","98.04","-24.2"
"Jake Gardiner","April 4, 2018 - April 4, 2018","TOR","D","2","20.55","19.19","19.43","-0.24","49.69","56.03","56.73","12.68","17.54","-4.86","41.96","37.02","51.21","9.6","13.79","-4.19","41.04","28.03","40.26","--","--","--","--","--","0.34","0.71","-0.37","32.38","0.99","2.07","1","--","-1","2.92","--","--","100","--","100","2.68","95.95","-2.68","4.05","100","98.63","1.37"
"James Van Riemsdyk","April 4, 2018 - April 4, 2018","TOR","L","1","11.32","9.92","11.51","-1.59","46.29","52.58","61.01","6.65","10.62","-3.97","38.51","35.25","56.29","6.04","7.86","-1.82","43.45","32.01","41.66","--","1.09","-1.09","--","5.78","0.27","0.49","-0.22","35.53","1.43","2.6","--","--","--","--","--","--","86.13","--","89.74","4.06","95.39","-4.06","-5.65","86.13","99.45","-13.31"
"Kasperi Kapanen","April 4, 2018 - April 4, 2018","TOR","R","1","9.15","6.17","8.79","-2.62","41.24","40.46","57.64","3.46","5.13","-1.67","40.28","22.69","33.64","1.63","3.54","-1.91","31.53","10.69","23.21","--","--","--","--","--","0.1","0.56","-0.46","15.15","0.66","3.67","--","--","--","--","--","--","100","--","100","2.89","89.08","-2.89","10.92","100","91.97","8.03"
"Leo Komarov","April 4, 2018 - April 4, 2018","TOR","C","2","8.7","5.2","8.68","-3.48","37.46","35.86","59.86","2.49","5.97","-3.48","29.43","17.17","41.17","1.63","4.38","-2.75","27.12","11.24","30.21","--","--","--","--","--","0.05","0.58","-0.53","7.94","0.34","4","--","--","--","--","--","--","100","--","100","2.01","90.28","-2.01","9.72","100","92.29","7.71"
"Mitch Marner","April 4, 2018 - April 4, 2018","TOR","C","1","16.33","17.85","9.71","8.14","64.77","65.58","35.68","15.67","9.85","5.82","61.4","57.58","36.19","9.53","6.96","2.57","57.79","35.02","25.57","--","1.05","-1.05","--","3.86","0.66","0.52","0.14","55.93","2.42","1.91","--","--","--","--","--","--","84.91","--","89.34","4.21","94.72","-4.21","-5.38","84.91","98.93","-14.02"
"Morgan Rielly","April 4, 2018 - April 4, 2018","TOR","D","1","19.23","13.63","13.39","0.24","50.44","42.53","41.78","10.52","12.53","-2.01","45.64","32.82","39.1","4.12","10.16","-6.04","28.85","12.85","31.7","--","2.15","-2.15","--","6.71","0.49","0.77","-0.28","38.89","1.53","2.4","--","1","1","--","3.12","--","78.84","--","82.84","4.66","93.85","-4.66","-11.01","78.84","98.51","-19.67"
"Nazem Kadri","April 4, 2018 - April 4, 2018","TOR","C","1","15.55","16.25","9.71","6.54","62.6","62.7","37.47","14.99","9.85","5.14","60.35","57.84","38.01","9.53","6.96","2.57","57.79","36.77","26.86","--","1.05","-1.05","--","4.05","0.64","0.52","0.12","55.17","2.47","2.01","--","--","--","--","--","--","84.91","--","89.34","4.27","94.72","-4.27","-5.38","84.91","98.99","-14.08"
