"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Jake Gardiner","D","1","19.133333333333","17","19","47.22","11","16","40.74","9","11","45.00","0","1","0.00","8","7","53.33","2","1","66.67","0","0","0.00","0.00","90.91","0.909","6","4","4","60.00"
"","Roman Polak","D","1","14.25","13","16","44.83","9","13","40.91","6","8","42.86","0","0","0.00","6","7","46.15","3","5","37.50","0","0","0.00","0.00","100.00","1.000","1","5","3","25.00"
"","William Nylander","C","1","10.683333333333","9","13","40.91","4","10","28.57","4","9","30.77","0","1","0.00","4","8","33.33","1","5","16.67","0","0","0.00","0.00","88.89","0.889","5","5","1","83.33"
"","Leo Komarov","C","1","11.266666666667","8","12","40.00","7","12","36.84","6","7","46.15","0","0","0.00","7","5","58.33","3","2","60.00","0","0","0.00","0.00","100.00","1.000","3","4","7","30.00"
"","Ron Hainsey","D","1","15.283333333333","15","11","57.69","11","10","52.38","10","8","55.56","1","0","100.00","8","6","57.14","4","2","66.67","1","0","100.00","10.00","100.00","1.100","5","3","4","55.56"
"","Mitchell Marner","C","1","11.95","14","11","56.00","11","8","57.89","8","6","57.14","0","0","0.00","5","2","71.43","1","0","100.00","0","0","0.00","0.00","100.00","1.000","6","2","1","85.71"
"","Auston Matthews","C","1","13.566666666667","16","11","59.26","10","9","52.63","7","7","50.00","1","1","50.00","9","8","52.94","4","3","57.14","1","0","100.00","14.29","85.71","1.000","7","4","2","77.78"
"","Connor Carrick","D","1","13.3","14","11","56.00","9","8","52.94","7","6","53.85","0","0","0.00","6","3","66.67","1","0","100.00","0","0","0.00","0.00","100.00","1.000","6","3","3","66.67"
"","Zach Hyman","C","1","14.15","15","11","57.69","8","10","44.44","6","6","50.00","1","0","100.00","7","8","46.67","3","4","42.86","1","0","100.00","16.67","100.00","1.167","6","4","2","75.00"
"","Travis Dermott","D","1","10.283333333333","8","11","42.11","7","8","46.67","5","6","45.45","0","0","0.00","6","5","54.55","4","4","50.00","0","0","0.00","0.00","100.00","1.000","3","5","3","50.00"
"","Tyler Bozak","C","1","11.55","14","10","58.33","11","8","57.89","8","7","53.33","0","0","0.00","5","3","62.50","1","0","100.00","0","0","0.00","0.00","100.00","1.000","6","2","1","85.71"
"","Frederik Gauthier","C","1","7.85","4","10","28.57","3","7","30.00","2","4","33.33","0","0","0.00","2","4","33.33","1","4","20.00","0","0","0.00","0.00","100.00","1.000","0","3","1","0.00"
"","Morgan Rielly","D","1","13.683333333333","16","9","64.00","12","8","60.00","8","6","57.14","1","0","100.00","9","5","64.29","3","2","60.00","1","0","100.00","12.50","100.00","1.125","8","3","5","61.54"
"","James van Riemsdyk","L","1","10.833333333333","13","9","59.09","10","6","62.50","7","5","58.33","0","0","0.00","4","2","66.67","1","0","100.00","0","0","0.00","0.00","100.00","1.000","6","2","1","85.71"
"","Nazem Kadri","C","1","11.65","10","9","52.63","8","9","47.06","7","6","53.85","0","0","0.00","8","3","72.73","3","0","100.00","0","0","0.00","0.00","100.00","1.000","3","3","8","27.27"
"","Patrick Marleau","C","1","10.883333333333","8","9","47.06","7","9","43.75","6","6","50.00","0","0","0.00","7","2","77.78","3","0","100.00","0","0","0.00","0.00","100.00","1.000","3","3","7","30.00"
"","Matt Martin","L","1","6.0666666666667","4","7","36.36","3","4","42.86","2","3","40.00","0","0","0.00","2","2","50.00","1","2","33.33","0","0","0.00","0.00","100.00","1.000","0","2","0","0.00"
"","Connor Brown","R","1","8.8166666666667","11","4","73.33","8","3","72.73","5","2","71.43","1","0","100.00","6","3","66.67","4","1","80.00","1","0","100.00","20.00","100.00","1.200","1","1","2","33.33"
