"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Roman Polak","D","1","4.6","3","6","33.33","3","6","33.33","3","5","37.50","0","0","0.00","2","3","40.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","4","0","2","66.67"
"","Andreas Borgman","D","1","4.8","3","6","33.33","3","6","33.33","3","5","37.50","0","0","0.00","2","3","40.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","4","0","2","66.67"
"","Morgan Rielly","D","1","3.45","3","6","33.33","2","4","33.33","2","2","50.00","0","0","0.00","1","1","50.00","0","1","0.00","0","0","0.00","0.00","100.00","1.000","0","1","1","0.00"
"","Ron Hainsey","D","1","3.5833333333333","2","6","25.00","1","4","20.00","1","2","33.33","0","0","0.00","1","1","50.00","0","1","0.00","0","0","0.00","0.00","100.00","1.000","0","1","1","0.00"
"","Tyler Bozak","C","1","3.7833333333333","4","5","44.44","4","4","50.00","3","3","50.00","0","0","0.00","3","2","60.00","1","0","100.00","0","0","0.00","0.00","100.00","1.000","4","0","1","80.00"
"","Zach Hyman","C","1","3.8333333333333","4","5","44.44","2","4","33.33","2","4","33.33","0","1","0.00","0","2","0.00","0","2","0.00","0","1","0.00","0.00","75.00","0.750","1","1","1","50.00"
"","Patrick Marleau","C","1","3.9","3","5","37.50","1","4","20.00","1","4","20.00","0","1","0.00","0","2","0.00","0","2","0.00","0","1","0.00","0.00","75.00","0.750","1","1","1","50.00"
"","William Nylander","C","1","3.9166666666667","3","5","37.50","1","4","20.00","1","4","20.00","0","1","0.00","0","2","0.00","0","2","0.00","0","1","0.00","0.00","75.00","0.750","1","1","1","50.00"
"","James van Riemsdyk","L","1","2.8333333333333","4","4","50.00","4","3","57.14","3","2","60.00","0","0","0.00","3","1","75.00","1","0","100.00","0","0","0.00","0.00","100.00","1.000","4","0","0","100.00"
"","Mitchell Marner","C","1","3.4833333333333","4","4","50.00","4","3","57.14","3","2","60.00","0","0","0.00","3","1","75.00","1","0","100.00","0","0","0.00","0.00","100.00","1.000","4","0","0","100.00"
"","Matt Martin","L","1","2.75","1","3","25.00","1","3","25.00","1","2","33.33","0","0","0.00","0","2","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","1","0","2","33.33"
"","Kasperi Kapanen","R","1","2.6","1","3","25.00","1","3","25.00","1","2","33.33","0","0","0.00","0","2","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","1","0","2","33.33"
"","Connor Carrick","D","1","4.5666666666667","8","2","80.00","5","1","83.33","4","1","80.00","0","1","0.00","1","1","50.00","1","1","50.00","0","1","0.00","0.00","0.00","0.000","3","1","0","100.00"
"","Jake Gardiner","D","1","4.9","7","2","77.78","4","1","80.00","3","1","75.00","0","1","0.00","1","1","50.00","1","1","50.00","0","1","0.00","0.00","0.00","0.000","3","1","0","100.00"
"","Leo Komarov","C","1","3.4666666666667","5","2","71.43","3","1","75.00","3","0","100.00","0","0","0.00","1","0","100.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","1","1","0","100.00"
"","Dominic Moore","C","1","3.1333333333333","3","2","60.00","2","2","50.00","2","1","66.67","0","0","0.00","0","1","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","2","0","1","66.67"
"","Nazem Kadri","C","1","2.1166666666667","3","2","60.00","2","1","66.67","2","0","100.00","0","0","0.00","1","0","100.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","1","0","0.00"
"","Connor Brown","R","1","3.0333333333333","4","2","66.67","2","1","66.67","2","0","100.00","0","0","0.00","1","0","100.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","1","1","0","100.00"
