"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Leo Komarov","C","1","6.1333333333333","6","14","30.00","4","12","25.00","4","12","25.00","1","1","50.00","4","8","33.33","1","4","20.00","1","1","50.00","25.00","91.67","1.167","0","3","5","0.00"
"","Jake Gardiner","D","1","8.4","7","13","35.00","5","12","29.41","4","12","25.00","0","2","0.00","3","6","33.33","0","4","0.00","0","1","0.00","0.00","83.33","0.833","0","5","3","0.00"
"","Nazem Kadri","C","1","5.25","4","13","23.53","3","13","18.75","2","13","13.33","1","1","50.00","1","8","11.11","1","4","20.00","1","1","50.00","50.00","92.31","1.423","0","3","4","0.00"
"","Patrick Marleau","C","1","6.4666666666667","3","13","18.75","2","12","14.29","2","12","14.29","1","2","33.33","1","6","14.29","1","3","25.00","1","1","50.00","50.00","83.33","1.333","0","3","7","0.00"
"","Ron Hainsey","D","1","5.9833333333333","3","12","20.00","1","10","9.09","1","9","10.00","1","0","100.00","1","6","14.29","1","3","25.00","1","0","100.00","100.00","100.00","2.000","0","3","3","0.00"
"","Morgan Rielly","D","1","6.45","7","10","41.18","5","8","38.46","3","7","30.00","1","0","100.00","5","5","50.00","1","2","33.33","1","0","100.00","33.33","100.00","1.333","1","1","4","20.00"
"","Mitchell Marner","C","1","6.1166666666667","4","6","40.00","3","4","42.86","2","4","33.33","0","0","0.00","3","3","50.00","0","1","0.00","0","0","0.00","0.00","100.00","1.000","1","4","0","100.00"
"","Roman Polak","D","1","6.0333333333333","5","5","50.00","5","5","50.00","2","5","28.57","0","1","0.00","1","3","25.00","0","2","0.00","0","1","0.00","0.00","80.00","0.800","1","3","2","33.33"
"","Zach Hyman","C","1","4.9333333333333","0","5","0.00","0","5","0.00","0","5","0.00","0","1","0.00","0","1","0.00","0","1","0.00","0","0","0.00","0.00","80.00","0.800","1","5","1","50.00"
"","Connor Carrick","D","1","4.0666666666667","2","4","33.33","2","2","50.00","2","2","50.00","0","1","0.00","1","0","100.00","1","0","100.00","0","0","0.00","0.00","50.00","0.500","0","3","5","0.00"
"","William Nylander","C","1","5.0333333333333","0","4","0.00","0","4","0.00","0","4","0.00","0","1","0.00","0","1","0.00","0","1","0.00","0","0","0.00","0.00","75.00","0.750","0","4","1","0.00"
"","James van Riemsdyk","L","1","4.5333333333333","5","3","62.50","5","2","71.43","2","1","66.67","0","0","0.00","1","1","50.00","1","1","50.00","0","0","0.00","0.00","100.00","1.000","2","0","1","66.67"
"","Kasperi Kapanen","R","1","2.5333333333333","4","3","57.14","3","1","75.00","2","1","66.67","0","0","0.00","2","0","100.00","1","0","100.00","0","0","0.00","0.00","100.00","1.000","0","1","3","0.00"
"","Tomas Plekanec","C","1","2.45","3","3","50.00","2","1","66.67","1","1","50.00","0","0","0.00","1","0","100.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","1","3","0.00"
"","Andreas Johnsson","L","1","1.8833333333333","2","3","40.00","1","1","50.00","1","1","50.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","1","3","0.00"
"","Tyler Bozak","C","1","4.0666666666667","3","2","60.00","3","1","75.00","2","0","100.00","0","0","0.00","1","1","50.00","1","1","50.00","0","0","0.00","0.00","100.00","1.000","2","0","3","40.00"
"","Travis Dermott","D","1","4.55","3","2","60.00","3","0","100.00","2","0","100.00","0","0","0.00","1","0","100.00","1","0","100.00","0","0","0.00","0.00","100.00","1.000","1","2","4","20.00"
"","Connor Brown","R","1","3.5666666666667","4","1","80.00","4","1","80.00","1","0","100.00","0","0","0.00","1","1","50.00","0","1","0.00","0","0","0.00","0.00","100.00","1.000","1","0","1","50.00"
