"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Andreas Borgman","D","1","3.15","1","10","9.09","1","7","12.50","1","4","20.00","1","0","100.00","1","6","14.29","0","3","0.00","0","0","0.00","100.00","100.00","2.000","2","1","1","66.67"
"","Mitchell Marner","C","1","3.05","1","9","10.00","1","6","14.29","0","2","0.00","0","0","0.00","1","5","16.67","1","4","20.00","0","0","0.00","0.00","100.00","1.000","3","1","0","100.00"
"","Jake Gardiner","D","1","4.5833333333333","3","8","27.27","3","6","33.33","1","3","25.00","0","0","0.00","1","3","25.00","1","2","33.33","0","0","0.00","0.00","100.00","1.000","2","4","1","66.67"
"","Connor Carrick","D","1","4.4","3","8","27.27","3","5","37.50","1","3","25.00","0","0","0.00","1","4","20.00","1","2","33.33","0","0","0.00","0.00","100.00","1.000","1","4","1","50.00"
"","Auston Matthews","C","1","3.7333333333333","4","8","33.33","3","5","37.50","2","3","40.00","1","0","100.00","1","3","25.00","0","1","0.00","0","0","0.00","50.00","100.00","1.500","2","2","1","66.67"
"","James van Riemsdyk","L","1","2.7","1","7","12.50","1","6","14.29","0","2","0.00","0","0","0.00","1","5","16.67","1","4","20.00","0","0","0.00","0.00","100.00","1.000","3","1","0","100.00"
"","Tyler Bozak","C","1","2.75","1","7","12.50","1","6","14.29","0","2","0.00","0","0","0.00","1","5","16.67","1","4","20.00","0","0","0.00","0.00","100.00","1.000","3","1","0","100.00"
"","Roman Polak","D","1","2.7666666666667","0","7","0.00","0","5","0.00","0","3","0.00","0","0","0.00","0","3","0.00","0","1","0.00","0","0","0.00","0.00","100.00","1.000","2","1","1","66.67"
"","Patrick Marleau","C","1","3.6833333333333","4","5","44.44","3","2","60.00","2","1","66.67","0","0","0.00","1","0","100.00","1","0","100.00","0","0","0.00","0.00","100.00","1.000","2","2","2","50.00"
"","Morgan Rielly","D","1","2.3666666666667","4","4","50.00","3","3","50.00","3","2","60.00","1","0","100.00","2","2","50.00","1","2","33.33","0","0","0.00","33.33","100.00","1.333","3","0","1","75.00"
"","Ron Hainsey","D","1","2.5666666666667","3","4","42.86","2","1","66.67","2","0","100.00","0","0","0.00","1","0","100.00","1","0","100.00","0","0","0.00","0.00","100.00","1.000","2","0","2","50.00"
"","Connor Brown","R","1","2.4","2","4","33.33","2","2","50.00","2","2","50.00","0","0","0.00","1","1","50.00","1","0","100.00","0","0","0.00","0.00","100.00","1.000","1","2","1","50.00"
"","William Nylander","C","1","2","3","4","42.86","2","3","40.00","2","2","50.00","1","0","100.00","1","3","25.00","0","1","0.00","0","0","0.00","50.00","100.00","1.500","1","1","1","50.00"
"","Leo Komarov","C","1","3.15","3","3","50.00","3","3","50.00","2","2","50.00","0","0","0.00","1","0","100.00","1","0","100.00","0","0","0.00","0.00","100.00","1.000","2","2","1","66.67"
"","Zach Hyman","C","1","1.3833333333333","2","3","40.00","2","3","40.00","2","2","50.00","1","0","100.00","1","3","25.00","0","1","0.00","0","0","0.00","50.00","100.00","1.500","1","1","0","100.00"
"","Dominic Moore","C","1","1.4166666666667","0","3","0.00","0","1","0.00","0","1","0.00","0","0","0.00","0","1","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","1","1","0.00"
"","Matt Martin","L","1","0.78333333333333","0","1","0.00","0","1","0.00","0","1","0.00","0","0","0.00","0","1","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","1","0","0.00"
"","Nazem Kadri","C","1","0.7","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","0","1","0.00"
