"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Mitchell Marner","C","1","13.133333333333","13","24","35.14","10","20","33.33","7","14","33.33","2","2","50.00","6","13","31.58","2","8","20.00","1","2","33.33","28.57","85.71","1.143","8","6","3","72.73"
"","Andreas Borgman","D","1","12.666666666667","6","24","20.00","6","18","25.00","5","13","27.78","1","1","50.00","5","12","29.41","3","6","33.33","0","1","0.00","20.00","92.31","1.123","4","4","2","66.67"
"","Jake Gardiner","D","1","18.55","19","23","45.24","14","17","45.16","8","11","42.11","1","1","50.00","8","6","57.14","3","3","50.00","1","1","50.00","12.50","90.91","1.034","6","10","6","50.00"
"","Tyler Bozak","C","1","11.716666666667","11","22","33.33","8","20","28.57","5","14","26.32","1","2","33.33","5","13","27.78","1","8","11.11","0","2","0.00","20.00","85.71","1.057","8","5","3","72.73"
"","Roman Polak","D","1","13.483333333333","9","22","29.03","7","18","28.00","6","13","31.58","0","1","0.00","5","10","33.33","3","4","42.86","0","1","0.00","0.00","92.31","0.923","5","4","3","62.50"
"","James van Riemsdyk","L","1","11.633333333333","11","21","34.38","8","19","29.63","6","14","30.00","1","2","33.33","3","13","18.75","1","8","11.11","0","2","0.00","16.67","85.71","1.024","7","5","3","70.00"
"","Connor Carrick","D","1","13.933333333333","10","20","33.33","7","16","30.43","4","12","25.00","1","2","33.33","4","9","30.77","3","4","42.86","1","2","33.33","25.00","83.33","1.083","3","9","3","50.00"
"","Patrick Marleau","C","1","11.866666666667","15","16","48.39","14","9","60.87","10","4","71.43","2","0","100.00","7","4","63.64","5","2","71.43","1","0","100.00","20.00","100.00","1.200","3","3","5","37.50"
"","Morgan Rielly","D","1","12.433333333333","15","16","48.39","14","12","53.85","10","7","58.82","4","1","80.00","8","11","42.11","2","6","25.00","1","1","50.00","40.00","85.71","1.257","9","7","7","56.25"
"","Auston Matthews","C","1","14.1","10","15","40.00","7","11","38.89","5","7","41.67","2","0","100.00","4","6","40.00","2","2","50.00","1","0","100.00","40.00","100.00","1.400","5","9","5","50.00"
"","Leo Komarov","C","1","11.466666666667","13","14","48.15","13","10","56.52","9","5","64.29","2","0","100.00","6","4","60.00","5","2","71.43","1","0","100.00","22.22","100.00","1.222","3","3","4","42.86"
"","Connor Brown","R","1","11","8","13","38.10","8","8","50.00","6","6","50.00","1","1","50.00","3","6","33.33","1","1","50.00","0","1","0.00","16.67","83.33","1.000","4","5","5","44.44"
"","Ron Hainsey","D","1","13.366666666667","13","12","52.00","12","6","66.67","9","1","90.00","3","0","100.00","4","6","40.00","2","3","40.00","1","0","100.00","33.33","100.00","1.333","7","6","10","41.18"
"","William Nylander","C","1","11.966666666667","9","12","42.86","6","9","40.00","5","5","50.00","2","0","100.00","5","6","45.45","2","3","40.00","1","0","100.00","40.00","100.00","1.400","4","8","5","44.44"
"","Dominic Moore","C","1","7.0666666666667","2","10","16.67","2","6","25.00","1","4","20.00","0","1","0.00","1","5","16.67","0","1","0.00","0","1","0.00","0.00","75.00","0.750","2","4","3","40.00"
"","Matt Martin","L","1","7.7166666666667","8","9","47.06","8","7","53.33","3","4","42.86","0","1","0.00","7","6","53.85","4","2","66.67","0","1","0.00","0.00","75.00","0.750","3","4","3","50.00"
"","Zach Hyman","C","1","10.983333333333","8","9","47.06","6","8","42.86","6","5","54.55","2","0","100.00","4","5","44.44","1","2","33.33","1","0","100.00","33.33","100.00","1.333","4","8","4","50.00"
"","Nazem Kadri","C","1","2","0","3","0.00","0","1","0.00","0","1","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","0","1","0.00"
