"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Auston Matthews","February 21, 2018 - February 21, 2018","TOR","C","3","14.17","13.14","10.77","2.37","54.96","55.64","45.6","8.34","7.62","0.72","52.26","35.31","32.27","7.06","6.84","0.22","50.79","29.89","28.96","0.82","2.48","-1.66","24.85","3.47","10.5","0.45","0.49","-0.04","47.87","1.91","2.07","1","1","--","4.23","4.23","11.61","63.74","9.83","67.45","5.4","93.57","4.44","-26.12","75.36","98.97","-23.61"
"Connor Brown","February 21, 2018 - February 21, 2018","TOR","R","3","17.18","14.65","15.2","-0.55","49.08","51.16","53.08","10.77","11.26","-0.49","48.89","37.61","39.32","9.9","7.01","2.89","58.55","34.58","24.48","1.11","--","1.11","100","3.88","--","0.64","0.44","0.2","59.26","2.24","1.54","1","1","--","3.49","3.49","11.21","100","10.31","100","5.94","96.09","4.36","3.91","111.21","102.03","9.18"
"Connor Carrick","February 21, 2018 - February 21, 2018","TOR","D","2","15.1","8.28","18.07","-9.79","31.42","32.9","71.8","4.72","14.28","-9.56","24.84","18.75","56.74","4.76","9.84","-5.08","32.6","18.91","39.1","--","--","--","--","--","--","0.14","0.53","-0.39","20.9","0.56","2.11","1","--","-1","3.97","--","--","100","--","100","2.97","96.29","-2.97","3.71","100","99.25","0.75"
"Dominic Moore","February 21, 2018 - February 21, 2018","TOR","C","2","9.32","3.62","6.07","-2.45","37.36","23.3","39.08","1.64","4.98","-3.34","24.77","10.56","32.06","1.66","3.93","-2.27","29.7","10.69","25.3","--","--","--","--","--","--","0.03","0.11","-0.08","21.43","0.19","0.71","--","--","--","--","--","--","100","--","100","1.83","97.79","-1.83","2.21","100","99.62","0.38"
"Jake Gardiner","February 21, 2018 - February 21, 2018","TOR","D","3","18.82","9.21","21.26","-12.05","30.23","29.36","67.78","9.15","18.45","-9.3","33.15","29.17","58.82","7.56","15.86","-8.3","32.28","24.1","50.56","0.82","2.48","-1.66","24.85","2.61","7.91","0.53","0.98","-0.45","35.1","1.69","3.12","--","1","1","--","3.19","10.85","84.36","8.96","86.56","5.79","94.69","3.17","-8.13","95.21","100.48","-5.27"
"James Van Riemsdyk","February 21, 2018 - February 21, 2018","TOR","L","3","13.9","12.63","13.87","-1.24","47.66","54.52","59.87","8.84","9.97","-1.13","47","38.16","43.04","8.01","6.73","1.28","54.34","34.58","29.05","1.11","--","1.11","100","4.79","--","0.54","0.38","0.16","58.7","2.33","1.64","1","1","--","4.32","4.32","13.86","100","12.56","100","6.11","96.19","6.45","3.81","113.86","102.3","11.56"
"Kasperi Kapanen","February 21, 2018 - February 21, 2018","TOR","R","3","9.93","4.62","8.71","-4.09","34.66","27.92","52.63","2.65","7.56","-4.91","25.95","16.01","45.68","2.67","5.81","-3.14","31.49","16.13","35.11","--","--","--","--","--","--","0.09","0.18","-0.09","33.33","0.54","1.09","--","--","--","--","--","--","100","--","100","3.4","97.62","-3.4","2.38","100","101.02","-1.02"
"Leo Komarov","February 21, 2018 - February 21, 2018","TOR","C","2","9.3","3.62","7.1","-3.48","33.77","23.35","45.81","1.64","6.01","-4.37","21.44","10.58","38.77","1.66","4.96","-3.3","25.08","10.71","32","--","--","--","--","--","--","0.03","0.14","-0.11","17.65","0.19","0.9","--","--","--","--","--","--","100","--","100","1.83","97.67","-1.83","2.33","100","99.5","0.5"
"Mitch Marner","February 21, 2018 - February 21, 2018","TOR","C","3","13.73","7.24","12.33","-5.09","37","31.64","53.88","5.34","11.67","-6.33","31.39","23.34","51","3.54","10.17","-6.63","25.82","15.47","44.44","0.86","--","0.86","100","3.76","--","0.44","0.57","-0.13","43.56","1.92","2.49","--","--","--","--","--","24.29","100","16.1","100","8.24","95.12","7.87","4.88","124.29","103.36","20.94"
"Morgan Rielly","February 21, 2018 - February 21, 2018","TOR","D","2","19.55","17.21","13.69","3.52","55.7","52.82","42.02","11.64","9.25","2.39","55.72","35.72","28.39","7.5","6.98","0.52","51.8","23.02","21.42","1.97","--","1.97","100","6.05","--","0.87","0.33","0.54","72.5","2.67","1.01","1","--","-1","3.07","--","26.27","100","16.92","100","7.47","96.43","9.45","3.57","126.27","103.91","22.36"
"Nazem Kadri","February 21, 2018 - February 21, 2018","TOR","C","3","14.87","9.82","16.44","-6.62","37.4","39.62","66.33","7.09","13.83","-6.74","33.89","28.61","55.8","3.62","10.6","-6.98","25.46","14.61","42.77","0.86","--","0.86","100","3.47","--","0.53","0.64","-0.11","45.3","2.14","2.58","--","--","--","--","--","23.76","100","12.13","100","7.48","95.37","4.65","4.63","123.76","102.85","20.91"
"Nikita Zaitsev","February 21, 2018 - February 21, 2018","TOR","D","3","17.3","12.45","13.2","-0.75","48.54","43.18","45.78","8.89","11.74","-2.85","43.09","30.83","40.72","8.98","10.85","-1.87","45.28","31.14","37.63","--","2.48","-2.48","--","--","8.6","0.55","0.67","-0.12","45.08","1.91","2.32","--","2","2","--","6.94","--","77.14","--","78.88","6.19","94.29","-6.19","-15.42","77.14","100.48","-23.34"
"Patrick Marleau","February 21, 2018 - February 21, 2018","TOR","C","3","13.83","8.16","12.98","-4.82","38.6","35.4","56.31","6.18","12.36","-6.18","33.33","26.81","53.62","4.33","10.88","-6.55","28.47","18.79","47.2","0.86","--","0.86","100","3.73","--","0.48","0.58","-0.1","45.28","2.08","2.52","--","--","--","--","--","19.86","100","13.92","100","7.77","95.31","6.15","4.69","119.86","103.07","16.79"
