"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Connor Brown","February 25, 2018 - February 25, 2018","TOR","R","3","13.88","9.91","8.91","1","52.66","42.84","38.52","6.17","6.36","-0.19","49.24","26.67","27.49","4.27","4.97","-0.7","46.21","18.46","21.48","0.83","0.88","-0.05","48.54","3.59","3.8","0.18","0.36","-0.18","33.33","0.78","1.56","--","1","1","--","4.32","19.44","82.29","13.45","86.16","2.92","94.34","10.53","-8.18","101.73","97.26","4.47"
"Jake Gardiner","February 25, 2018 - February 25, 2018","TOR","D","3","21.82","9.97","16.55","-6.58","37.59","27.42","45.51","7.3","12.38","-5.08","37.09","20.07","34.04","5.59","9.02","-3.43","38.26","15.37","24.8","0.84","--","0.84","100","2.31","--","0.3","0.7","-0.4","30","0.82","1.92","--","1","1","--","2.75","15.03","100","11.51","100","4.11","94.35","7.4","5.65","115.03","98.46","16.57"
"James Van Riemsdyk","February 25, 2018 - February 25, 2018","TOR","L","2","14.03","9.9","9.77","0.13","50.33","42.34","41.78","7.15","7.06","0.09","50.32","30.58","30.19","5.25","5.6","-0.35","48.39","22.45","23.95","0.83","--","0.83","100","3.55","--","0.19","0.32","-0.13","37.25","0.81","1.37","--","--","--","--","--","15.81","100","11.61","100","2.66","95.47","8.95","4.53","115.81","98.12","17.68"
"Josh Leivo","February 25, 2018 - February 25, 2018","TOR","L","1","8.93","4.57","12.28","-7.71","27.12","30.71","82.51","3.71","11.13","-7.42","25","24.93","74.78","3.71","7.18","-3.47","34.07","24.93","48.24","--","1.87","-1.87","--","--","12.56","0.25","0.63","-0.38","28.41","1.68","4.23","2","--","-2","13.44","--","--","73.96","--","83.2","6.74","94.34","-6.74","-11.14","73.96","101.08","-27.12"
"Kasperi Kapanen","February 25, 2018 - February 25, 2018","TOR","R","3","11.35","5.35","9.41","-4.06","36.25","28.28","49.74","3.72","7.66","-3.94","32.69","19.67","40.49","1.74","6.75","-5.01","20.49","9.2","35.68","--","0.84","-0.84","--","--","4.44","0.24","0.34","-0.1","41.38","1.27","1.8","--","2","2","--","10.57","--","87.56","--","89.03","6.45","95.56","-6.45","-6.53","87.56","102.01","-14.46"
"Leo Komarov","February 25, 2018 - February 25, 2018","TOR","C","1","10.47","4.57","15.17","-10.6","23.15","26.19","86.93","3.71","14.03","-10.32","20.91","21.26","80.4","3.71","9.37","-5.66","28.36","21.26","53.7","--","1.03","-1.03","--","--","5.9","0.25","0.77","-0.52","24.51","1.43","4.41","2","--","-2","11.46","--","--","89.01","--","92.66","6.74","94.51","-6.74","-1.85","89.01","101.25","-12.24"
"Mitch Marner","February 25, 2018 - February 25, 2018","TOR","C","2","15.48","11.29","14.99","-3.7","42.96","43.76","58.1","8.92","10.04","-1.12","47.05","34.57","38.91","7.53","7.9","-0.37","48.8","29.19","30.62","0.84","--","0.84","100","3.26","--","0.46","0.48","-0.02","48.94","1.78","1.86","--","1","1","--","3.88","11.16","100","9.42","100","5.16","95.22","4.26","4.78","111.16","100.38","10.78"
"Morgan Rielly","February 25, 2018 - February 25, 2018","TOR","D","2","16.55","13.68","19.94","-6.26","40.69","49.6","72.29","9.83","15.63","-5.8","38.61","35.64","56.66","7.4","13.48","-6.08","35.44","26.83","48.87","0.83","1.92","-1.09","30.18","3.01","6.96","0.43","0.86","-0.43","33.33","1.56","3.12","3","--","-3","10.88","--","11.22","85.76","8.44","87.72","4.37","94.5","4.07","-6.78","96.97","98.87","-1.9"
"Nazem Kadri","February 25, 2018 - February 25, 2018","TOR","C","2","14.63","8.95","11.9","-2.95","42.93","36.71","48.8","6.62","6.69","-0.07","49.74","27.15","27.44","5.21","5.63","-0.42","48.06","21.37","23.09","--","--","--","--","--","--","0.28","0.27","0.01","50.91","1.15","1.11","--","1","1","--","4.1","--","100","--","100","4.23","95.96","-4.23","4.04","100","100.19","-0.19"
"Nikita Zaitsev","February 25, 2018 - February 25, 2018","TOR","D","3","21.37","6.91","19.51","-12.6","26.15","19.4","54.78","5.03","16.02","-10.99","23.9","14.12","44.98","4.1","12.7","-8.6","24.4","11.51","35.66","0.84","0.84","--","50","2.36","2.36","0.21","0.79","-0.58","21","0.59","2.22","--","--","--","--","--","20.49","93.39","16.7","94.76","4.17","95.07","12.52","-0.31","113.87","99.24","14.63"
