"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Auston Matthews","February 11, 2018 - February 11, 2018","TOR","C","2","15.22","14.72","9.35","5.37","61.15","58.03","36.86","11.9","6.98","4.92","63.03","46.91","27.52","6.41","4.66","1.75","57.9","25.27","18.37","3.05","1.1","1.95","73.49","12.02","4.34","0.65","0.54","0.11","54.62","2.56","2.13","--","--","--","--","--","47.58","76.39","25.63","84.24","5.46","92.26","20.17","-8.02","123.98","97.73","26.25"
"Connor Brown","February 11, 2018 - February 11, 2018","TOR","R","2","10.2","5.99","3.85","2.14","60.87","35.24","22.65","3.79","2.52","1.27","60.06","22.29","14.82","2.97","1.56","1.41","65.56","17.47","9.18","1.06","--","1.06","100","6.24","--","0.4","0.09","0.31","81.63","2.35","0.53","1","--","-1","5.88","--","35.69","100","27.97","100","10.55","96.43","17.41","3.57","135.69","106.98","28.71"
"Dominic Moore","February 11, 2018 - February 11, 2018","TOR","C","1","8.63","7.87","9","-1.13","46.65","54.72","62.57","4.98","7.19","-2.21","40.92","34.62","49.99","2.83","3.46","-0.63","44.99","19.68","24.06","--","--","--","--","--","--","0.15","0.45","-0.3","25","1.04","3.13","1","--","-1","6.95","--","--","100","--","100","3.01","93.74","-3.01","6.26","100","96.75","3.25"
"Jake Gardiner","February 11, 2018 - February 11, 2018","TOR","D","1","20.25","15.4","15.42","-0.02","49.97","45.63","45.69","10.72","12.72","-2","45.73","31.76","37.69","6.16","7.69","-1.53","44.48","18.25","22.79","2","1.1","0.9","64.52","5.93","3.26","0.53","0.76","-0.23","41.09","1.57","2.25","1","--","-1","2.96","--","32.47","85.7","18.66","91.35","4.94","94.03","13.71","-2.67","118.16","98.97","19.19"
"James Van Riemsdyk","February 11, 2018 - February 11, 2018","TOR","L","1","10.85","7.53","7.17","0.36","51.22","41.64","39.65","4.57","5.92","-1.35","43.57","25.27","32.74","3.77","4.05","-0.28","48.21","20.85","22.4","1.06","--","1.06","100","5.86","--","0.43","0.23","0.2","65.15","2.38","1.27","1","--","-1","5.53","--","28.12","100","23.19","100","9.41","96.11","13.79","3.89","128.12","105.52","22.59"
"Kasperi Kapanen","February 11, 2018 - February 11, 2018","TOR","R","1","10.92","9.16","8.34","0.82","52.34","50.33","45.82","6.33","5.95","0.38","51.55","34.78","32.69","4.22","1.62","2.6","72.26","23.19","8.9","--","--","--","--","--","--","0.26","0.45","-0.19","36.62","1.43","2.47","1","--","-1","5.49","--","--","100","--","100","4.11","92.44","-4.11","7.56","100","96.54","3.46"
"Leo Komarov","February 11, 2018 - February 11, 2018","TOR","C","1","11.13","8.37","6.86","1.51","54.96","45.12","36.98","6.33","4.41","1.92","58.94","34.12","23.77","4.22","1.62","2.6","72.26","22.75","8.73","--","--","--","--","--","--","0.26","0.33","-0.07","44.07","1.4","1.78","1","--","-1","5.39","--","--","100","--","100","4.11","92.52","-4.11","7.48","100","96.62","3.38"
"Mitch Marner","February 11, 2018 - February 11, 2018","TOR","C","1","16.82","12.88","16","-3.12","44.6","45.95","57.07","11.06","12.88","-1.82","46.2","39.45","45.95","8.03","7.36","0.67","52.18","28.64","26.25","1.05","1.86","-0.81","36.08","3.75","6.63","0.9","0.75","0.15","54.55","3.21","2.68","--","1","1","--","3.57","13.08","74.73","9.49","85.56","8.14","94.18","1.36","-8.62","87.8","102.31","-14.51"
"Morgan Rielly","February 11, 2018 - February 11, 2018","TOR","D","1","16","14.71","12.56","2.15","53.94","55.16","47.1","11.9","10.42","1.48","53.32","44.62","39.08","8.08","4.84","3.24","62.54","30.3","18.15","--","1.86","-1.86","--","--","6.98","0.9","0.69","0.21","56.6","3.38","2.59","--","1","1","--","3.75","--","61.57","--","82.15","7.56","93.38","-7.56","-11.23","61.57","100.94","-39.37"
"Nazem Kadri","February 11, 2018 - February 11, 2018","TOR","C","1","15.78","10.09","16","-5.91","38.67","38.37","60.84","8.25","12.88","-4.63","39.04","31.37","48.97","6.16","7.36","-1.2","45.56","23.42","27.98","--","1.86","-1.86","--","--","7.07","0.71","0.75","-0.04","48.63","2.7","2.85","--","1","1","--","3.8","--","74.73","--","85.56","8.61","94.18","-8.61","-8.62","74.73","102.78","-28.05"
"Nikita Zaitsev","February 11, 2018 - February 11, 2018","TOR","D","1","22.98","15.48","17.85","-2.37","46.44","40.42","46.61","10.78","14.6","-3.82","42.47","28.15","38.12","5.3","8.61","-3.31","38.1","13.84","22.48","2","1.1","0.9","64.52","5.22","2.87","0.52","0.82","-0.3","38.81","1.36","2.14","2","--","-2","5.22","--","37.74","87.22","18.55","92.47","4.82","94.38","13.73","-1.92","124.96","99.21","25.75"
"Patrick Marleau","February 11, 2018 - February 11, 2018","TOR","C","2","16.08","13.87","14.39","-0.52","49.08","51.75","53.69","10.17","12.05","-1.88","45.77","37.95","44.96","6.21","6.53","-0.32","48.74","23.17","24.37","--","1.86","-1.86","--","--","6.94","0.8","0.73","0.07","52.29","2.99","2.72","--","1","1","--","3.73","--","71.52","--","84.56","7.87","93.94","-7.87","-9.38","71.52","101.81","-30.29"
"Roman Polak","February 11, 2018 - February 11, 2018","TOR","D","1","14.7","9.86","10.85","-0.99","47.61","40.24","44.29","7.65","7.08","0.57","51.93","31.22","28.9","5.53","4.24","1.29","56.6","22.57","17.31","2.11","--","2.11","100","8.61","--","0.59","0.44","0.15","57.28","2.41","1.8","--","--","--","--","--","38.16","100","27.58","100","7.71","93.79","19.87","6.21","138.16","101.5","36.66"
"Ron Hainsey","February 11, 2018 - February 11, 2018","TOR","D","1","17","14.63","11.27","3.36","56.49","51.64","39.78","11.84","9.46","2.38","55.59","41.79","33.39","8.93","4.84","4.09","64.85","31.52","17.08","--","1.86","-1.86","--","--","6.56","0.91","0.64","0.27","58.71","3.21","2.26","1","1","--","3.53","3.53","--","61.57","--","80.34","7.69","93.23","-7.69","-12.9","61.57","100.92","-39.35"
"Travis Dermott","February 11, 2018 - February 11, 2018","TOR","D","1","13.87","9.86","13.62","-3.76","41.99","42.65","58.92","7.65","8.96","-1.31","46.06","33.09","38.76","5.53","5.16","0.37","51.73","23.92","22.32","2.11","--","2.11","100","9.13","--","0.59","0.5","0.09","54.13","2.55","2.16","--","--","--","--","--","38.16","100","27.58","100","7.71","94.42","19.87","5.58","138.16","102.13","36.02"
"Tyler Bozak","February 11, 2018 - February 11, 2018","TOR","C","1","13.12","7.27","8.29","-1.02","46.72","33.25","37.91","5.15","6.5","-1.35","44.21","23.55","29.73","4.36","4.05","0.31","51.84","19.94","18.52","1.06","--","1.06","100","4.85","--","0.51","0.3","0.21","62.96","2.33","1.37","1","--","-1","4.57","--","24.31","100","20.58","100","9.9","95.38","10.68","4.62","124.31","105.29","19.02"
"William Nylander","February 11, 2018 - February 11, 2018","TOR","C","2","13.7","12.96","9.4","3.56","57.96","56.76","41.17","10.11","7.02","3.09","59.02","44.28","30.74","5.56","5.3","0.26","51.2","24.35","23.21","3.05","1.1","1.95","73.49","13.36","4.82","0.58","0.5","0.08","53.7","2.54","2.19","--","--","--","--","--","54.86","79.25","30.17","84.33","5.74","92.88","24.43","-8.55","134.1","98.61","35.49"
