"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Auston Matthews","February 6, 2018 - February 6, 2018","TOR","C","3","19.4","11.35","26.75","-15.4","29.79","35.1","82.73","8.35","23.04","-14.69","26.6","25.82","71.26","7.57","16.04","-8.47","32.06","23.41","49.61","--","1.13","-1.13","--","--","3.49","0.47","1.7","-1.23","21.66","1.45","5.26","--","1","1","--","3.09","--","92.96","--","95.1","5.63","92.62","-5.63","2.47","92.96","98.25","-5.3"
"Connor Brown","February 6, 2018 - February 6, 2018","TOR","R","3","13.85","10.01","11.71","-1.7","46.09","43.36","50.73","8.35","8.34","0.01","50.03","36.17","36.13","6.11","5.25","0.86","53.79","26.47","22.74","1.12","--","1.12","100","4.85","--","0.48","0.51","-0.03","48.48","2.08","2.21","1","1","--","4.33","4.33","18.33","100","13.41","100","5.75","93.88","7.66","6.12","118.33","99.63","18.7"
"Dominic Moore","February 6, 2018 - February 6, 2018","TOR","C","2","8.47","7.51","6.78","0.73","52.55","53.2","48.03","5.95","5.35","0.6","52.65","42.15","37.9","3.08","3.45","-0.37","47.17","21.82","24.44","--","--","--","--","--","--","0.35","0.25","0.1","58.33","2.48","1.77","1","--","-1","7.08","--","--","100","--","100","5.88","95.33","-5.88","4.67","100","101.21","-1.21"
"Jake Gardiner","February 6, 2018 - February 6, 2018","TOR","D","3","20.33","13.08","20.61","-7.53","38.82","38.6","60.83","11.17","17.31","-6.14","39.22","32.97","51.09","9.31","10.67","-1.36","46.6","27.48","31.49","--","1.13","-1.13","--","--","3.33","0.55","0.84","-0.29","39.57","1.62","2.48","--","1","1","--","2.95","--","89.41","--","93.47","4.92","95.15","-4.92","-1.68","89.41","100.07","-10.66"
"James Van Riemsdyk","February 6, 2018 - February 6, 2018","TOR","L","3","15.53","10.53","17.31","-6.78","37.82","40.68","66.88","8.85","14.93","-6.08","37.22","34.19","57.68","6.61","8.93","-2.32","42.54","25.54","34.5","1.12","0.8","0.32","58.33","4.33","3.09","0.6","1.4","-0.8","30","2.32","5.41","1","1","--","3.86","3.86","16.94","91.04","12.66","94.64","6.78","90.62","5.88","4.02","107.99","97.4","10.58"
"Kasperi Kapanen","February 6, 2018 - February 6, 2018","TOR","R","3","10.33","9.31","6.19","3.12","60.06","54.08","35.95","7.71","4.72","2.99","62.03","44.78","27.42","4.82","2.81","2.01","63.17","28","16.32","--","--","--","--","--","--","0.43","0.21","0.22","67.19","2.5","1.22","1","--","-1","5.81","--","--","100","--","100","5.58","95.55","-5.58","4.45","100","101.13","-1.13"
"Leo Komarov","February 6, 2018 - February 6, 2018","TOR","C","1","10.5","9.74","7.43","2.31","56.73","55.66","42.46","7.13","6.03","1.1","54.18","40.74","34.46","4.26","4.17","0.09","50.53","24.34","23.83","--","--","--","--","--","--","0.39","0.34","0.05","53.42","2.23","1.94","1","--","-1","5.71","--","--","100","--","100","5.47","94.36","-5.47","5.64","100","99.83","0.17"
"Mitch Marner","February 6, 2018 - February 6, 2018","TOR","C","3","15.08","9.57","10.83","-1.26","46.91","38.08","43.09","6.15","9.36","-3.21","39.65","24.47","37.24","4.37","7.86","-3.49","35.73","17.39","31.27","--","0.8","-0.8","--","--","3.18","0.25","0.67","-0.42","27.17","0.99","2.67","--","--","--","--","--","--","89.82","--","91.45","4.07","92.84","-4.07","-1.39","89.82","96.91","-7.09"
"Morgan Rielly","February 6, 2018 - February 6, 2018","TOR","D","2","22.02","18.96","24.71","-5.75","43.42","51.66","67.33","14.07","21.12","-7.05","39.98","38.34","57.55","10.58","15.16","-4.58","41.1","28.83","41.31","--","0.8","-0.8","--","--","2.18","0.88","1.95","-1.07","31.1","2.4","5.31","--","--","--","--","--","--","94.72","--","96.21","6.25","90.77","-6.25","5.45","94.72","97.02","-2.3"
"Nazem Kadri","February 6, 2018 - February 6, 2018","TOR","C","3","15.37","10.63","12.45","-1.82","46.06","41.5","48.6","7.27","10.71","-3.44","40.43","28.38","41.81","4.87","7.62","-2.75","38.99","19.01","29.75","--","0.8","-0.8","--","--","3.12","0.33","0.8","-0.47","29.2","1.29","3.12","1","--","-1","3.9","--","--","89.5","--","92.53","4.54","92.53","-4.54","--","89.5","97.07","-7.57"
