"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Auston Matthews","February 2, 2018 - February 2, 2018","TOR","C","3","14.18","3.75","13.84","-10.09","21.32","15.87","58.56","2.91","8.27","-5.36","26.03","12.31","34.99","1.01","6.49","-5.48","13.47","4.27","27.46","--","1.13","-1.13","--","--","4.78","0.09","0.26","-0.17","25.71","0.38","1.1","1","1","--","4.23","4.23","--","82.59","--","86.34","3.09","96.86","-3.09","-10.52","82.59","99.95","-17.36"
"Connor Brown","February 2, 2018 - February 2, 2018","TOR","R","2","12","8.58","10.89","-2.31","44.07","42.9","54.45","5.93","8.11","-2.18","42.24","29.65","40.55","1.95","3.59","-1.64","35.2","9.75","17.95","--","--","--","--","--","--","0.14","0.21","-0.07","40","0.7","1.05","--","1","1","--","5","--","100","--","100","2.36","97.41","-2.36","2.59","100","99.77","0.23"
"Connor Carrick","February 2, 2018 - February 2, 2018","TOR","D","3","15.83","7.44","13.67","-6.23","35.24","28.2","51.81","5.83","9.87","-4.04","37.13","22.1","37.41","3.69","6.21","-2.52","37.27","13.99","23.54","--","--","--","--","--","--","0.32","0.43","-0.11","42.67","1.21","1.63","1","--","-1","3.79","--","--","100","--","100","5.49","95.64","-5.49","4.36","100","101.13","-1.13"
"Dominic Moore","February 2, 2018 - February 2, 2018","TOR","C","2","8.55","4.49","7.94","-3.45","36.12","31.51","55.72","4.57","4.95","-0.38","48","32.07","34.74","3.65","2.11","1.54","63.37","25.61","14.81","--","--","--","--","--","--","0.36","0.27","0.09","57.14","2.53","1.89","--","--","--","--","--","--","100","--","100","7.88","94.55","-7.88","5.45","100","102.42","-2.42"
"Jake Gardiner","February 2, 2018 - February 2, 2018","TOR","D","2","17.37","9.36","11.94","-2.58","43.94","32.33","41.24","6.7","7.89","-1.19","45.92","23.14","27.25","3.84","5.51","-1.67","41.07","13.26","19.03","--","1.13","-1.13","--","--","3.9","0.22","0.28","-0.06","44","0.76","0.97","--","--","--","--","--","--","79.49","--","85.68","3.28","96.45","-3.28","-10.77","79.49","99.73","-20.24"
"James Van Riemsdyk","February 2, 2018 - February 2, 2018","TOR","L","1","11.27","8.55","10.98","-2.43","43.78","45.52","58.46","5.91","9.16","-3.25","39.22","31.46","48.77","1.01","6.73","-5.72","13.05","5.38","35.83","--","--","--","--","--","--","0.15","0.36","-0.21","29.41","0.8","1.92","--","1","1","--","5.32","--","100","--","100","2.54","96.07","-2.54","3.93","100","98.61","1.39"
"Kasperi Kapanen","February 2, 2018 - February 2, 2018","TOR","R","3","11.78","3.7","11.7","-8","24.03","18.85","59.59","3.75","6.52","-2.77","36.51","19.1","33.21","2.82","2.82","--","50","14.36","14.36","--","--","--","--","--","--","0.35","0.31","0.04","53.03","1.78","1.58","--","--","--","--","--","--","100","--","100","9.33","95.25","-9.33","4.75","100","104.58","-4.58"
"Leo Komarov","February 2, 2018 - February 2, 2018","TOR","C","3","12","4.63","9.07","-4.44","33.8","23.15","45.35","4.69","5.21","-0.52","47.37","23.45","26.05","3.76","3.56","0.2","51.37","18.8","17.8","--","--","--","--","--","--","0.36","0.24","0.12","60","1.8","1.2","--","--","--","--","--","--","100","--","100","7.68","95.39","-7.68","4.61","100","103.07","-3.07"
"Mitch Marner","February 2, 2018 - February 2, 2018","TOR","C","1","13.22","8.83","11.42","-2.59","43.6","40.08","51.83","8.12","9.05","-0.93","47.29","36.85","41.07","6.48","4.86","1.62","57.14","29.41","22.06","--","--","--","--","--","--","0.35","0.32","0.03","52.24","1.59","1.45","1","2","1","4.54","9.08","--","100","--","100","4.31","96.46","-4.31","3.54","100","100.77","-0.77"
"Morgan Rielly","February 2, 2018 - February 2, 2018","TOR","D","2","15.53","8.86","15.98","-7.12","35.67","34.23","61.74","8.15","12.21","-4.06","40.03","31.49","47.17","4.7","6.13","-1.43","43.4","18.16","23.68","--","--","--","--","--","--","0.47","0.47","--","50","1.82","1.82","1","2","1","3.86","7.73","--","100","--","100","5.77","96.15","-5.77","3.85","100","101.92","-1.92"
"Nazem Kadri","February 2, 2018 - February 2, 2018","TOR","C","1","13.2","8.98","9.4","-0.42","48.86","40.82","42.73","7.3","7.04","0.26","50.91","33.18","32","5.65","2.95","2.7","65.7","25.68","13.41","--","--","--","--","--","--","0.33","0.23","0.1","58.93","1.5","1.05","1","2","1","4.55","9.09","--","100","--","100","4.52","96.73","-4.52","3.27","100","101.25","-1.25"
"Nikita Zaitsev","February 2, 2018 - February 2, 2018","TOR","D","1","14.97","8.53","9.86","-1.33","46.38","34.19","39.52","6.72","8.11","-1.39","45.31","26.93","32.51","3.85","6.36","-2.51","37.71","15.43","25.49","--","1.13","-1.13","--","--","4.53","0.22","0.25","-0.03","46.81","0.88","1","--","2","2","--","8.02","--","82.23","--","86.07","3.27","96.92","-3.27","-10.85","82.23","100.19","-17.96"
"Patrick Marleau","February 2, 2018 - February 2, 2018","TOR","C","2","11.08","5.33","10.38","-5.05","33.93","28.86","56.21","5.41","8.01","-2.6","40.31","29.3","43.38","3.75","3.75","--","50","20.31","20.31","--","--","--","--","--","--","0.11","0.23","-0.12","32.35","0.6","1.25","1","1","--","5.42","5.42","--","100","--","100","2.03","97.13","-2.03","2.87","100","99.16","0.84"
"Ron Hainsey","February 2, 2018 - February 2, 2018","TOR","D","1","16.22","5.65","16.78","-11.13","25.19","20.9","62.07","5.71","12.47","-6.76","31.41","21.12","46.13","3.78","7.23","-3.45","34.33","13.98","26.74","--","--","--","--","--","--","0.35","0.47","-0.12","42.68","1.29","1.74","1","2","1","3.7","7.4","--","100","--","100","6.13","96.23","-6.13","3.77","100","102.36","-2.36"
"Travis Dermott","February 2, 2018 - February 2, 2018","TOR","D","3","17.88","9.88","15.1","-5.22","39.55","33.15","50.67","8.32","9.51","-1.19","46.66","27.92","31.91","4.66","6.54","-1.88","41.61","15.64","21.95","--","--","--","--","--","--","0.27","0.38","-0.11","41.54","0.91","1.28","1","2","1","3.36","6.71","--","100","--","100","3.25","96","-3.25","4","100","99.25","0.75"
