"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Auston Matthews","February 16, 2018 - February 16, 2018","TOR","C","2","16","14.62","12.91","1.71","53.11","54.82","48.41","11.73","9.27","2.46","55.86","43.99","34.76","9.86","6.47","3.39","60.38","36.97","24.26","--","--","--","--","--","1.2","0.64","0.56","65.22","4.5","2.4","--","--","--","--","--","--","100","--","100","10.23","93.1","-10.23","6.9","100","103.33","-3.33"
"Connor Brown","February 16, 2018 - February 16, 2018","TOR","R","2","12.73","10.61","11.41","-0.8","48.18","50.01","53.78","8.97","9.47","-0.5","48.64","42.28","44.63","7.82","7.66","0.16","50.52","36.86","36.1","1.99","0.81","1.18","9.38","3.82","0.95","0.5","0.45","65.52","4.48","2.36","--","1","1","--","4.71","25.45","89.43","22.19","91.45","10.59","94.72","11.59","-3.27","114.87","105.31","9.56"
"Dominic Moore","February 16, 2018 - February 16, 2018","TOR","C","1","8.2","1.72","5.56","-3.84","23.63","12.59","40.68","1.74","3.9","-2.16","30.85","12.73","28.54","0.81","3.91","-3.1","17.16","5.93","28.61","--","1.14","-1.14","--","8.34","0.02","0.26","-0.24","7.14","0.15","1.9","--","1","1","--","7.32","--","70.84","--","70.77","1.15","93.33","-1.15","-22.56","70.84","94.48","-23.64"
"Jake Gardiner","February 16, 2018 - February 16, 2018","TOR","D","2","20.33","11.27","15.8","-4.53","41.63","33.26","46.63","9.86","12.43","-2.57","44.24","29.1","36.68","7.39","11.14","-3.75","39.88","21.81","32.88","0.83","1.75","-0.92","2.45","5.16","0.8","0.94","-0.14","45.98","2.36","2.77","1","2","1","2.95","5.9","11.23","84.29","8.42","85.92","8.11","92.44","0.3","-6.52","95.52","100.55","-5.03"
"James Van Riemsdyk","February 16, 2018 - February 16, 2018","TOR","L","2","12.75","10.6","8.93","1.67","54.28","49.88","42.02","8.97","6.94","2.03","56.38","42.21","32.66","7.81","5.09","2.72","60.54","36.75","23.95","1.99","--","1.99","9.36","--","0.95","0.19","0.76","83.33","4.47","0.89","--","1","1","--","4.71","25.48","100","22.19","100","10.59","97.26","11.59","2.74","125.48","107.85","17.63"
"Kasperi Kapanen","February 16, 2018 - February 16, 2018","TOR","R","1","9.27","1.72","5.9","-4.18","22.57","11.13","38.19","1.74","4.3","-2.56","28.81","11.26","27.83","0.81","4.35","-3.54","15.7","5.24","28.16","--","1.14","-1.14","--","7.38","0.02","0.2","-0.18","9.09","0.13","1.29","--","1","1","--","6.47","--","73.79","--","73.49","1.15","95.35","-1.15","-21.86","73.79","96.5","-22.71"
"Leo Komarov","February 16, 2018 - February 16, 2018","TOR","C","1","10.77","2.95","6.64","-3.69","30.76","16.43","36.99","2.38","5.07","-2.69","31.95","13.26","28.25","1.47","4.35","-2.88","25.26","8.19","24.23","--","1.14","-1.14","--","6.35","0.04","0.24","-0.2","14.29","0.22","1.34","--","1","1","--","5.57","--","73.79","--","77.51","1.68","95.27","-1.68","-17.75","73.79","96.95","-23.15"
"Mitch Marner","February 16, 2018 - February 16, 2018","TOR","C","2","14.13","9.88","19.47","-9.59","33.66","41.95","82.68","7.57","17.22","-9.65","30.54","32.14","73.12","5.73","15.25","-9.52","27.31","24.33","64.76","--","2.89","-2.89","--","12.27","0.62","1.38","-0.76","31","2.63","5.86","1","--","-1","4.25","--","--","81.05","--","83.22","8.19","91.99","-8.19","-8.77","81.05","100.18","-19.13"
"Morgan Rielly","February 16, 2018 - February 16, 2018","TOR","D","2","16.58","10.67","20.57","-9.9","34.15","38.61","74.44","9.43","18.03","-8.6","34.34","34.13","65.25","7.94","15.27","-7.33","34.21","28.73","55.26","--","1.14","-1.14","--","4.13","1.1","0.94","0.16","53.92","3.98","3.4","--","--","--","--","--","--","92.53","--","93.68","11.66","94.79","-11.66","-1.11","92.53","106.45","-13.92"
"Nazem Kadri","February 16, 2018 - February 16, 2018","TOR","C","2","14.65","9.88","20.82","-10.94","32.18","40.46","85.27","7.57","18.63","-11.06","28.89","31","76.3","5.73","16.7","-10.97","25.55","23.47","68.4","--","2.89","-2.89","--","11.84","0.62","1.51","-0.89","29.11","2.54","6.18","1","--","-1","4.1","--","--","82.69","--","84.49","8.19","91.89","-8.19","-7.41","82.69","100.09","-17.39"
"Nikita Zaitsev","February 16, 2018 - February 16, 2018","TOR","D","1","19.8","12.18","17.26","-5.08","41.37","36.91","52.3","10.78","13.92","-3.14","43.64","32.67","42.18","8.31","11.85","-3.54","41.22","25.18","35.91","0.83","2.55","-1.72","2.52","7.73","0.91","1.14","-0.23","44.39","2.76","3.45","1","2","1","3.03","6.06","9.99","78.48","7.7","81.68","8.44","91.81","-0.74","-10.13","88.47","100.25","-11.78"
"Patrick Marleau","February 16, 2018 - February 16, 2018","TOR","C","2","14.32","10.8","21.09","-10.29","33.87","45.25","88.37","8.5","18.87","-10.37","31.06","35.61","79.06","6.65","16.93","-10.28","28.2","27.86","70.94","--","2.89","-2.89","--","12.11","0.73","1.5","-0.77","32.74","3.06","6.28","1","--","-1","4.19","--","--","82.93","--","84.68","8.59","92.05","-8.59","-7.37","82.93","100.64","-17.71"
"Roman Polak","February 16, 2018 - February 16, 2018","TOR","D","1","15.72","13.03","12.47","0.56","51.1","49.73","47.6","8.84","8.96","-0.12","49.66","33.74","34.2","7","7.29","-0.29","48.99","26.72","27.82","1.16","1.14","0.02","4.43","4.35","0.74","0.75","-0.01","49.66","2.82","2.86","--","--","--","--","--","16.57","84.36","13.12","87.28","8.37","91.63","4.75","-4.35","100.93","100","0.93"
"Ron Hainsey","February 16, 2018 - February 16, 2018","TOR","D","2","16.88","12.53","23.03","-10.5","35.24","44.54","81.86","11.32","20.53","-9.21","35.54","40.24","72.97","9.82","16.99","-7.17","36.63","34.91","60.39","--","1.95","-1.95","--","6.93","1.25","1.15","0.1","52.08","4.44","4.09","--","--","--","--","--","--","88.52","--","90.5","11.04","94.4","-11.04","-3.9","88.52","105.44","-16.92"
"Travis Dermott","February 16, 2018 - February 16, 2018","TOR","D","1","16.52","13.98","13.47","0.51","50.93","50.77","48.92","9.8","9.96","-0.16","49.6","35.59","36.17","7.96","8.3","-0.34","48.95","28.91","30.15","1.16","1.14","0.02","4.21","4.14","0.78","0.77","0.01","50.32","2.83","2.8","--","--","--","--","--","14.57","86.27","11.84","88.55","7.96","92.27","3.88","-3.71","100.84","100.23","0.61"
"Tyler Bozak","February 16, 2018 - February 16, 2018","TOR","C","2","15.23","11.52","13.37","-1.85","46.28","45.38","52.67","9.9","11.53","-1.63","46.2","39","45.42","8.74","9.79","-1.05","47.17","34.43","38.57","1.99","0.81","1.18","7.84","3.19","1.06","0.56","0.5","65.43","4.18","2.21","--","1","1","--","3.94","22.77","91.73","20.1","92.97","10.71","95.14","9.39","-2.17","114.5","105.85","8.64"
"William Nylander","February 16, 2018 - February 16, 2018","TOR","C","2","16.22","13.71","13.91","-0.2","49.64","50.72","51.45","10.81","10.27","0.54","51.28","39.99","37.99","8.94","7.47","1.47","54.48","33.07","27.63","--","--","--","--","--","1.09","0.75","0.34","59.24","4.03","2.77","--","--","--","--","--","--","100","--","100","10.08","92.7","-10.08","7.3","100","102.78","-2.78"
"Zach Hyman","February 16, 2018 - February 16, 2018","TOR","C","2","14.07","12.48","13.93","-1.45","47.25","53.22","59.4","10.17","10.28","-0.11","49.73","43.37","43.84","8.27","8.27","--","50","35.27","35.27","--","0.81","-0.81","--","3.45","1.07","0.8","0.27","57.22","4.56","3.41","--","--","--","--","--","--","90.21","--","92.12","10.52","92.22","-10.52","-0.1","90.21","102.74","-12.53"
