"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Connor Brown","February 26, 2018 - February 26, 2018","TOR","R","2","12.9","6.73","6.87","-0.14","49.49","31.3","31.95","6.94","5.89","1.05","54.09","32.28","27.4","1.96","5.94","-3.98","24.81","9.12","27.63","--","--","--","--","--","0.33","0.2","0.13","62.26","1.53","0.93","2","--","-2","9.3","--","--","100","--","100","4.76","96.6","-4.76","3.4","100","101.36","-1.36"
"Connor Carrick","February 26, 2018 - February 26, 2018","TOR","D","1","14.95","13.71","4.48","9.23","75.37","55.02","17.98","11.74","3.84","7.9","75.35","47.12","15.41","9.62","2.79","6.83","77.52","38.61","11.2","--","--","--","--","--","0.7","0.11","0.59","86.42","2.81","0.44","--","1","1","--","4.01","--","100","--","100","5.96","97.14","-5.96","2.86","100","103.1","-3.1"
"Dominic Moore","February 26, 2018 - February 26, 2018","TOR","C","2","5.98","7.66","2.03","5.63","79.05","76.86","20.37","7.81","2.03","5.78","79.37","78.36","20.37","7.87","2.05","5.82","79.33","78.96","20.57","1.03","--","1.03","10.33","--","0.62","0.08","0.54","88.57","6.22","0.8","--","--","--","--","--","13.09","100","13.19","100","7.94","96.06","5.25","3.94","113.09","104","9.09"
"Jake Gardiner","February 26, 2018 - February 26, 2018","TOR","D","2","19.08","17.13","11.24","5.89","60.38","53.87","35.35","13.99","10.11","3.88","58.05","43.99","31.79","12.25","9.02","3.23","57.59","38.52","28.36","1.03","1.06","-0.03","3.24","3.33","0.87","0.5","0.37","63.5","2.74","1.57","2","--","-2","6.29","--","8.41","88.25","7.36","89.52","6.22","95.05","1.14","-5.54","96.66","101.27","-4.62"
"James Van Riemsdyk","February 26, 2018 - February 26, 2018","TOR","L","3","13.8","6.35","8.14","-1.79","43.82","27.61","35.39","6.52","7.05","-0.53","48.05","28.35","30.65","1.53","7.03","-5.5","17.87","6.65","30.57","--","1.06","-1.06","--","4.61","0.27","0.33","-0.06","45","1.17","1.43","3","--","-3","13.04","--","--","84.92","--","84.96","4.14","95.32","-4.14","-10.35","84.92","99.46","-14.54"
"Kasperi Kapanen","February 26, 2018 - February 26, 2018","TOR","R","3","9.48","10.79","3.59","7.2","75.03","68.29","22.72","10.26","3.54","6.72","74.35","64.94","22.41","9.42","3.53","5.89","72.74","59.62","22.34","1.03","--","1.03","6.52","--","0.78","0.13","0.65","85.71","4.94","0.82","--","--","--","--","--","10.93","100","10.04","100","7.6","96.33","2.44","3.67","110.93","103.93","7"
"Leo Komarov","February 26, 2018 - February 26, 2018","TOR","C","2","6.05","7.66","3.04","4.62","71.59","75.97","30.15","7.81","3.05","4.76","71.92","77.45","30.25","7.87","3.06","4.81","72","78.05","30.35","1.03","--","1.03","10.21","--","0.62","0.11","0.51","84.93","6.15","1.09","--","--","--","--","--","13.09","100","13.19","100","7.94","96.39","5.25","3.61","113.09","104.33","8.76"
"Mitch Marner","February 26, 2018 - February 26, 2018","TOR","C","3","18.25","16.66","12.76","3.9","56.63","54.77","41.95","10.97","10.57","0.4","50.93","36.07","34.75","9.15","9.46","-0.31","49.17","30.08","31.1","--","0.43","-0.43","--","1.41","0.66","0.41","0.25","61.68","2.17","1.35","--","--","--","--","--","--","95.45","--","95.93","6.02","96.12","-6.02","-0.19","95.45","102.14","-6.68"
"Morgan Rielly","February 26, 2018 - February 26, 2018","TOR","D","3","17.2","15.56","12.1","3.46","56.25","54.28","42.21","11.67","10.01","1.66","53.83","40.71","34.92","7.34","10","-2.66","42.33","25.6","34.88","0.65","--","0.65","2.27","--","0.72","0.41","0.31","63.72","2.51","1.43","2","--","-2","6.98","--","8.86","100","5.57","100","6.17","95.9","-0.6","4.1","108.86","102.07","6.78"
"Nazem Kadri","February 26, 2018 - February 26, 2018","TOR","C","3","17.25","16.31","11.8","4.51","58.02","56.73","41.04","11.35","9.7","1.65","53.92","39.48","33.74","9.53","8.63","0.9","52.48","33.15","30.02","--","0.43","-0.43","--","1.5","0.75","0.41","0.34","64.66","2.61","1.43","--","--","--","--","--","--","95.02","--","95.57","6.61","95.77","-6.61","-0.21","95.02","102.38","-7.36"
"Nikita Zaitsev","February 26, 2018 - February 26, 2018","TOR","D","3","18.37","12.89","11.5","1.39","52.85","42.1","37.56","11.05","10.44","0.61","51.42","36.09","34.1","9.25","9.4","-0.15","49.6","30.21","30.7","1.03","1.49","-0.46","3.36","4.87","0.68","0.49","0.19","58.12","2.22","1.6","2","--","-2","6.53","--","11.14","84.15","9.32","85.73","6.15","95.31","3.17","-9.58","95.28","101.46","-6.18"
"Patrick Marleau","February 26, 2018 - February 26, 2018","TOR","C","2","19.02","18.33","11.89","6.44","60.66","57.82","37.51","11.98","9.78","2.2","55.06","37.79","30.85","10.16","8.71","1.45","53.84","32.05","27.48","--","--","--","--","--","0.79","0.39","0.4","66.95","2.49","1.23","--","--","--","--","--","--","100","--","100","6.59","96.01","-6.59","3.99","100","102.61","-2.61"
"Ron Hainsey","February 26, 2018 - February 26, 2018","TOR","D","2","17.22","13.4","10.89","2.51","55.17","46.69","37.94","9.44","8.91","0.53","51.44","32.89","31.05","5.05","8.96","-3.91","36.05","17.6","31.22","0.65","--","0.65","2.26","--","0.62","0.41","0.21","60.19","2.16","1.43","2","--","-2","6.97","--","12.87","100","6.89","100","6.57","95.4","0.32","4.6","112.87","101.97","10.91"
