"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Auston Matthews","February 19, 2018 - February 19, 2018","TOR","C","2","16.03","15.65","15.6","0.05","50.08","58.58","58.39","11.48","12.54","-1.06","47.79","42.97","46.94","8.12","6.95","1.17","53.88","30.39","26.01","--","--","--","--","--","0.83","1.29","-0.46","39.15","3.11","4.83","--","--","--","--","--","--","100","--","100","7.23","89.71","-7.23","10.29","100","96.94","3.06"
"Connor Brown","February 19, 2018 - February 19, 2018","TOR","R","2","11.18","11.59","9.51","2.08","54.93","62.2","51.04","9.67","7.97","1.7","54.82","51.9","42.77","7.79","5.62","2.17","58.09","41.81","30.16","0.81","--","0.81","4.35","--","0.55","0.33","0.22","62.5","2.95","1.77","--","--","--","--","--","10.4","100","8.38","100","5.69","95.86","2.69","4.14","110.4","101.55","8.85"
"Dominic Moore","February 19, 2018 - February 19, 2018","TOR","C","1","9","9.12","6.37","2.75","58.88","60.8","42.47","8.34","6.46","1.88","56.35","55.6","43.07","5.63","4.56","1.07","55.25","37.53","30.4","--","--","--","--","--","0.35","0.17","0.18","67.31","2.33","1.13","1","--","-1","6.67","--","--","100","--","100","4.2","97.37","-4.2","2.63","100","101.57","-1.57"
"Jake Gardiner","February 19, 2018 - February 19, 2018","TOR","D","2","19.25","24.47","16.6","7.87","59.58","76.27","51.74","21.57","11.71","9.86","64.81","67.23","36.5","17.29","7.9","9.39","68.64","53.89","24.62","0.81","--","0.81","2.52","--","1.6","1.19","0.41","57.35","4.99","3.71","--","--","--","--","--","4.68","100","3.76","100","7.42","89.84","-3.66","10.16","104.68","97.26","7.43"
"James Van Riemsdyk","February 19, 2018 - February 19, 2018","TOR","L","2","8.97","11.8","6.79","5.01","63.47","78.93","45.42","9.86","5.75","4.11","63.16","65.95","38.46","7.2","4.83","2.37","59.85","48.16","32.31","0.81","--","0.81","5.42","--","0.49","0.29","0.2","62.82","3.28","1.94","--","--","--","--","--","11.25","100","8.22","100","4.97","94.96","3.25","5.04","111.25","99.93","11.32"
"Kasperi Kapanen","February 19, 2018 - February 19, 2018","TOR","R","2","8.6","9.76","4.65","5.11","67.73","68.09","32.44","8.07","4.7","3.37","63.19","56.3","32.79","4.64","3.77","0.87","55.17","32.37","26.3","--","--","--","--","--","0.35","0.14","0.21","71.43","2.44","0.98","1","--","-1","6.98","--","--","100","--","100","4.34","97.02","-4.34","2.98","100","101.36","-1.36"
"Leo Komarov","February 19, 2018 - February 19, 2018","TOR","C","2","9.68","8.97","7.42","1.55","54.73","55.6","45.99","9.07","6.96","2.11","56.58","56.22","43.14","4.56","4.56","--","50","28.26","28.26","--","--","--","--","--","0.5","0.2","0.3","71.43","3.1","1.24","1","--","-1","6.2","--","--","100","--","100","5.51","97.13","-5.51","2.87","100","102.64","-2.64"
"Mitch Marner","February 19, 2018 - February 19, 2018","TOR","C","2","13.65","11.58","10.23","1.35","53.09","50.9","44.97","9.82","8.66","1.16","53.14","43.16","38.07","4.92","7.84","-2.92","38.56","21.63","34.46","--","--","--","--","--","0.77","0.42","0.35","64.71","3.38","1.85","1","--","-1","4.4","--","--","100","--","100","7.84","95.15","-7.84","4.85","100","102.99","-2.99"
"Morgan Rielly","February 19, 2018 - February 19, 2018","TOR","D","2","16.37","13.79","14.89","-1.1","48.08","50.54","54.58","11.19","14.1","-2.91","44.25","41.01","51.68","2.56","11.08","-8.52","18.77","9.38","40.61","--","--","--","--","--","0.72","0.62","0.1","53.73","2.64","2.27","2","--","-2","7.33","--","--","100","--","100","6.43","95.6","-6.43","4.4","100","102.04","-2.04"
"Nazem Kadri","February 19, 2018 - February 19, 2018","TOR","C","2","14.5","14.35","11.73","2.62","55.02","59.38","48.54","10.9","10.21","0.69","51.63","45.1","42.25","4.92","8.64","-3.72","36.28","20.36","35.75","--","--","--","--","--","0.89","0.45","0.44","66.42","3.68","1.86","1","--","-1","4.14","--","--","100","--","100","8.17","95.59","-8.17","4.41","100","103.76","-3.76"
"Nikita Zaitsev","February 19, 2018 - February 19, 2018","TOR","D","2","18.65","25.39","15.04","10.35","62.8","81.68","48.39","21.36","11.33","10.03","65.34","68.72","36.45","17.29","7.11","10.18","70.86","55.62","22.87","0.81","--","0.81","2.61","--","1.56","1.18","0.38","56.93","5.02","3.8","--","--","--","--","--","4.68","100","3.79","100","7.3","89.59","-3.51","10.41","104.68","96.89","7.8"
"Patrick Marleau","February 19, 2018 - February 19, 2018","TOR","C","2","15.28","14.83","11.02","3.81","57.37","58.23","43.27","11.43","9.47","1.96","54.69","44.88","37.19","7.33","7.84","-0.51","48.32","28.78","30.79","--","--","--","--","--","0.89","0.45","0.44","66.42","3.49","1.77","1","--","-1","3.93","--","--","100","--","100","7.79","95.25","-7.79","4.75","100","103.03","-3.03"
"Roman Polak","February 19, 2018 - February 19, 2018","TOR","D","2","14.6","11.4","14.52","-3.12","43.98","46.85","59.67","8.59","12.03","-3.44","41.66","35.3","49.44","6.61","7.73","-1.12","46.09","27.16","31.77","--","--","--","--","--","0.36","0.47","-0.11","43.37","1.48","1.93","--","--","--","--","--","--","100","--","100","4.19","96.09","-4.19","3.91","100","100.28","-0.28"
"Ron Hainsey","February 19, 2018 - February 19, 2018","TOR","D","2","16.33","13.25","13.49","-0.24","49.55","48.68","49.57","9.48","13.32","-3.84","41.58","34.83","48.94","2.56","10.28","-7.72","19.94","9.41","37.77","--","--","--","--","--","0.61","0.6","0.01","50.41","2.24","2.2","2","--","-2","7.35","--","--","100","--","100","6.43","95.5","-6.43","4.5","100","101.93","-1.93"
"Travis Dermott","February 19, 2018 - February 19, 2018","TOR","D","2","14.4","11.4","12.24","-0.84","48.22","47.5","51","8.59","10.31","-1.72","45.45","35.79","42.96","6.61","7.73","-1.12","46.09","27.54","32.21","--","--","--","--","--","0.36","0.44","-0.08","45","1.5","1.83","--","--","--","--","--","--","100","--","100","4.19","95.73","-4.19","4.27","100","99.92","0.08"
