"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Andreas Borgman","October 8, 2017 - October 8, 2017","TOR","D","2","12.38","13.76","3.66","10.1","78.99","66.69","17.74","11.76","2.7","9.06","81.33","57","13.09","6.29","1.71","4.58","78.62","30.48","8.29","--","--","--","--","--","1.02","0.25","0.77","80.31","4.94","1.21","1","2","1","4.85","9.69","--","100","--","100","8.67","90.74","-8.67","9.26","100","99.41","0.59"
"Auston Matthews","October 8, 2017 - October 8, 2017","TOR","C","3","12.68","22.95","2.31","20.64","90.86","108.6","10.93","21.1","0.99","20.11","95.52","99.84","4.68","15.49","--","15.49","100","73.3","--","0.39","--","0.39","1.85","--","2.37","0.09","2.28","96.34","11.21","0.43","3","2","-1","14.2","9.46","2.52","--","1.85","100","11.23","90.91","-9.38","9.09","--","102.14","--"
"Calle Rosen","October 8, 2017 - October 8, 2017","TOR","D","2","13.1","16.59","4.36","12.23","79.19","75.98","19.97","13.61","2.7","10.91","83.45","62.34","12.37","8.12","1.71","6.41","82.6","37.19","7.83","0.86","--","0.86","3.94","--","1.12","0.25","0.87","81.75","5.13","1.15","1","2","1","4.58","9.16","10.59","100","6.32","100","8.23","90.74","-1.91","9.26","110.59","98.97","11.62"
"Connor Brown","October 8, 2017 - October 8, 2017","TOR","R","3","9.88","6.9","3.92","2.98","63.77","41.9","23.81","6.4","2.58","3.82","71.27","38.87","15.67","5.37","2.6","2.77","67.38","32.61","15.79","1.69","--","1.69","10.26","--","0.45","0.17","0.28","72.58","2.73","1.03","2","--","-2","12.15","--","31.47","100","26.41","100","7.03","93.41","19.37","6.59","131.47","100.44","31.03"
"Eric Fehr","October 8, 2017 - October 8, 2017","TOR","C","2","5.58","2.88","4.08","-1.2","41.38","30.97","43.87","2.92","2.73","0.19","51.68","31.4","29.35","1.85","2.75","-0.9","40.22","19.89","29.57","0.86","--","0.86","9.25","--","0.23","0.25","-0.02","47.92","2.47","2.69","2","--","-2","21.51","--","46.49","100","29.45","100","7.88","90.84","21.58","9.16","146.49","98.72","47.77"
"Jake Gardiner","October 8, 2017 - October 8, 2017","TOR","D","3","15.4","13.39","12.02","1.37","52.7","52.17","46.83","11.42","8.07","3.35","58.59","44.49","31.44","9.44","5.45","3.99","63.4","36.78","21.23","0.39","0.87","-0.48","1.52","3.39","1.38","0.89","0.49","60.79","5.38","3.47","3","--","-3","11.69","--","4.13","84.04","3.42","89.22","12.08","88.97","-8.67","0.25","88.17","101.06","-12.89"
"James Van Riemsdyk","October 8, 2017 - October 8, 2017","TOR","L","3","11.42","13.6","5.51","8.09","71.17","71.45","28.95","9.38","4.56","4.82","67.29","49.28","23.96","6.32","3.56","2.76","63.97","33.2","18.7","--","1.09","-1.09","--","5.73","0.55","0.29","0.26","65.48","2.89","1.52","--","--","--","--","--","--","69.38","--","76.1","5.86","93.64","-5.86","-17.54","69.38","99.5","-30.12"
"Leo Komarov","October 8, 2017 - October 8, 2017","TOR","C","2","9.13","5.89","9.85","-3.96","37.42","38.71","64.73","3.34","6.79","-3.45","32.97","21.95","44.62","3.38","2.07","1.31","62.02","22.21","13.6","0.83","--","0.83","5.45","--","0.2","0.28","-0.08","41.67","1.31","1.84","--","1","1","--","6.57","24.56","100","24.85","100","5.99","95.88","18.86","4.12","124.56","101.86","22.69"
"Matt Martin","October 8, 2017 - October 8, 2017","TOR","L","1","5","2.88","3.01","-0.13","48.9","34.56","36.12","2.92","1.67","1.25","63.62","35.04","20.04","1.85","1.69","0.16","52.26","22.2","20.28","0.86","--","0.86","10.32","--","0.23","0.14","0.09","62.16","2.76","1.68","2","--","-2","24","--","46.49","100","29.45","100","7.88","91.62","21.58","8.38","146.49","99.49","46.99"
"Mitch Marner","October 8, 2017 - October 8, 2017","TOR","C","3","12.55","11.64","5.68","5.96","67.21","55.65","27.16","8.43","4.71","3.72","64.16","40.3","22.52","5.4","3.72","1.68","59.21","25.82","17.78","--","1.09","-1.09","--","5.21","0.52","0.38","0.14","57.78","2.49","1.82","--","--","--","--","--","--","70.7","--","76.86","6.17","91.93","-6.17","-15.07","70.7","98.1","-27.4"
"Morgan Rielly","October 8, 2017 - October 8, 2017","TOR","D","3","16.6","19.55","10.13","9.42","65.87","70.66","36.61","14.36","7.77","6.59","64.89","51.9","28.08","12.14","4.69","7.45","72.13","43.88","16.95","--","1.96","-1.96","--","7.08","1.01","0.7","0.31","59.06","3.65","2.53","1","1","--","3.61","3.61","--","58.21","--","74.77","7.03","90.99","-7.03","-16.22","58.21","98.02","-39.82"
"Nazem Kadri","October 8, 2017 - October 8, 2017","TOR","C","3","12.87","9.66","12.58","-2.92","43.44","45.03","58.65","6.57","9.56","-2.99","40.73","30.63","44.57","6.65","4.84","1.81","57.88","31","22.56","0.83","0.87","-0.04","3.87","4.06","0.45","0.85","-0.4","34.62","2.1","3.96","--","2","2","--","9.32","12.48","82.02","12.63","90.9","6.85","91.11","5.78","-0.21","94.51","97.96","-3.45"
"Nikita Zaitsev","October 8, 2017 - October 8, 2017","TOR","D","3","13.68","11.66","10.68","0.98","52.19","51.14","46.84","10.9","7.37","3.53","59.66","47.81","32.32","9.02","4.76","4.26","65.46","39.56","20.88","1.69","--","1.69","7.41","--","1.34","0.53","0.81","71.66","5.88","2.32","3","--","-3","13.16","--","18.74","100","15.5","100","12.29","92.81","3.21","7.19","118.74","105.1","13.63"
"Patrick Marleau","October 8, 2017 - October 8, 2017","TOR","C","3","14.38","10.08","12.58","-2.5","44.48","42.06","52.49","5.99","9.56","-3.57","38.52","24.99","39.89","6.07","4.84","1.23","55.64","25.33","20.19","--","0.87","-0.87","--","3.63","0.4","0.85","-0.45","32","1.67","3.55","--","1","1","--","4.17","--","82.02","--","90.9","6.68","91.11","-6.68","-0.21","82.02","97.79","-15.76"
"Ron Hainsey","October 8, 2017 - October 8, 2017","TOR","D","2","14.37","18.83","8.1","10.73","69.92","78.62","33.82","13.66","7.08","6.58","65.86","57.04","29.56","11.46","4","7.46","74.13","47.85","16.7","0.83","1.09","-0.26","3.47","4.55","0.95","0.34","0.61","73.64","3.97","1.42","1","1","--","4.18","4.18","7.24","72.75","6.08","84.6","6.95","95.2","-0.88","-10.59","79.99","102.15","-22.16"
"Tyler Bozak","October 8, 2017 - October 8, 2017","TOR","C","3","11.77","13.6","6.58","7.02","67.39","69.33","33.54","9.38","5.62","3.76","62.53","47.82","28.65","6.32","4.63","1.69","57.72","32.22","23.6","--","1.09","-1.09","--","5.56","0.55","0.41","0.14","57.29","2.8","2.09","--","--","--","--","--","--","76.46","--","80.6","5.86","92.7","-5.86","-12.1","76.46","98.57","-22.11"
"William Nylander","October 8, 2017 - October 8, 2017","TOR","C","3","12.72","22.95","5.04","17.91","81.99","108.25","23.77","21.1","3.75","17.35","84.91","99.53","17.69","15.49","2.77","12.72","84.83","73.07","13.07","0.39","0.87","-0.48","1.84","4.1","2.37","0.66","1.71","78.22","11.18","3.11","3","1","-2","14.15","4.72","2.52","68.59","1.85","76.8","11.23","82.4","-9.38","-5.6","71.11","93.63","-22.52"
