"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Auston Matthews","October 16, 2017 - October 16, 2017","TOR","C","2","16.25","15.58","15.96","-0.38","49.4","57.53","58.93","11.96","11.8","0.16","50.34","44.16","43.57","5.4","10.78","-5.38","33.37","19.94","39.8","--","--","--","--","--","0.92","0.5","0.42","64.79","3.4","1.85","--","--","--","--","--","--","100","--","100","7.69","95.76","-7.69","4.24","100","103.46","-3.46"
"Calle Rosen","October 16, 2017 - October 16, 2017","TOR","D","2","11.25","6.45","5.25","1.2","55.13","34.4","28","4.64","4.55","0.09","50.49","24.75","24.27","2.67","3.81","-1.14","41.2","14.24","20.32","--","--","--","--","--","0.18","0.09","0.09","66.67","0.96","0.48","--","--","--","--","--","--","100","--","100","3.88","98.02","-3.88","1.98","100","101.9","-1.9"
"Connor Brown","October 16, 2017 - October 16, 2017","TOR","R","2","10.17","7.76","10.91","-3.15","41.56","45.78","64.37","7.87","6.97","0.9","53.03","46.43","41.12","6.89","5.28","1.61","56.61","40.65","31.15","0.77","--","0.77","4.54","--","0.72","0.2","0.52","78.26","4.25","1.18","--","--","--","--","--","11.18","100","9.78","100","9.15","97.13","0.64","2.87","111.18","106.28","4.9"
"Connor Carrick","October 16, 2017 - October 16, 2017","TOR","D","2","12.65","7.33","5.96","1.37","55.15","34.77","28.27","5.53","6.07","-0.54","47.67","26.23","28.79","4.6","5.45","-0.85","45.77","21.82","25.85","--","--","--","--","--","0.41","0.11","0.3","78.85","1.94","0.52","--","1","1","--","4.74","--","100","--","100","7.41","98.19","-7.41","1.81","100","105.6","-5.6"
"Dominic Moore","October 16, 2017 - October 16, 2017","TOR","C","2","10.3","6.41","4.67","1.74","57.85","37.34","27.2","5.62","3.28","2.34","63.15","32.74","19.11","3.65","1.85","1.8","66.36","21.26","10.78","--","--","--","--","--","0.16","0.13","0.03","55.17","0.93","0.76","--","--","--","--","--","--","100","--","100","2.85","96.04","-2.85","3.96","100","98.88","1.12"
"Jake Gardiner","October 16, 2017 - October 16, 2017","TOR","D","2","21.37","21.25","18.9","2.35","52.93","59.66","53.07","17.54","14.47","3.07","54.8","49.25","40.63","10.59","10.3","0.29","50.69","29.73","28.92","--","--","--","--","--","1.38","0.64","0.74","68.32","3.87","1.8","2","2","--","5.62","5.62","--","100","--","100","7.87","95.58","-7.87","4.42","100","103.44","-3.44"
"James Van Riemsdyk","October 16, 2017 - October 16, 2017","TOR","L","2","10.12","9.63","9.17","0.46","51.22","57.09","54.37","9.75","5.35","4.4","64.57","57.81","31.72","7.79","3.64","4.15","68.15","46.19","21.58","0.77","--","0.77","4.57","--","0.77","0.17","0.6","81.91","4.57","1.01","--","--","--","--","--","9.88","100","7.9","100","7.9","96.82","--","3.18","109.88","104.72","5.16"
"Leo Komarov","October 16, 2017 - October 16, 2017","TOR","C","2","12.3","12.69","8.02","4.67","61.27","61.9","39.12","10.81","5.82","4.99","65","52.73","28.39","5.99","4.54","1.45","56.89","29.22","22.15","--","--","--","--","--","0.71","0.3","0.41","70.3","3.46","1.46","2","1","-1","9.76","4.88","--","100","--","100","6.57","94.85","-6.57","5.15","100","101.41","-1.41"
"Matt Martin","October 16, 2017 - October 16, 2017","TOR","L","1","9.83","7.34","4.67","2.67","61.12","44.8","28.5","6.56","3.28","3.28","66.67","40.04","20.02","3.65","1.85","1.8","66.36","22.28","11.29","--","--","--","--","--","0.17","0.13","0.04","56.67","1.04","0.79","--","--","--","--","--","--","100","--","100","2.59","96.04","-2.59","3.96","100","98.63","1.37"
"Mitch Marner","October 16, 2017 - October 16, 2017","TOR","C","2","10.48","10.57","4.38","6.19","70.7","60.52","25.08","9.86","3.62","6.24","73.15","56.45","20.73","5.31","2.86","2.45","64.99","30.4","16.37","--","--","--","--","--","0.37","0.08","0.29","82.22","2.12","0.46","--","1","1","--","5.73","--","100","--","100","3.75","97.79","-3.75","2.21","100","101.54","-1.54"
