"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Nikita Zaitsev","October 29, 2017 - October 29, 2017","TOR","D","2","21.03","16.2","21.4","-5.2","43.09","46.22","61.06","8.09","15.53","-7.44","34.25","23.08","44.31","5.19","11.81","-6.62","30.53","14.81","33.69","1","--","1","100","2.85","--","1.11","0.71","0.4","60.99","3.17","2.03","1","--","-1","2.85","--","19.27","100","12.36","100","13.72","95.43","-1.36","4.57","119.27","109.15","10.12"
"Roman Polak","October 29, 2017 - October 29, 2017","TOR","D","2","15.25","10.15","20.58","-10.43","33.03","39.93","80.97","6.05","14.12","-8.07","30","23.8","55.55","1.83","11.01","-9.18","14.25","7.2","43.32","--","--","--","--","--","--","0.58","0.68","-0.1","46.03","2.28","2.68","2","--","-2","7.87","--","--","100","--","100","9.59","95.18","-9.59","4.82","100","104.77","-4.77"
"Jake Gardiner","October 29, 2017 - October 29, 2017","TOR","D","2","20.47","20.35","18.86","1.49","51.9","59.65","55.28","12.03","13.76","-1.73","46.65","35.26","40.33","6","10.14","-4.14","37.17","17.59","29.72","1","--","1","100","2.93","--","1.3","0.77","0.53","62.8","3.81","2.26","--","--","--","--","--","16.67","100","8.31","100","10.81","94.4","-2.49","5.6","116.67","105.21","11.46"
"Auston Matthews","October 29, 2017 - October 29, 2017","TOR","C","2","18.63","19.23","17.33","1.9","52.6","61.93","55.81","8.63","14.29","-5.66","37.65","27.79","46.02","3.48","11.54","-8.06","23.17","11.21","37.17","1","--","1","100","3.22","--","1.29","0.6","0.69","68.25","4.15","1.93","--","--","--","--","--","28.74","100","11.59","100","14.95","95.8","-3.36","4.2","128.74","110.75","17.99"
"Morgan Rielly","October 29, 2017 - October 29, 2017","TOR","D","2","17.13","19.24","16.09","3.15","54.46","67.39","56.36","10.75","12.3","-1.55","46.64","37.65","43.08","7.02","8.72","-1.7","44.6","24.59","30.54","0.77","0.85","-0.08","47.53","2.7","2.98","0.76","0.66","0.1","53.52","2.66","2.31","1","--","-1","3.5","--","10.97","90.25","7.16","93.09","7.07","94.63","0.09","-1.54","101.22","101.7","-0.48"
"William Nylander","October 29, 2017 - October 29, 2017","TOR","C","2","17.2","19.9","15.18","4.72","56.73","69.42","52.95","9.33","12.06","-2.73","43.62","32.55","42.07","4.2","9.97","-5.77","29.64","14.65","34.78","1","--","1","100","3.49","--","1.32","0.5","0.82","72.53","4.6","1.74","--","--","--","--","--","23.81","100","10.72","100","14.15","95.85","-3.43","4.15","123.81","110","13.81"
"Connor Brown","October 29, 2017 - October 29, 2017","TOR","R","1","10.78","6.01","14.91","-8.9","28.73","33.45","82.99","5.59","8.69","-3.1","39.15","31.11","48.37","3.91","6.22","-2.31","38.6","21.76","34.62","0.77","--","0.77","100","4.29","--","0.2","0.56","-0.36","26.32","1.11","3.12","2","--","-2","11.13","--","19.69","100","13.77","100","3.58","93.56","10.2","6.44","119.69","97.13","22.56"
"Zach Hyman","October 29, 2017 - October 29, 2017","TOR","C","1","17.42","19.23","14.88","4.35","56.38","66.23","51.25","8.63","11.78","-3.15","42.28","29.72","40.57","3.48","9.73","-6.25","26.34","11.99","33.51","1","--","1","100","3.44","--","1.29","0.49","0.8","72.47","4.44","1.69","--","--","--","--","--","28.74","100","11.59","100","14.95","95.84","-3.36","4.16","128.74","110.79","17.95"
"Tyler Bozak","October 29, 2017 - October 29, 2017","TOR","C","1","12.72","7.06","14.33","-7.27","33.01","33.3","67.59","4.98","10.06","-5.08","33.11","23.49","47.45","3.47","7.59","-4.12","31.37","16.37","35.8","--","--","--","--","--","--","0.28","0.41","-0.13","40.58","1.32","1.93","1","--","-1","4.72","--","--","100","--","100","5.62","95.92","-5.62","4.08","100","101.55","-1.55"
"Dominic Moore","October 29, 2017 - October 29, 2017","TOR","C","2","7.07","--","13.91","-13.91","--","--","118.05","--","8.69","-8.69","--","--","73.75","--","6.22","-6.22","--","--","52.79","--","--","--","--","--","--","--","0.56","-0.56","--","--","4.75","1","--","-1","8.49","--","--","100","--","100","--","93.56","--","6.44","--","--","--"
