"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Andreas Borgman","October 25, 2017 - October 25, 2017","TOR","D","2","16.6","19.32","19.5","-0.18","49.77","69.83","70.48","15.12","14.79","0.33","50.55","54.65","53.46","11.08","10.96","0.12","50.27","40.05","39.61","--","1.65","-1.65","--","--","5.96","1.44","0.88","0.56","62.07","5.2","3.18","--","1","1","--","3.61","--","84.95","--","88.84","9.52","94.05","-9.52","-5.21","84.95","103.57","-18.63"
"Auston Matthews","October 25, 2017 - October 25, 2017","TOR","C","3","17.3","19.59","16.86","2.73","53.74","67.94","58.47","16.73","14.7","2.03","53.23","58.02","50.98","14.45","12.26","2.19","54.1","50.12","42.52","1.87","1.68","0.19","52.68","6.49","5.83","1.74","1.19","0.55","59.39","6.03","4.13","2","2","--","6.94","6.94","12.94","86.3","11.18","88.57","10.4","91.9","0.78","-3.33","99.24","102.31","-3.07"
"Connor Brown","October 25, 2017 - October 25, 2017","TOR","R","2","13.8","9.61","17.36","-7.75","35.63","41.78","75.48","6.44","12.46","-6.02","34.07","28","54.17","4.53","7.5","-2.97","37.66","19.7","32.61","--","2.57","-2.57","--","--","11.17","0.29","1.04","-0.75","21.8","1.26","4.52","--","--","--","--","--","--","65.73","--","79.37","4.5","91.65","-4.5","-12.28","65.73","96.16","-30.42"
"Dominic Moore","October 25, 2017 - October 25, 2017","TOR","C","1","10.15","7.78","8.16","-0.38","48.81","45.99","48.24","7.87","7.24","0.63","52.08","46.52","42.8","6.9","4.72","2.18","59.38","40.79","27.9","1","1.63","-0.63","38.02","5.91","9.64","1.34","0.33","1.01","80.24","7.92","1.95","--","--","--","--","--","14.49","65.47","12.71","77.49","17.03","95.44","-4.32","-17.96","79.96","112.47","-32.51"
"Jake Gardiner","October 25, 2017 - October 25, 2017","TOR","D","3","21.95","16.26","23.63","-7.37","40.76","44.45","64.59","13.15","19.73","-6.58","39.99","35.95","53.93","9.33","13.51","-4.18","40.85","25.5","36.93","0.85","0.86","-0.01","49.71","2.32","2.35","0.84","1.17","-0.33","41.79","2.3","3.2","1","1","--","2.73","2.73","9.11","93.63","6.46","95.64","6.39","94.07","0.08","1.57","102.74","100.46","2.29"
"James Van Riemsdyk","October 25, 2017 - October 25, 2017","TOR","L","1","14.45","10.8","12.93","-2.13","45.51","44.84","53.69","6.15","11.42","-5.27","35","25.54","47.42","3.62","6.52","-2.9","35.7","15.03","27.07","--","1.69","-1.69","--","--","7.02","0.27","0.88","-0.61","23.48","1.12","3.65","--","--","--","--","--","--","74.08","--","85.2","4.39","92.29","-4.39","-7.09","74.08","96.68","-22.6"
"Leo Komarov","October 25, 2017 - October 25, 2017","TOR","C","1","15.9","15.04","23.25","-8.21","39.28","56.75","87.74","14.72","15.79","-1.07","48.25","55.55","59.58","7.89","11.72","-3.83","40.23","29.77","44.23","1.02","0.78","0.24","56.67","3.85","2.94","0.91","1.1","-0.19","45.27","3.43","4.15","--","--","--","--","--","12.93","93.34","6.93","95.06","6.18","93.03","0.75","2.03","106.27","99.22","7.06"
"Matt Martin","October 25, 2017 - October 25, 2017","TOR","L","1","8.07","8.55","6.86","1.69","55.48","63.57","51","8.76","6.95","1.81","55.76","65.13","51.67","7.58","5.32","2.26","58.76","56.36","39.55","1","0.85","0.15","54.05","7.43","6.32","1.31","0.26","1.05","83.44","9.74","1.93","--","--","--","--","--","13.19","84.02","11.42","87.77","14.95","96.26","-3.54","-8.49","97.22","111.21","-14"
"Mitch Marner","October 25, 2017 - October 25, 2017","TOR","C","2","15.35","12.13","11.53","0.6","51.27","47.41","45.07","10.1","10.77","-0.67","48.39","39.48","42.1","6.91","8.05","-1.14","46.19","27.01","31.47","1","0.85","0.15","54.05","3.91","3.32","1.28","0.46","0.82","73.56","5","1.8","--","--","--","--","--","14.47","89.44","9.9","92.11","12.67","95.73","-2.77","-3.62","103.91","108.4","-4.49"
"Morgan Rielly","October 25, 2017 - October 25, 2017","TOR","D","3","20.07","19.93","17.41","2.52","53.37","59.58","52.05","17.04","12.81","4.23","57.09","50.94","38.3","11.05","10.5","0.55","51.28","33.03","31.39","2.03","2.49","-0.46","44.91","6.07","7.44","1.68","1.22","0.46","57.93","5.02","3.65","1","--","-1","2.99","--","18.37","76.29","11.91","80.56","9.86","90.48","2.05","-9.91","94.66","100.34","-5.68"
"Nazem Kadri","October 25, 2017 - October 25, 2017","TOR","C","3","14.88","13.11","22.07","-8.96","37.27","52.86","88.99","12.77","15.87","-3.1","44.59","51.49","63.99","5.94","11.77","-5.83","33.54","23.95","47.46","--","0.78","-0.78","--","--","3.15","0.68","1.07","-0.39","38.86","2.74","4.31","--","--","--","--","--","--","93.37","--","95.09","5.32","93.26","-5.32","1.83","93.37","98.58","-5.21"
"Nikita Zaitsev","October 25, 2017 - October 25, 2017","TOR","D","3","20.72","16.94","21.25","-4.31","44.36","49.05","61.53","13.85","17.42","-3.57","44.29","40.11","50.44","9.33","11.48","-2.15","44.83","27.02","33.24","0.85","0.86","-0.01","49.71","2.46","2.49","0.88","1.2","-0.32","42.31","2.55","3.47","1","1","--","2.9","2.9","9.11","92.51","6.14","95.06","6.35","93.11","-0.22","1.95","101.62","99.47","2.15"
