"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Andreas Borgman","October 10, 2017 - October 10, 2017","TOR","D","2","11.95","9.38","8.67","0.71","51.97","47.1","43.53","6.94","7.87","-0.93","46.86","34.85","39.51","4.45","6.05","-1.6","42.38","22.34","30.38","--","2.36","-2.36","--","--","11.85","0.42","1.18","-0.76","26.25","2.11","5.92","2","5","3","10.04","25.1","--","60.99","--","70.01","6.05","85.01","-6.05","-14.99","60.99","91.06","-30.07"
"Auston Matthews","October 10, 2017 - October 10, 2017","TOR","C","1","9.9","11.58","9.64","1.94","54.57","70.18","58.42","8.18","6.82","1.36","54.53","49.58","41.33","6.65","5","1.65","57.08","40.3","30.3","0.87","--","0.87","100","5.27","--","1.61","0.65","0.96","71.24","9.76","3.94","1","3","2","6.06","18.18","13.08","100","10.64","100","19.68","90.47","-9.05","9.53","113.08","110.15","2.93"
"Calle Rosen","October 10, 2017 - October 10, 2017","TOR","D","2","11.65","12.66","11.71","0.95","51.95","65.2","60.31","8.73","10.9","-2.17","44.47","44.96","56.14","5.31","9.21","-3.9","36.57","27.35","47.43","--","1.62","-1.62","--","--","8.34","0.67","1.2","-0.53","35.83","3.45","6.18","3","4","1","15.45","20.6","--","82.41","--","85.14","7.67","88.99","-7.67","-3.85","82.41","96.67","-14.26"
"Connor Brown","October 10, 2017 - October 10, 2017","TOR","R","3","7.25","2.54","5.15","-2.61","33.03","21.02","42.62","1.92","5.23","-3.31","26.85","15.89","43.28","0.69","4.35","-3.66","13.69","5.71","36","--","2.65","-2.65","--","--","21.93","0.06","0.18","-0.12","25","0.5","1.49","1","3","2","8.28","24.83","--","39.08","--","49.33","3.12","96.56","-3.12","-47.23","39.08","99.68","-60.6"
"Dominic Moore","October 10, 2017 - October 10, 2017","TOR","C","3","8.4","6.76","6.3","0.46","51.76","48.29","45","5.71","5.46","0.25","51.12","40.79","39","4.54","3.41","1.13","57.11","32.43","24.36","0.87","1.91","-1.04","31.29","6.21","13.64","0.43","0.21","0.22","67.19","3.07","1.5","1","3","2","7.14","21.43","19.16","43.99","15.24","65.02","7.53","96.15","7.71","-31.14","63.15","103.68","-40.53"
"Jake Gardiner","October 10, 2017 - October 10, 2017","TOR","D","2","14.23","11.66","8.55","3.11","57.69","49.16","36.05","9.86","5.74","4.12","63.21","41.57","24.2","9.91","3.11","6.8","76.11","41.78","13.11","--","--","--","--","--","--","1.21","0.37","0.84","76.58","5.1","1.56","2","--","-2","8.43","--","--","100","--","100","12.27","93.55","-12.27","6.45","100","105.83","-5.83"
"James Van Riemsdyk","October 10, 2017 - October 10, 2017","TOR","L","2","10.38","7.59","6.36","1.23","54.41","43.87","36.76","4.98","5.52","-0.54","47.43","28.79","31.91","3.78","3.89","-0.11","49.28","21.85","22.49","--","0.84","-0.84","--","--","4.86","0.59","0.49","0.1","54.63","3.41","2.83","3","3","--","17.34","17.34","--","78.41","--","84.78","11.85","91.12","-11.85","-6.34","78.41","102.97","-24.56"
"Leo Komarov","October 10, 2017 - October 10, 2017","TOR","C","2","10","13.4","6.78","6.62","66.4","80.4","40.68","12.14","6.06","6.08","66.7","72.84","36.36","10.01","2.02","7.99","83.21","60.06","12.12","--","--","--","--","--","--","1.02","0.9","0.12","53.12","6.12","5.4","1","--","-1","6","--","--","100","--","100","8.4","85.15","-8.4","14.85","100","93.55","6.45"
"Matt Martin","October 10, 2017 - October 10, 2017","TOR","L","3","7.5","5.94","6.3","-0.36","48.53","47.52","50.4","4.88","5.46","-0.58","47.2","39.04","43.68","3.71","3.41","0.3","52.11","29.68","27.28","--","1.91","-1.91","--","--","15.28","0.3","0.21","0.09","58.82","2.4","1.68","1","3","2","8","24","--","43.99","--","65.02","6.15","96.15","-6.15","-31.14","43.99","102.3","-58.31"
"Mitch Marner","October 10, 2017 - October 10, 2017","TOR","C","2","9.55","6.53","5.32","1.21","55.11","41.03","33.42","4.53","5.37","-0.84","45.76","28.46","33.74","3.29","3.76","-0.47","46.67","20.67","23.62","--","0.84","-0.84","--","--","5.28","0.33","0.5","-0.17","39.76","2.07","3.14","3","1","-2","18.85","6.28","--","77.66","--","84.36","7.28","90.69","-7.28","-6.33","77.66","97.97","-20.31"
"Morgan Rielly","October 10, 2017 - October 10, 2017","TOR","D","2","13.2","15.41","9.22","6.19","62.57","70.05","41.91","12.9","9.29","3.61","58.13","58.64","42.23","9.88","5.55","4.33","64.03","44.91","25.23","--","1.88","-1.88","--","--","8.55","1.01","0.73","0.28","58.05","4.59","3.32","--","3","3","--","13.64","--","66.13","--","79.76","7.83","92.14","-7.83","-12.38","66.13","99.97","-33.85"
