"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Nikita Zaitsev","October 3, 2017 - October 3, 2017","TOR","D","2","12.98","5.4","14.08","-8.68","27.72","24.96","65.08","1.75","9.96","-8.21","14.94","8.09","46.04","1.01","7.38","-6.37","12.04","4.67","34.11","1.04","0.86","0.18","54.74","4.81","3.98","0.11","0.44","-0.33","20","0.51","2.03","2","--","-2","9.24","--","102.97","88.35","59.43","91.37","6.29","95.58","53.14","-4.22","191.32","101.87","89.45"
"Auston Matthews","October 3, 2017 - October 3, 2017","TOR","C","2","13.07","13.01","11.91","1.1","52.21","59.72","54.67","7.61","9.48","-1.87","44.53","34.93","43.52","6.55","6.96","-0.41","48.48","30.07","31.95","2.91","0.86","2.05","77.19","13.36","3.95","0.62","0.65","-0.03","48.82","2.85","2.98","2","2","--","9.18","9.18","44.43","87.64","38.24","90.93","8.15","93.14","30.09","-2.22","132.07","101.29","30.78"
"Jake Gardiner","October 3, 2017 - October 3, 2017","TOR","D","2","14.92","9.55","11.75","-2.2","44.84","38.4","47.25","2.8","8.37","-5.57","25.07","11.26","33.66","1.01","4.86","-3.85","17.21","4.06","19.54","1.04","--","1.04","100","4.18","--","0.16","0.33","-0.17","32.65","0.64","1.33","2","1","-1","8.04","4.02","102.97","100","37.14","100","5.71","96.06","31.43","3.94","202.97","101.77","101.2"
"William Nylander","October 3, 2017 - October 3, 2017","TOR","C","2","11.97","15.16","11.35","3.81","57.19","75.99","56.89","9.74","8.87","0.87","52.34","48.82","44.46","8.69","7.37","1.32","54.11","43.56","36.94","3.97","--","3.97","100","19.9","--","0.97","0.92","0.05","51.32","4.86","4.61","2","1","-1","10.03","5.01","45.68","100","40.76","100","9.96","89.63","30.8","10.37","145.68","99.59","46.1"
"Ron Hainsey","October 3, 2017 - October 3, 2017","TOR","D","2","10.83","12.22","11.04","1.18","52.54","67.7","61.16","9.34","6.73","2.61","58.12","51.75","37.29","7.51","4.99","2.52","60.08","41.61","27.65","1.06","0.86","0.2","55.21","5.87","4.76","0.35","0.61","-0.26","36.46","1.94","3.38","5","1","-4","27.7","5.54","14.11","82.77","11.35","87.22","3.75","90.94","7.6","-3.71","96.88","94.68","2.2"
"Morgan Rielly","October 3, 2017 - October 3, 2017","TOR","D","2","11.9","9.73","10.93","-1.2","47.1","49.06","55.11","7.71","6.49","1.22","54.3","38.87","32.72","6.71","4.76","1.95","58.5","33.83","24","1.06","0.86","0.2","55.21","5.34","4.34","0.24","0.53","-0.29","31.17","1.21","2.67","3","2","-1","15.13","10.08","15.8","81.93","13.75","86.75","3.11","91.83","10.64","-5.08","97.73","94.95","2.78"
"Leo Komarov","October 3, 2017 - October 3, 2017","TOR","C","2","9.05","5.82","9.75","-3.93","37.38","38.59","64.64","4.68","6.42","-1.74","42.16","31.03","42.56","3.65","3.57","0.08","50.55","24.2","23.67","--","--","--","--","--","--","0.2","0.31","-0.11","39.22","1.33","2.06","4","--","-4","26.52","--","--","100","--","100","4.27","95.17","-4.27","4.83","100","99.44","0.56"
"Patrick Marleau","October 3, 2017 - October 3, 2017","TOR","C","2","9.85","11.01","8.77","2.24","55.66","67.07","53.42","7.77","5.44","2.33","58.82","47.33","33.14","6.73","4.54","2.19","59.72","40.99","27.65","1.9","--","1.9","100","11.57","--","0.46","0.6","-0.14","43.4","2.8","3.65","3","1","-2","18.27","6.09","28.23","100","24.45","100","5.92","88.97","18.53","11.03","128.23","94.89","33.34"
"Tyler Bozak","October 3, 2017 - October 3, 2017","TOR","C","1","8.65","4.9","8.76","-3.86","35.87","33.99","60.76","2.42","5.64","-3.22","30.02","16.79","39.12","2.48","4.61","-2.13","34.98","17.2","31.98","0.83","--","0.83","100","5.76","--","0.12","0.63","-0.51","16","0.83","4.37","1","1","--","6.94","6.94","33.47","100","34.3","100","4.96","88.83","29.34","11.17","133.47","93.79","39.68"
"Andreas Borgman","October 3, 2017 - October 3, 2017","TOR","D","2","13.67","15.85","8.68","7.17","64.61","69.57","38.1","12.49","6.21","6.28","66.79","54.82","27.26","9.36","5.2","4.16","64.29","41.08","22.82","2.69","1.1","1.59","70.98","11.81","4.83","1.14","0.91","0.23","55.61","5","3.99","3","--","-3","13.17","--","28.74","78.85","21.54","82.29","9.13","85.35","12.41","-3.06","107.59","94.47","13.11"
"James Van Riemsdyk","October 3, 2017 - October 3, 2017","TOR","L","1","9.37","9.48","8.65","0.83","52.29","60.7","55.39","4.67","4.67","--","50","29.9","29.9","3.6","2.73","0.87","56.87","23.05","17.48","0.83","--","0.83","100","5.31","--","0.2","0.32","-0.12","38.46","1.28","2.05","1","1","--","6.4","6.4","23.06","100","17.77","100","4.28","93.15","13.49","6.85","123.06","97.43","25.63"
"Connor Carrick","October 3, 2017 - October 3, 2017","TOR","D","2","14.83","21.56","8.46","13.1","71.82","87.23","34.23","15.17","6.92","8.25","68.67","61.38","28","10.15","5.93","4.22","63.12","41.07","23.99","2.69","1.1","1.59","70.98","10.88","4.45","1.29","0.93","0.36","58.11","5.22","3.76","1","2","1","4.05","8.09","26.5","81.45","17.73","84.1","8.5","86.56","9.23","-2.46","107.95","95.06","12.89"
"Nazem Kadri","October 3, 2017 - October 3, 2017","TOR","C","1","11.48","18.17","8.37","9.8","68.46","94.97","43.75","12.45","3.36","9.09","78.75","65.07","17.56","8.32","2.47","5.85","77.11","43.48","12.91","2.1","--","2.1","100","10.98","--","0.73","0.15","0.58","82.95","3.82","0.78","4","2","-2","20.91","10.45","25.24","100","16.87","100","5.86","95.54","11","4.46","125.24","101.4","23.84"
"Mitch Marner","October 3, 2017 - October 3, 2017","TOR","C","2","11.22","11.17","8.18","2.99","57.73","59.73","43.74","5.63","5.02","0.61","52.86","30.11","26.84","4.56","4.01","0.55","53.21","24.39","21.44","0.83","0.86","-0.03","49.11","4.44","4.6","0.29","0.26","0.03","52.73","1.55","1.39","1","1","--","5.35","5.35","18.2","78.55","14.74","82.87","5.15","94.82","9.59","-11.95","96.76","99.97","-3.22"
"Zach Hyman","October 3, 2017 - October 3, 2017","TOR","C","2","8.23","4.53","5.98","-1.45","43.1","33.03","43.6","3.24","5.23","-1.99","38.25","23.62","38.13","3.24","3.72","-0.48","46.55","23.62","27.12","1.04","--","1.04","100","7.58","--","0.35","0.44","-0.09","44.3","2.55","3.21","2","--","-2","14.58","--","32.1","100","32.1","100","10.8","91.59","21.3","8.41","132.1","102.39","29.71"
