"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Auston Matthews","October 6, 2017 - October 6, 2017","TOR","C","1","13.67","15.45","11.79","3.66","56.72","67.81","51.75","11.1","10.98","0.12","50.27","48.72","48.19","8.22","7.7","0.52","51.63","36.08","33.8","1.88","--","1.88","100","8.25","--","1.7","0.72","0.98","70.25","7.46","3.16","2","1","-1","8.78","4.39","22.87","100","16.94","100","15.32","93.44","1.62","6.56","122.87","108.76","14.11"
"Calle Rosen","October 6, 2017 - October 6, 2017","TOR","D","2","13.22","7.46","8.18","-0.72","47.7","33.86","37.13","4.05","7.96","-3.91","33.72","18.38","36.13","2.3","6.7","-4.4","25.56","10.44","30.41","--","0.84","-0.84","--","--","3.81","0.16","0.84","-0.68","16","0.73","3.81","1","--","-1","4.54","--","--","87.46","--","89.45","3.95","89.45","-3.95","--","87.46","93.4","-5.94"
"Connor Brown","October 6, 2017 - October 6, 2017","TOR","R","2","7.4","6.27","4.92","1.35","56.03","50.84","39.89","3.97","4.13","-0.16","49.01","32.19","33.49","3.3","4.17","-0.87","44.18","26.76","33.81","0.88","--","0.88","100","7.14","--","0.24","0.47","-0.23","33.8","1.95","3.81","1","1","--","8.11","8.11","26.67","100","22.17","100","6.05","88.62","16.12","11.38","126.67","94.67","32"
"Connor Carrick","October 6, 2017 - October 6, 2017","TOR","D","1","14.32","10.89","9.79","1.1","52.66","45.63","41.02","8.23","9.61","-1.38","46.13","34.48","40.27","5.42","7.72","-2.3","41.25","22.71","32.35","--","0.84","-0.84","--","--","3.52","1.26","0.97","0.29","56.5","5.28","4.06","2","2","--","8.38","8.38","--","89.12","--","91.26","15.31","89.91","-15.31","1.35","89.12","105.22","-16.1"
"Dominic Moore","October 6, 2017 - October 6, 2017","TOR","C","2","8.08","8.01","4.92","3.09","61.95","59.48","36.53","3.97","4.13","-0.16","49.01","29.48","30.67","3.3","4.17","-0.87","44.18","24.5","30.97","0.88","--","0.88","100","6.53","--","0.24","0.47","-0.23","33.8","1.78","3.49","1","1","--","7.43","7.43","26.67","100","22.17","100","6.05","88.62","16.12","11.38","126.67","94.67","32"
"Jake Gardiner","October 6, 2017 - October 6, 2017","TOR","D","1","16.88","20.97","14.81","6.16","58.61","74.54","52.64","15.91","13.74","2.17","53.66","56.55","48.84","11.08","7.97","3.11","58.16","39.38","28.33","2.72","--","2.72","100","9.67","--","1.37","0.76","0.61","64.32","4.87","2.7","2","1","-1","7.11","3.55","24.55","100","17.1","100","8.61","94.47","8.49","5.53","124.55","103.08","21.47"
"James Van Riemsdyk","October 6, 2017 - October 6, 2017","TOR","L","2","13.02","13.95","9.06","4.89","60.63","64.29","41.75","12.79","8.88","3.91","59.02","58.94","40.92","9.01","5.15","3.86","63.63","41.52","23.73","0.82","1.64","-0.82","33.33","3.78","7.56","0.98","0.81","0.17","54.75","4.52","3.73","--","1","1","--","4.61","9.1","68.16","6.41","81.53","7.66","90.88","-1.25","-9.35","77.26","98.54","-21.28"
"Leo Komarov","October 6, 2017 - October 6, 2017","TOR","C","2","10.33","9.63","6.96","2.67","58.05","55.93","40.43","6.75","6.65","0.1","50.37","39.21","38.63","3.5","3.96","-0.46","46.92","20.33","23","0.86","--","0.86","100","5","--","0.47","0.37","0.1","55.95","2.73","2.15","1","--","-1","5.81","--","24.57","100","12.74","100","6.96","94.44","5.78","5.56","124.57","101.4","23.17"
"Matt Martin","October 6, 2017 - October 6, 2017","TOR","L","1","7.9","7.33","8.31","-0.98","46.87","55.67","63.11","3.97","6.73","-2.76","37.1","30.15","51.11","3.3","5.89","-2.59","35.91","25.06","44.73","0.88","--","0.88","100","6.68","--","0.24","0.57","-0.33","29.63","1.82","4.33","--","1","1","--","7.59","26.67","100","22.17","100","6.05","91.53","16.12","8.47","126.67","97.58","29.09"
"Mitch Marner","October 6, 2017 - October 6, 2017","TOR","C","2","13.2","13.95","9.06","4.89","60.63","63.41","41.18","12.79","8.88","3.91","59.02","58.14","40.36","9.01","5.15","3.86","63.63","40.95","23.41","0.82","1.64","-0.82","33.33","3.73","7.45","0.98","0.81","0.17","54.75","4.45","3.68","--","1","1","--","4.55","9.1","68.16","6.41","81.53","7.66","90.88","-1.25","-9.35","77.26","98.54","-21.28"
"Morgan Rielly","October 6, 2017 - October 6, 2017","TOR","D","2","15.43","17.66","10.56","7.1","62.58","68.67","41.06","13.53","9.83","3.7","57.92","52.61","38.22","11.51","6.91","4.6","62.49","44.76","26.87","0.87","0.79","0.08","52.41","3.38","3.07","0.9","0.6","0.3","60","3.5","2.33","--","1","1","--","3.89","7.56","88.57","6.43","91.96","6.65","93.9","-0.22","-1.93","96.13","100.55","-4.42"
"Nazem Kadri","October 6, 2017 - October 6, 2017","TOR","C","2","11.55","11.19","9.2","1.99","54.88","58.13","47.79","8.35","8.02","0.33","51.01","43.38","41.66","5.14","5.69","-0.55","47.46","26.7","29.56","0.86","--","0.86","100","4.47","--","0.54","0.41","0.13","56.84","2.81","2.13","--","--","--","--","--","16.73","100","10.3","100","6.47","94.89","3.83","5.11","116.73","101.35","15.38"
"Nikita Zaitsev","October 6, 2017 - October 6, 2017","TOR","D","2","16.92","23.14","12.43","10.71","65.05","82.06","44.08","17.53","11.25","6.28","60.91","62.16","39.89","11.81","6.34","5.47","65.07","41.88","22.48","3.58","--","3.58","100","12.7","--","1.54","0.8","0.74","65.81","5.46","2.84","1","1","--","3.55","3.55","30.31","100","20.42","100","8.78","92.89","11.64","7.11","130.31","101.67","28.64"
"Patrick Marleau","October 6, 2017 - October 6, 2017","TOR","C","2","11.77","10.32","6.96","3.36","59.72","52.61","35.48","6.75","6.65","0.1","50.37","34.41","33.9","3.5","3.96","-0.46","46.92","17.84","20.19","0.86","--","0.86","100","4.38","--","0.47","0.37","0.1","55.95","2.4","1.89","--","--","--","--","--","24.57","100","12.74","100","6.96","94.44","5.78","5.56","124.57","101.4","23.17"
"Ron Hainsey","October 6, 2017 - October 6, 2017","TOR","D","2","15.8","17.52","15.37","2.15","53.27","66.53","58.37","13.6","12.92","0.68","51.28","51.65","49.06","9.59","9.76","-0.17","49.56","36.42","37.06","1.73","0.79","0.94","68.65","6.57","3","1.83","0.91","0.92","66.79","6.95","3.46","--","1","1","--","3.8","18.04","91.91","12.72","93.89","13.46","92.96","-0.74","0.93","109.95","106.41","3.53"
"Tyler Bozak","October 6, 2017 - October 6, 2017","TOR","C","2","13.37","14.17","9.66","4.51","59.46","63.59","43.35","13","9.52","3.48","57.73","58.34","42.72","9.2","5.15","4.05","64.11","41.29","23.11","0.82","1.64","-0.82","33.33","3.68","7.36","1.05","0.84","0.21","55.56","4.71","3.77","--","1","1","--","4.49","8.91","68.16","6.31","82.77","8.08","91.18","-1.77","-8.4","77.07","99.25","-22.19"
"William Nylander","October 6, 2017 - October 6, 2017","TOR","C","1","13.25","17.24","11.24","6","60.53","78.07","50.9","12.91","10.39","2.52","55.41","58.46","47.05","10.04","7.7","2.34","56.6","45.46","34.87","1.88","--","1.88","100","8.51","--","1.84","0.69","1.15","72.73","8.33","3.12","2","1","-1","9.06","4.53","18.73","100","14.56","100","14.25","93.36","0.31","6.64","118.73","107.61","11.11"
"Zach Hyman","October 6, 2017 - October 6, 2017","TOR","C","2","15.32","18.98","14.63","4.35","56.47","74.33","57.3","12.91","12.99","-0.08","49.85","50.56","50.87","10.04","9.42","0.62","51.59","39.32","36.89","1.88","--","1.88","100","7.36","--","1.84","0.79","1.05","69.96","7.21","3.09","2","1","-1","7.83","3.92","18.73","100","14.56","100","14.25","93.92","0.31","6.08","118.73","108.17","10.55"
