"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Nikita Zaitsev","D","1","11.216666666667","2","13","13.33","1","9","10.00","0","6","0.00","0","1","0.00","0","7","0.00","0","3","0.00","0","1","0.00","0.00","83.33","0.833","1","5","5","16.67"
"","Nazem Kadri","C","1","8.4166666666667","3","12","20.00","3","8","27.27","1","7","12.50","0","0","0.00","1","6","14.29","1","2","33.33","0","0","0.00","0.00","100.00","1.000","0","1","5","0.00"
"","Zach Hyman","C","1","6.7666666666667","3","12","20.00","2","10","16.67","0","7","0.00","0","1","0.00","0","6","0.00","0","3","0.00","0","1","0.00","0.00","85.71","0.857","0","2","1","0.00"
"","Mitchell Marner","C","1","7.6","4","10","28.57","4","6","40.00","2","5","28.57","1","0","100.00","2","6","25.00","2","2","50.00","1","0","100.00","50.00","100.00","1.500","0","0","4","0.00"
"","Jake Gardiner","D","1","7.5","2","9","18.18","1","6","14.29","0","4","0.00","0","1","0.00","0","5","0.00","0","2","0.00","0","1","0.00","0.00","75.00","0.750","1","4","2","33.33"
"","Morgan Rielly","D","1","6.6166666666667","6","8","42.86","5","7","41.67","2","5","28.57","0","0","0.00","1","6","14.29","1","3","25.00","0","0","0.00","0.00","100.00","1.000","0","0","2","0.00"
"","Ron Hainsey","D","1","8.85","5","8","38.46","4","6","40.00","2","5","28.57","0","0","0.00","1","4","20.00","1","1","50.00","0","0","0.00","0.00","100.00","1.000","0","1","5","0.00"
"","Roman Polak","D","1","6.7166666666667","3","8","27.27","3","5","37.50","1","5","16.67","1","0","100.00","1","5","16.67","1","3","25.00","1","0","100.00","100.00","100.00","2.000","0","2","2","0.00"
"","Patrick Marleau","C","1","7.6666666666667","2","8","20.00","2","5","28.57","0","4","0.00","0","0","0.00","1","6","14.29","1","2","33.33","0","0","0.00","0.00","100.00","1.000","0","1","5","0.00"
"","Auston Matthews","C","1","6.0666666666667","4","7","36.36","3","6","33.33","1","4","20.00","1","1","50.00","1","5","16.67","1","2","33.33","1","1","50.00","100.00","75.00","1.750","0","2","1","0.00"
"","Travis Dermott","D","1","5.3333333333333","2","7","22.22","2","4","33.33","1","3","25.00","1","0","100.00","1","4","20.00","1","3","25.00","1","0","100.00","100.00","100.00","2.000","0","2","2","0.00"
"","Leo Komarov","C","1","6.9666666666667","3","6","33.33","2","4","33.33","1","4","20.00","0","0","0.00","0","1","0.00","0","1","0.00","0","0","0.00","0.00","100.00","1.000","0","3","3","0.00"
"","William Nylander","C","1","4.8833333333333","3","5","37.50","2","4","33.33","1","2","33.33","1","1","50.00","1","3","25.00","1","1","50.00","1","1","50.00","100.00","50.00","1.500","0","2","1","0.00"
"","Kasperi Kapanen","R","1","5.1666666666667","3","5","37.50","2","3","40.00","1","2","33.33","0","0","0.00","0","2","0.00","0","2","0.00","0","0","0.00","0.00","100.00","1.000","0","2","2","0.00"
"","Connor Brown","R","1","3.85","1","4","20.00","1","3","25.00","0","3","0.00","0","0","0.00","0","4","0.00","0","2","0.00","0","0","0.00","0.00","100.00","1.000","1","2","1","50.00"
"","Dominic Moore","C","1","3.45","3","3","50.00","2","2","50.00","1","2","33.33","0","0","0.00","0","1","0.00","0","1","0.00","0","0","0.00","0.00","100.00","1.000","0","2","1","0.00"
"","Tyler Bozak","C","1","4.7166666666667","0","3","0.00","0","1","0.00","0","1","0.00","0","0","0.00","0","2","0.00","0","1","0.00","0","0","0.00","0.00","100.00","1.000","1","2","2","33.33"
"","James van Riemsdyk","L","1","2.8833333333333","1","2","33.33","1","1","50.00","1","1","50.00","0","0","0.00","0","2","0.00","0","1","0.00","0","0","0.00","0.00","100.00","1.000","1","2","1","50.00"
