"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Nikita Zaitsev","D","1","5.2","4","7","36.36","3","4","42.86","3","2","60.00","1","0","100.00","3","2","60.00","0","2","0.00","0","0","0.00","33.33","100.00","1.333","4","0","0","100.00"
"","Jake Gardiner","D","1","5.2666666666667","3","7","30.00","2","4","33.33","2","2","50.00","0","0","0.00","2","2","50.00","0","2","0.00","0","0","0.00","0.00","100.00","1.000","4","0","0","100.00"
"","Josh Leivo","L","1","3.1166666666667","4","5","44.44","4","3","57.14","3","1","75.00","1","0","100.00","3","2","60.00","0","2","0.00","0","0","0.00","33.33","100.00","1.333","0","0","0","0.00"
"","Dominic Moore","C","1","3.6333333333333","3","5","37.50","3","3","50.00","2","1","66.67","0","0","0.00","2","2","50.00","0","2","0.00","0","0","0.00","0.00","100.00","1.000","0","0","0","0.00"
"","Kasperi Kapanen","R","1","2.95","2","5","28.57","2","3","40.00","1","1","50.00","0","0","0.00","1","2","33.33","0","2","0.00","0","0","0.00","0.00","100.00","1.000","0","0","0","0.00"
"","Morgan Rielly","D","1","5.4666666666667","2","4","33.33","1","3","25.00","1","1","50.00","0","1","0.00","0","3","0.00","0","1","0.00","0","1","0.00","0.00","0.00","0.000","2","3","1","66.67"
"","Nazem Kadri","C","1","4.6","5","3","62.50","4","3","57.14","3","1","75.00","1","1","50.00","4","2","66.67","2","1","66.67","0","1","0.00","33.33","0.00","0.333","2","2","1","66.67"
"","Leo Komarov","C","1","4.7166666666667","4","3","57.14","3","3","50.00","2","1","66.67","0","1","0.00","3","2","60.00","2","1","66.67","0","1","0.00","0.00","0.00","0.000","2","2","1","66.67"
"","Connor Brown","R","1","4.8166666666667","4","3","57.14","3","3","50.00","2","1","66.67","0","1","0.00","3","2","60.00","2","1","66.67","0","1","0.00","0.00","0.00","0.000","2","2","1","66.67"
"","Ron Hainsey","D","1","4.8333333333333","2","3","40.00","1","3","25.00","1","1","50.00","0","1","0.00","0","2","0.00","0","1","0.00","0","1","0.00","0.00","0.00","0.000","2","3","1","66.67"
"","Patrick Marleau","C","1","2.3333333333333","0","2","0.00","0","1","0.00","0","1","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","1","1","1","50.00"
"","Tyler Bozak","C","1","2.2333333333333","0","2","0.00","0","1","0.00","0","1","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","1","1","1","50.00"
"","Mitchell Marner","C","1","2.4333333333333","0","2","0.00","0","1","0.00","0","1","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","1","1","1","50.00"
"","Andreas Borgman","D","1","3.55","4","1","80.00","4","0","100.00","2","0","100.00","0","0","0.00","3","1","75.00","2","0","100.00","0","0","0.00","0.00","100.00","1.000","0","1","2","0.00"
"","William Nylander","C","1","3.45","4","1","80.00","3","0","100.00","3","0","100.00","1","0","100.00","2","1","66.67","0","0","0.00","0","0","0.00","33.33","100.00","1.333","3","1","1","75.00"
"","Auston Matthews","C","1","3.25","3","1","75.00","2","0","100.00","2","0","100.00","1","0","100.00","1","1","50.00","0","0","0.00","0","0","0.00","50.00","100.00","1.500","3","1","1","75.00"
"","Zach Hyman","C","1","3.4833333333333","2","1","66.67","1","0","100.00","1","0","100.00","0","0","0.00","0","1","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","3","1","1","75.00"
"","Roman Polak","D","1","2.9166666666667","4","0","100.00","4","0","100.00","2","0","100.00","0","0","0.00","3","0","100.00","2","0","100.00","0","0","0.00","0.00","100.00","1.000","0","1","2","0.00"
