"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Morgan Rielly","D","1","11.816666666667","9","13","40.91","7","11","38.89","4","6","40.00","0","1","0.00","6","7","46.15","4","0","100.00","0","0","0.00","0.00","83.33","0.833","4","3","6","40.00"
"","Ron Hainsey","D","1","10.633333333333","5","10","33.33","4","8","33.33","3","3","50.00","0","0","0.00","3","5","37.50","2","1","66.67","0","0","0.00","0.00","100.00","1.000","3","3","4","42.86"
"","Jake Gardiner","D","1","12.533333333333","13","8","61.90","11","6","64.71","9","5","64.29","0","0","0.00","9","4","69.23","2","0","100.00","0","0","0.00","0.00","100.00","1.000","4","3","4","50.00"
"","James van Riemsdyk","L","1","7.45","6","8","42.86","4","6","40.00","3","4","42.86","0","1","0.00","3","3","50.00","1","0","100.00","0","0","0.00","0.00","75.00","0.750","3","2","1","75.00"
"","Connor Brown","R","1","6.3333333333333","5","8","38.46","4","6","40.00","2","4","33.33","0","1","0.00","3","3","50.00","2","0","100.00","0","0","0.00","0.00","75.00","0.750","3","2","1","75.00"
"","Tyler Bozak","C","1","6.4666666666667","5","8","38.46","3","6","33.33","3","4","42.86","0","1","0.00","3","3","50.00","1","0","100.00","0","0","0.00","0.00","75.00","0.750","3","2","1","75.00"
"","Roman Polak","D","1","7.1333333333333","2","8","20.00","2","7","22.22","2","2","50.00","0","1","0.00","2","5","28.57","1","1","50.00","0","0","0.00","0.00","50.00","0.500","0","3","4","0.00"
"","Mitchell Marner","C","1","8.6833333333333","6","7","46.15","4","7","36.36","2","3","40.00","0","0","0.00","4","4","50.00","1","1","50.00","0","0","0.00","0.00","100.00","1.000","1","2","3","25.00"
"","Nazem Kadri","C","1","8.4333333333333","6","6","50.00","4","6","40.00","2","2","50.00","0","0","0.00","4","4","50.00","1","1","50.00","0","0","0.00","0.00","100.00","1.000","1","2","3","25.00"
"","Patrick Marleau","C","1","7.6666666666667","7","5","58.33","6","5","54.55","4","2","66.67","0","0","0.00","5","3","62.50","3","1","75.00","0","0","0.00","0.00","100.00","1.000","3","2","3","50.00"
"","Zach Hyman","C","1","7.4166666666667","4","5","44.44","4","4","50.00","4","2","66.67","0","0","0.00","4","4","50.00","2","0","100.00","0","0","0.00","0.00","100.00","1.000","3","0","4","42.86"
"","William Nylander","C","1","7.6333333333333","5","4","55.56","5","3","62.50","5","2","71.43","0","0","0.00","4","3","57.14","2","0","100.00","0","0","0.00","0.00","100.00","1.000","3","0","4","42.86"
"","Auston Matthews","C","1","7.4833333333333","5","4","55.56","5","3","62.50","4","2","66.67","0","0","0.00","4","3","57.14","2","0","100.00","0","0","0.00","0.00","100.00","1.000","3","0","4","42.86"
"","Nikita Zaitsev","D","1","8.3166666666667","7","3","70.00","6","2","75.00","4","2","66.67","0","0","0.00","4","1","80.00","1","0","100.00","0","0","0.00","0.00","100.00","1.000","3","2","0","100.00"
"","Tomas Plekanec","C","1","3.7833333333333","3","3","50.00","3","2","60.00","2","1","66.67","0","0","0.00","2","1","66.67","1","0","100.00","0","0","0.00","0.00","100.00","1.000","0","3","1","0.00"
"","Leo Komarov","C","1","2.8833333333333","2","3","40.00","2","2","50.00","2","1","66.67","0","0","0.00","1","1","50.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","3","1","0.00"
"","Kasperi Kapanen","R","1","3.0666666666667","3","2","60.00","3","1","75.00","2","0","100.00","0","0","0.00","2","1","66.67","1","0","100.00","0","0","0.00","0.00","100.00","1.000","0","3","1","0.00"
