"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Andreas Borgman","December 19, 2017 - December 19, 2017","TOR","D","2","18.97","12.14","18.27","-6.13","39.92","38.4","57.79","11.76","17.06","-5.3","40.8","37.2","53.96","9.14","13.98","-4.84","39.53","28.91","44.22","0.78","1.07","-0.29","42.16","2.47","3.38","0.63","0.93","-0.3","40.38","1.99","2.94","--","1","1","--","3.16","8.53","92.35","6.63","93.73","5.36","94.55","1.28","-0.82","100.88","99.91","0.97"
"Connor Brown","December 19, 2017 - December 19, 2017","TOR","R","2","8.72","5.5","8.07","-2.57","40.53","37.84","55.53","4.39","6.37","-1.98","40.8","30.21","43.83","4.47","2.87","1.6","60.9","30.76","19.75","--","0.96","-0.96","--","--","6.61","0.22","0.21","0.01","51.16","1.51","1.44","1","--","-1","6.88","--","--","66.55","--","84.93","5.01","96.7","-5.01","-11.77","66.55","101.71","-35.16"
"Connor Carrick","December 19, 2017 - December 19, 2017","TOR","D","1","15.32","16.26","10","6.26","61.92","63.68","39.16","13.74","7.12","6.62","65.87","53.81","27.89","10.1","6.12","3.98","62.27","39.56","23.97","--","2.18","-2.18","--","--","8.54","0.75","0.39","0.36","65.79","2.94","1.53","--","--","--","--","--","--","64.38","--","69.38","5.46","94.52","-5.46","-25.14","64.38","99.98","-35.6"
"Dominic Moore","December 19, 2017 - December 19, 2017","TOR","C","2","11.12","8.29","7.23","1.06","53.41","44.73","39.01","5.16","6.51","-1.35","44.22","27.84","35.13","3.38","5.86","-2.48","36.58","18.24","31.62","--","--","--","--","--","--","0.18","0.25","-0.07","41.86","0.97","1.35","1","1","--","5.4","5.4","--","100","--","100","3.49","96.16","-3.49","3.84","100","99.65","0.35"
"Jake Gardiner","December 19, 2017 - December 19, 2017","TOR","D","2","20.07","17.94","12.56","5.38","58.82","53.63","37.55","14.39","9.94","4.45","59.15","43.02","29.72","11.52","7.86","3.66","59.44","34.44","23.5","1.79","2.07","-0.28","46.37","5.35","6.19","0.73","0.34","0.39","68.22","2.18","1.02","1","--","-1","2.99","--","15.54","73.66","12.44","79.18","5.07","96.58","7.37","-17.4","89.2","101.65","-12.45"
"James Van Riemsdyk","December 19, 2017 - December 19, 2017","TOR","L","2","15.57","22.58","8.01","14.57","73.81","87.01","30.87","19.49","7.02","12.47","73.52","75.11","27.05","13.28","4.95","8.33","72.85","51.18","19.08","0.78","--","0.78","100","3.01","--","0.97","0.18","0.79","84.35","3.74","0.69","1","--","-1","3.85","--","5.87","100","4","100","4.98","97.44","-0.97","2.56","105.87","102.41","3.46"
"Kasperi Kapanen","December 19, 2017 - December 19, 2017","TOR","R","1","10.65","6.77","7.21","-0.44","48.43","38.14","40.62","4.26","6.5","-2.24","39.59","24","36.62","3.39","5.85","-2.46","36.69","19.1","32.96","--","--","--","--","--","--","0.18","0.19","-0.01","48.65","1.01","1.07","1","1","--","5.63","5.63","--","100","--","100","4.23","97.08","-4.23","2.92","100","101.3","-1.3"
"Leo Komarov","December 19, 2017 - December 19, 2017","TOR","C","3","10.6","10.15","9.17","0.98","52.54","57.45","51.91","8.15","7.46","0.69","52.21","46.13","42.23","5.98","3.96","2.02","60.16","33.85","22.42","--","2.03","-2.03","--","--","11.49","0.48","0.29","0.19","62.34","2.72","1.64","1","--","-1","5.66","--","--","48.74","--","72.79","5.89","96.11","-5.89","-23.32","48.74","102","-53.26"
"Matt Martin","December 19, 2017 - December 19, 2017","TOR","L","2","11.17","7","8.21","-1.21","46.02","37.6","44.1","3.51","7.49","-3.98","31.91","18.85","40.23","2.56","6.84","-4.28","27.23","13.75","36.74","--","--","--","--","--","--","0.29","0.27","0.02","51.79","1.56","1.45","1","1","--","5.37","5.37","--","100","--","100","8.26","96.4","-8.26","3.6","100","104.66","-4.66"
"Mitch Marner","December 19, 2017 - December 19, 2017","TOR","C","2","15.3","20.91","6.91","14","75.16","82","27.1","17.76","5.94","11.82","74.94","69.65","23.29","12.43","3.86","8.57","76.3","48.75","15.14","0.78","--","0.78","100","3.06","--","0.91","0.17","0.74","84.26","3.57","0.67","1","--","-1","3.92","--","6.28","100","4.39","100","5.12","97.14","-0.73","2.86","106.28","102.26","4.01"
"Morgan Rielly","December 19, 2017 - December 19, 2017","TOR","D","3","16.63","16.25","12.11","4.14","57.3","58.63","43.69","13.26","9.94","3.32","57.16","47.84","35.86","9.35","6.86","2.49","57.68","33.73","24.75","--","--","--","--","--","--","0.77","0.37","0.4","67.54","2.78","1.33","1","--","-1","3.61","--","--","100","--","100","5.81","96.28","-5.81","3.72","100","102.08","-2.08"
"Nazem Kadri","December 19, 2017 - December 19, 2017","TOR","C","1","11.55","10.81","10.83","-0.02","49.95","56.16","56.26","9.51","8.27","1.24","53.49","49.4","42.96","7.38","4.79","2.59","60.64","38.34","24.88","--","1.07","-1.07","--","--","5.56","0.58","0.29","0.29","66.67","3.01","1.51","1","--","-1","5.19","--","--","77.66","--","87.06","6.1","96.49","-6.1","-9.43","77.66","102.59","-24.93"
