"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Andreas Borgman","December 14, 2017 - December 14, 2017","TOR","D","3","12.92","8.5","9.07","-0.57","48.38","39.47","42.12","6.07","8.24","-2.17","42.42","28.19","38.27","6.12","5.28","0.84","53.68","28.42","24.52","0.85","1.12","-0.27","43.15","3.95","5.2","0.26","0.31","-0.05","45.61","1.21","1.44","--","1","1","--","4.64","13.89","78.79","14","86.41","4.28","96.24","9.72","-9.83","92.68","100.52","-7.84"
"Connor Brown","December 14, 2017 - December 14, 2017","TOR","R","2","10","13.26","4.73","8.53","73.71","79.56","28.38","12.84","4.78","8.06","72.87","77.04","28.68","8.31","4.8","3.51","63.39","49.86","28.8","--","1.12","-1.12","--","--","6.72","0.46","0.25","0.21","64.79","2.76","1.5","2","1","-1","12","6","--","76.67","--","76.57","3.58","94.77","-3.58","-18.2","76.67","98.35","-21.69"
"Dominic Moore","December 14, 2017 - December 14, 2017","TOR","C","2","9.48","6.9","6.84","0.06","50.22","43.67","43.29","5.55","5.86","-0.31","48.64","35.13","37.09","3","2.86","0.14","51.19","18.99","18.1","0.85","--","0.85","100","5.38","--","0.34","0.32","0.02","51.52","2.15","2.03","1","--","-1","6.33","--","28.33","100","15.32","100","6.13","94.54","9.19","5.46","128.33","100.67","27.67"
"Jake Gardiner","December 14, 2017 - December 14, 2017","TOR","D","3","16.77","15.77","15.22","0.55","50.89","56.42","54.45","12.26","15.34","-3.08","44.42","43.86","54.88","9.05","11.3","-2.25","44.47","32.38","40.43","--","--","--","--","--","--","0.73","0.54","0.19","57.48","2.61","1.93","1","2","1","3.58","7.16","--","100","--","100","5.95","96.48","-5.95","3.52","100","102.43","-2.43"
"James Van Riemsdyk","December 14, 2017 - December 14, 2017","TOR","L","2","10.18","13.2","5.84","7.36","69.33","77.8","34.42","12.78","4.78","8","72.78","75.32","28.17","8.26","4.8","3.46","63.25","48.68","28.29","--","1.12","-1.12","--","--","6.6","0.45","0.25","0.2","64.29","2.65","1.47","2","1","-1","11.79","5.89","--","76.67","--","76.57","3.52","94.77","-3.52","-18.2","76.67","98.29","-21.62"
"Kasperi Kapanen","December 14, 2017 - December 14, 2017","TOR","R","2","12.43","8.16","10.88","-2.72","42.86","39.39","52.52","6.2","9.03","-2.83","40.71","29.93","43.59","3.68","5.96","-2.28","38.17","17.76","28.77","0.85","--","0.85","100","4.1","--","0.36","0.41","-0.05","46.75","1.74","1.98","1","--","-1","4.83","--","23.1","100","13.71","100","5.81","95.46","7.9","4.54","123.1","101.27","21.83"
"Leo Komarov","December 14, 2017 - December 14, 2017","TOR","C","1","11.85","7.66","11.4","-3.74","40.19","38.78","57.72","4.5","11.52","-7.02","28.09","22.78","58.33","4.53","6.44","-1.91","41.29","22.94","32.61","--","--","--","--","--","--","0.17","0.36","-0.19","32.08","0.86","1.82","--","1","1","--","5.06","--","100","--","100","3.78","96.88","-3.78","3.12","100","100.65","-0.65"
"Matt Martin","December 14, 2017 - December 14, 2017","TOR","L","1","7.6","7.03","6.03","1","53.83","55.5","47.61","5.66","3.94","1.72","58.96","44.68","31.11","3.96","2.02","1.94","66.22","31.26","15.95","0.85","--","0.85","100","6.71","--","0.4","0.17","0.23","70.18","3.16","1.34","1","--","-1","7.89","--","21.46","100","15.02","100","7.07","95.69","7.95","4.31","121.46","102.75","18.71"
"Mitch Marner","December 14, 2017 - December 14, 2017","TOR","C","2","14.82","6.66","14.19","-7.53","31.94","26.96","57.45","4.13","13.24","-9.11","23.78","16.72","53.6","4.18","7.67","-3.49","35.27","16.92","31.05","--","--","--","--","--","--","0.23","0.45","-0.22","33.82","0.93","1.82","--","1","1","--","4.05","--","100","--","100","5.57","96.6","-5.57","3.4","100","102.17","-2.17"
"Morgan Rielly","December 14, 2017 - December 14, 2017","TOR","D","2","16.43","10.9","7.67","3.23","58.7","39.81","28.01","9.49","5.58","3.91","62.97","34.66","20.38","5.45","3.6","1.85","60.22","19.9","13.15","--","--","--","--","--","--","0.31","0.18","0.13","63.27","1.13","0.66","2","1","-1","7.3","3.65","--","100","--","100","3.27","96.77","-3.27","3.23","100","100.04","-0.04"
"Nazem Kadri","December 14, 2017 - December 14, 2017","TOR","C","2","12.03","7.32","9.57","-2.25","43.34","36.51","47.73","4.18","9.67","-5.49","30.18","20.85","48.23","3.57","4.59","-1.02","43.75","17.81","22.89","--","--","--","--","--","--","0.14","0.3","-0.16","31.82","0.7","1.5","--","1","1","--","4.99","--","100","--","100","3.35","96.9","-3.35","3.1","100","100.25","-0.25"
"Nikita Zaitsev","December 14, 2017 - December 14, 2017","TOR","D","2","16.18","15.69","20.16","-4.47","43.77","58.18","74.76","11.18","18.5","-7.32","37.67","41.46","68.6","8.49","11.93","-3.44","41.58","31.48","44.24","--","--","--","--","--","--","0.65","0.78","-0.13","45.45","2.41","2.89","1","1","--","3.71","3.71","--","100","--","100","5.81","95.78","-5.81","4.22","100","101.6","-1.6"
"Patrick Marleau","December 14, 2017 - December 14, 2017","TOR","C","3","14.4","6.77","13.93","-7.16","32.71","28.21","58.04","4.23","12.14","-7.91","25.84","17.62","50.58","4.28","7.67","-3.39","35.82","17.83","31.96","--","--","--","--","--","--","0.21","0.41","-0.2","33.87","0.87","1.71","--","1","1","--","4.17","--","100","--","100","4.96","96.62","-4.96","3.38","100","101.59","-1.59"
