"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Andreas Borgman","December 11, 2017 - December 11, 2017","TOR","D","1","13.27","13.18","11.41","1.77","53.6","59.59","51.59","10.15","10.42","-0.27","49.34","45.89","47.11","7.24","9.49","-2.25","43.28","32.74","42.91","1.15","0.83","0.32","58.08","5.2","3.75","0.35","0.51","-0.16","40.7","1.58","2.31","1","--","-1","4.52","--","15.88","91.25","11.33","92.03","3.45","95.11","7.88","-3.07","107.14","98.55","8.58"
"Connor Brown","December 11, 2017 - December 11, 2017","TOR","R","2","14.02","11.94","9.58","2.36","55.48","51.1","41","10.11","5.49","4.62","64.81","43.27","23.5","5.88","5.55","0.33","51.44","25.16","23.75","1.15","1.94","-0.79","37.22","4.92","8.3","0.42","0.7","-0.28","37.5","1.8","3","--","--","--","--","--","19.56","65.05","11.37","64.66","4.15","87.25","7.22","-22.59","84.6","91.4","-6.8"
"Dominic Moore","December 11, 2017 - December 11, 2017","TOR","C","1","10.2","5.5","14.72","-9.22","27.2","32.35","86.59","4.58","13.21","-8.63","25.74","26.94","77.71","4.61","10.26","-5.65","31","27.12","60.35","--","0.83","-0.83","--","--","4.88","0.32","0.58","-0.26","35.56","1.88","3.41","--","--","--","--","--","--","91.91","--","93.72","6.99","95.61","-6.99","-1.89","91.91","102.6","-10.69"
"Jake Gardiner","December 11, 2017 - December 11, 2017","TOR","D","2","22.52","13.5","22.49","-8.99","37.51","35.97","59.92","10.04","17.27","-7.23","36.76","26.75","46.01","7.78","14.87","-7.09","34.35","20.73","39.62","--","1.94","-1.94","--","--","5.17","0.57","0.72","-0.15","44.19","1.52","1.92","--","1","1","--","2.66","--","86.95","--","88.77","5.68","95.83","-5.68","-7.06","86.95","101.51","-14.55"
"James Van Riemsdyk","December 11, 2017 - December 11, 2017","TOR","L","1","13.87","8.68","10.74","-2.06","44.7","37.55","46.46","4.59","7.63","-3.04","37.56","19.86","33.01","3.63","6.74","-3.11","35","15.7","29.16","--","0.83","-0.83","--","--","3.59","0.22","0.34","-0.12","39.29","0.95","1.47","1","--","-1","4.33","--","--","87.69","--","89.12","4.79","95.54","-4.79","-6.42","87.69","100.34","-12.65"
"Josh Leivo","December 11, 2017 - December 11, 2017","TOR","L","2","8.93","5.5","12.16","-6.66","31.14","36.95","81.7","4.58","10.6","-6.02","30.17","30.77","71.22","4.61","7.63","-3.02","37.66","30.97","51.27","--","--","--","--","--","--","0.32","0.43","-0.11","42.67","2.15","2.89","--","--","--","--","--","--","100","--","100","6.99","95.94","-6.99","4.06","100","102.93","-2.93"
"Leo Komarov","December 11, 2017 - December 11, 2017","TOR","C","1","17.32","11.32","18.66","-7.34","37.76","39.21","64.64","8.75","16.19","-7.44","35.08","30.31","56.09","4.03","13.76","-9.73","22.65","13.96","47.67","--","--","--","--","--","--","0.36","0.54","-0.18","40","1.25","1.87","--","1","1","--","3.46","--","100","--","100","4.11","96.66","-4.11","3.34","100","100.78","-0.78"
"Matt Martin","December 11, 2017 - December 11, 2017","TOR","L","2","9.53","5.5","11.24","-5.74","32.86","34.63","70.77","4.58","10.63","-6.05","30.11","28.84","66.93","4.61","7.63","-3.02","37.66","29.02","48.04","--","--","--","--","--","--","0.32","0.43","-0.11","42.67","2.01","2.71","--","--","--","--","--","--","100","--","100","6.99","95.95","-6.99","4.05","100","102.94","-2.94"
"Mitch Marner","December 11, 2017 - December 11, 2017","TOR","C","1","13.35","7.7","13.05","-5.35","37.11","34.61","58.65","3.61","10.58","-6.97","25.44","16.22","47.55","3.63","8.83","-5.2","29.13","16.31","39.69","--","0.83","-0.83","--","--","3.73","0.2","0.42","-0.22","32.26","0.9","1.89","1","--","-1","4.49","--","--","90.6","--","92.16","5.54","96.03","-5.54","-3.88","90.6","101.57","-10.97"
"Morgan Rielly","December 11, 2017 - December 11, 2017","TOR","D","2","19.58","12.38","15.89","-3.51","43.79","37.94","48.69","8.9","13.23","-4.33","40.22","27.27","40.54","4.52","10.29","-5.77","30.52","13.85","31.53","--","--","--","--","--","--","0.42","0.78","-0.36","35","1.29","2.39","--","--","--","--","--","--","100","--","100","4.72","94.1","-4.72","5.9","100","98.82","1.18"
