"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Andreas Borgman","December 13, 2017 - December 13, 2017","TOR","D","1","12.2","16.39","8.3","8.09","66.38","80.61","40.82","10.7","8.35","2.35","56.17","52.62","41.07","6.27","5.6","0.67","52.82","30.84","27.54","--","--","--","--","--","0.59","0.15","0.44","79.73","2.9","0.74","--","1","1","--","4.92","--","100","--","100","5.51","98.2","-5.51","1.8","100","103.72","-3.72"
"Connor Brown","December 13, 2017 - December 13, 2017","TOR","R","3","11.3","16.9","8.29","8.61","67.09","89.73","44.02","8.88","5.11","3.77","63.47","47.15","27.13","6.06","3.2","2.86","65.44","32.18","16.99","--","0.88","-0.88","--","4.67","0.48","0.16","0.32","75","2.55","0.85","--","1","1","--","5.31","--","72.5","--","82.78","5.41","96.87","-5.41","-14.09","72.5","102.27","-29.77"
"Dominic Moore","December 13, 2017 - December 13, 2017","TOR","C","3","8.83","7.17","5.5","1.67","56.59","48.72","37.37","5.46","3.59","1.87","60.33","37.1","24.39","2.3","2.52","-0.22","47.72","15.63","17.12","--","--","--","--","--","0.24","0.06","0.18","80","1.63","0.41","--","--","--","--","--","--","100","--","100","4.4","98.33","-4.4","1.67","100","102.72","-2.72"
"Jake Gardiner","December 13, 2017 - December 13, 2017","TOR","D","2","15.2","7.73","15.14","-7.41","33.8","30.51","59.76","5.98","10.77","-4.79","35.7","23.61","42.51","3.59","8.5","-4.91","29.69","14.17","33.55","--","1.03","-1.03","--","4.07","0.26","0.66","-0.4","28.26","1.03","2.61","1","1","--","3.95","3.95","--","87.88","--","90.44","4.35","93.87","-4.35","-3.44","87.88","98.22","-10.34"
"James Van Riemsdyk","December 13, 2017 - December 13, 2017","TOR","L","3","9.6","16","6.34","9.66","71.62","100","39.62","8.88","5.11","3.77","63.47","55.5","31.94","6.06","3.2","2.86","65.44","37.88","20","--","0.88","-0.88","--","5.5","0.48","0.16","0.32","75","3","1","--","1","1","--","6.25","--","72.5","--","82.78","5.41","96.87","-5.41","-14.09","72.5","102.27","-29.77"
"Josh Leivo","December 13, 2017 - December 13, 2017","TOR","L","2","7.52","5.28","3.55","1.73","59.8","42.13","28.32","5.46","3.59","1.87","60.33","43.56","28.64","2.3","2.52","-0.22","47.72","18.35","20.11","--","--","--","--","--","0.24","0.06","0.18","80","1.91","0.48","1","1","--","7.98","7.98","--","100","--","100","4.4","98.33","-4.4","1.67","100","102.72","-2.72"
"Leo Komarov","December 13, 2017 - December 13, 2017","TOR","C","3","13.73","8.48","8.4","0.08","50.24","37.06","36.71","6.17","7.52","-1.35","45.07","26.96","32.86","2.59","5.38","-2.79","32.5","11.32","23.51","--","--","--","--","--","0.18","0.4","-0.22","31.03","0.79","1.75","1","1","--","4.37","4.37","--","100","--","100","2.92","94.68","-2.92","5.32","100","97.6","2.4"
"Matt Martin","December 13, 2017 - December 13, 2017","TOR","L","1","9","7.01","5.5","1.51","56.04","46.73","36.67","5.46","3.59","1.87","60.33","36.4","23.93","2.3","2.52","-0.22","47.72","15.33","16.8","--","--","--","--","--","0.24","0.06","0.18","80","1.6","0.4","--","--","--","--","--","--","100","--","100","4.4","98.33","-4.4","1.67","100","102.72","-2.72"
"Mitch Marner","December 13, 2017 - December 13, 2017","TOR","C","2","12.75","5.4","16.29","-10.89","24.9","25.41","76.66","5.48","12.41","-6.93","30.63","25.79","58.4","3.76","9.38","-5.62","28.61","17.69","44.14","--","1.03","-1.03","--","4.85","0.41","0.6","-0.19","40.59","1.93","2.82","--","--","--","--","--","--","89.02","--","91.7","7.48","95.17","-7.48","-3.46","89.02","102.65","-13.63"
"Morgan Rielly","December 13, 2017 - December 13, 2017","TOR","D","3","15.45","11.79","11.07","0.72","51.57","45.79","42.99","7.66","10.39","-2.73","42.44","29.75","40.35","4.19","8.33","-4.14","33.47","16.27","32.35","--","0.88","-0.88","--","3.42","0.36","0.43","-0.07","45.57","1.4","1.67","--","--","--","--","--","--","89.44","--","91.53","4.7","95.86","-4.7","-4.33","89.44","100.56","-11.13"
"Nazem Kadri","December 13, 2017 - December 13, 2017","TOR","C","2","13.2","7.54","8.18","-0.64","47.96","34.27","37.18","5.23","7.32","-2.09","41.67","23.77","33.27","1.64","6.25","-4.61","20.79","7.45","28.41","--","--","--","--","--","0.17","0.4","-0.23","29.82","0.77","1.82","--","--","--","--","--","--","100","--","100","3.25","94.54","-3.25","5.46","100","97.79","2.21"
"Nikita Zaitsev","December 13, 2017 - December 13, 2017","TOR","D","2","15.3","6.18","16.78","-10.6","26.92","24.24","65.8","4.38","10.61","-6.23","29.22","17.18","41.61","0.95","8.34","-7.39","10.23","3.73","32.71","--","1.03","-1.03","--","4.04","0.11","0.64","-0.53","14.67","0.43","2.51","--","--","--","--","--","--","87.65","--","90.29","2.51","93.97","-2.51","-3.68","87.65","96.48","-8.83"
"Patrick Marleau","December 13, 2017 - December 13, 2017","TOR","C","2","14.5","7.8","16.29","-8.49","32.38","32.28","67.41","6.43","12.41","-5.98","34.13","26.61","51.35","4.71","9.38","-4.67","33.43","19.49","38.81","--","1.03","-1.03","--","4.26","0.42","0.6","-0.18","41.18","1.74","2.48","1","1","--","4.14","4.14","--","89.02","--","91.7","6.53","95.17","-6.53","-3.46","89.02","101.7","-12.68"
"Roman Polak","December 13, 2017 - December 13, 2017","TOR","D","1","15.13","17.64","7.62","10.02","69.83","69.95","30.22","11.35","7.64","3.71","59.77","45.01","30.3","6.94","4.87","2.07","58.76","27.52","19.31","--","--","--","--","--","0.68","0.13","0.55","83.95","2.7","0.52","--","1","1","--","3.97","--","100","--","100","5.99","98.3","-5.99","1.7","100","104.29","-4.29"
"Ron Hainsey","December 13, 2017 - December 13, 2017","TOR","D","3","18.67","15.33","13.71","1.62","52.79","49.27","44.06","11.93","9.1","2.83","56.73","38.34","29.24","7.5","7.06","0.44","51.51","24.1","22.69","--","0.88","-0.88","--","2.83","0.62","0.42","0.2","59.62","1.99","1.35","--","--","--","--","--","--","87.54","--","90.33","5.2","95.38","-5.2","-5.05","87.54","100.58","-13.05"
"Tyler Bozak","December 13, 2017 - December 13, 2017","TOR","C","2","10.43","15.66","6.34","9.32","71.18","90.09","36.47","8.88","5.11","3.77","63.47","51.08","29.4","6.06","3.2","2.86","65.44","34.86","18.41","--","0.88","-0.88","--","5.06","0.48","0.16","0.32","75","2.76","0.92","--","1","1","--","5.75","--","72.5","--","82.78","5.41","96.87","-5.41","-14.09","72.5","102.27","-29.77"
"William Nylander","December 13, 2017 - December 13, 2017","TOR","C","2","13.67","8.48","8.18","0.3","50.9","37.22","35.9","6.17","7.32","-1.15","45.74","27.08","32.13","2.59","6.25","-3.66","29.3","11.37","27.43","--","--","--","--","--","0.18","0.4","-0.22","31.03","0.79","1.76","1","1","--","4.39","4.39","--","100","--","100","2.92","94.54","-2.92","5.46","100","97.45","2.55"
"Zach Hyman","December 13, 2017 - December 13, 2017","TOR","C","1","13.35","6.86","16.07","-9.21","29.92","30.83","72.22","5.48","12.22","-6.74","30.96","24.63","54.92","3.76","10.25","-6.49","26.84","16.9","46.07","--","1.03","-1.03","--","4.63","0.41","0.6","-0.19","40.59","1.84","2.7","--","--","--","--","--","--","89.95","--","91.57","7.48","95.09","-7.48","-3.52","89.95","102.57","-12.62"
