"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Andreas Borgman","December 27, 2017 - December 27, 2017","TOR","D","1","14.93","9.18","21.27","-12.09","30.15","36.89","85.48","9.33","15.77","-6.44","37.17","37.49","63.38","7.29","10.4","-3.11","41.21","29.3","41.8","1.03","0.85","0.18","54.79","4.14","3.42","1.15","1.42","-0.27","44.75","4.62","5.71","4","2","-2","16.08","8.04","14.13","91.83","11.04","94.61","12.33","91","-1.29","3.61","105.96","103.32","2.63"
"Auston Matthews","December 27, 2017 - December 27, 2017","TOR","C","1","16.43","13.98","13.48","0.5","50.91","51.05","49.23","11.08","9.5","1.58","53.84","40.46","34.69","9.09","5.58","3.51","61.96","33.2","20.38","2.05","--","2.05","100","7.49","--","1.06","0.68","0.38","60.92","3.87","2.48","2","2","--","7.3","7.3","22.55","100","18.5","100","9.57","92.84","8.94","7.16","122.55","102.41","20.14"
"Connor Brown","December 27, 2017 - December 27, 2017","TOR","R","2","12.12","6.43","13.47","-7.04","32.31","31.83","66.68","6.46","9.89","-3.43","39.51","31.98","48.96","4.68","6.41","-1.73","42.2","23.17","31.73","--","1.07","-1.07","--","--","5.3","0.22","0.36","-0.14","37.93","1.09","1.78","--","1","1","--","4.95","--","83.31","--","89.18","3.41","96.36","-3.41","-7.18","83.31","99.77","-16.46"
"Connor Carrick","December 27, 2017 - December 27, 2017","TOR","D","1","16.95","10.94","21.99","-11.05","33.22","38.73","77.84","7.53","18.86","-11.33","28.53","26.65","66.76","4.85","12.53","-7.68","27.91","17.17","44.35","1.14","1.98","-0.84","36.54","4.04","7.01","0.61","1.38","-0.77","30.65","2.16","4.88","3","2","-1","10.62","7.08","23.51","84.2","15.14","89.5","8.1","92.68","7.04","-3.18","107.7","100.78","6.92"
"Dominic Moore","December 27, 2017 - December 27, 2017","TOR","C","2","9.2","1.77","12.29","-10.52","12.59","11.54","80.15","1.78","9.49","-7.71","15.79","11.61","61.89","1.04","5.35","-4.31","16.28","6.78","34.89","--","1.07","-1.07","--","--","6.98","0.05","0.34","-0.29","12.82","0.33","2.22","--","1","1","--","6.52","--","80","--","88.72","2.81","96.42","-2.81","-7.69","80","99.23","-19.23"
"Jake Gardiner","December 27, 2017 - December 27, 2017","TOR","D","2","21.88","18.44","24.56","-6.12","42.88","50.57","67.35","13.65","19.85","-6.2","40.75","37.43","54.43","8.5","11.82","-3.32","41.83","23.31","32.41","1.14","1.07","0.07","51.58","3.13","2.93","1.03","0.68","0.35","60.23","2.82","1.86","--","--","--","--","--","13.41","90.95","8.35","94.61","7.55","96.57","0.81","-1.96","104.36","104.12","0.24"
"James Van Riemsdyk","December 27, 2017 - December 27, 2017","TOR","L","1","13.75","12.61","19.36","-6.75","39.44","55.03","84.48","10.67","17.28","-6.61","38.18","46.56","75.4","7.66","11.78","-4.12","39.4","33.43","51.4","0.85","1.75","-0.9","32.69","3.71","7.64","0.67","2.01","-1.34","25","2.92","8.77","1","--","-1","4.36","--","11.1","85.14","7.97","89.87","6.28","88.37","1.69","1.5","96.24","94.65","1.59"
"Leo Komarov","December 27, 2017 - December 27, 2017","TOR","C","2","13.03","13.58","12.38","1.2","52.31","62.53","57.01","12.81","8.53","4.28","60.03","58.99","39.28","8.88","3.59","5.29","71.21","40.89","16.53","1.14","--","1.14","100","5.25","--","1.04","0.29","0.75","78.2","4.79","1.34","1","--","-1","4.6","--","12.84","100","8.9","100","8.12","96.6","0.78","3.4","112.84","104.72","8.12"
"Matt Martin","December 27, 2017 - December 27, 2017","TOR","L","1","8.67","8.15","9.35","-1.2","46.57","56.4","64.71","8.18","8.21","-0.03","49.91","56.61","56.82","4.22","5.35","-1.13","44.1","29.2","37.02","--","1.07","-1.07","--","--","7.4","0.68","0.36","0.32","65.38","4.71","2.49","--","1","1","--","6.92","--","80","--","86.97","8.31","95.62","-8.31","-8.65","80","103.93","-23.93"
"Mitch Marner","December 27, 2017 - December 27, 2017","TOR","C","1","15.12","12.99","22.19","-9.2","36.92","51.55","88.06","11.1","18.16","-7.06","37.94","44.05","72.06","7.82","11.77","-3.95","39.92","31.03","46.71","1.99","1.75","0.24","53.21","7.9","6.94","0.92","2.01","-1.09","31.4","3.65","7.98","1","--","-1","3.97","--","25.45","85.13","17.93","90.36","8.29","88.93","9.64","1.43","110.58","97.22","13.36"
