"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Andreas Borgman","December 9, 2017 - December 9, 2017","TOR","D","1","13.05","5.18","14.34","-9.16","26.54","23.82","65.93","1.09","9.46","-8.37","10.33","5.01","43.49","1.09","6.6","-5.51","14.17","5.01","30.34","--","--","--","--","--","0.04","0.37","-0.33","9.76","0.18","1.7","--","--","--","--","--","--","100","--","100","3.67","96.09","-3.67","3.91","100","99.76","0.24"
"Connor Brown","December 9, 2017 - December 9, 2017","TOR","R","3","14.23","9.21","14.59","-5.38","38.7","38.83","61.52","7.1","12","-4.9","37.17","29.94","50.6","6.38","7.81","-1.43","44.96","26.9","32.93","1.21","--","1.21","5.1","--","0.86","0.46","0.4","65.15","3.63","1.94","--","--","--","--","--","18.97","100","17.04","100","12.11","96.17","4.93","3.83","118.97","108.28","10.69"
"Dominic Moore","December 9, 2017 - December 9, 2017","TOR","C","2","10.58","15.22","6.46","8.76","70.2","86.31","36.64","7.41","4.21","3.2","63.77","42.02","23.88","6.46","1.92","4.54","77.09","36.64","10.89","--","--","--","--","--","0.63","0.21","0.42","75","3.57","1.19","--","1","1","--","5.67","--","100","--","100","8.5","95.01","-8.5","4.99","100","103.51","-3.51"
"Jake Gardiner","December 9, 2017 - December 9, 2017","TOR","D","2","18.65","19.08","20.22","-1.14","48.55","61.38","65.05","14.1","18.48","-4.38","43.28","45.36","59.45","13.44","13.96","-0.52","49.05","43.24","44.91","1.21","--","1.21","3.89","--","1.4","0.74","0.66","65.42","4.5","2.38","--","--","--","--","--","9","100","8.58","100","9.93","96","-1.35","4","109","105.92","3.08"
"James Van Riemsdyk","December 9, 2017 - December 9, 2017","TOR","L","2","11.58","8.4","11.36","-2.96","42.51","43.52","58.86","4.76","10.02","-5.26","32.21","24.66","51.92","2.8","7.8","-5","26.42","14.51","40.41","--","--","--","--","--","0.28","0.45","-0.17","38.36","1.45","2.33","--","--","--","--","--","--","100","--","100","5.88","95.51","-5.88","4.49","100","101.39","-1.39"
"Josh Leivo","December 9, 2017 - December 9, 2017","TOR","L","2","9.97","12.36","6.22","6.14","66.52","74.38","37.43","4.53","4.69","-0.16","49.13","27.26","28.22","4.57","2.83","1.74","61.76","27.5","17.03","--","--","--","--","--","0.27","0.24","0.03","52.94","1.62","1.44","--","--","--","--","--","--","100","--","100","5.96","94.88","-5.96","5.12","100","100.84","-0.84"
"Leo Komarov","December 9, 2017 - December 9, 2017","TOR","C","2","13.82","5.1","20.59","-15.49","19.85","22.14","89.39","5.17","16.17","-11","24.23","22.45","70.2","3.35","5.7","-2.35","37.02","14.54","24.75","--","--","--","--","--","0.26","1.02","-0.76","20.31","1.13","4.43","--","--","--","--","--","--","100","--","100","5.03","93.69","-5.03","6.31","100","98.72","1.28"
"Matt Martin","December 9, 2017 - December 9, 2017","TOR","L","1","8.88","12.34","6.08","6.26","66.99","83.38","41.08","6.52","2.88","3.64","69.36","44.05","19.46","5.56","1.92","3.64","74.33","37.57","12.97","--","--","--","--","--","0.58","0.17","0.41","77.33","3.92","1.15","--","1","1","--","6.76","--","100","--","100","8.9","94.1","-8.9","5.9","100","102.99","-2.99"
"Mitch Marner","December 9, 2017 - December 9, 2017","TOR","C","2","11.5","7.35","11.36","-4.01","39.28","38.35","59.27","5.72","10.02","-4.3","36.34","29.84","52.28","3.75","7.8","-4.05","32.47","19.57","40.7","--","--","--","--","--","0.48","0.45","0.03","51.61","2.5","2.35","--","--","--","--","--","--","100","--","100","8.39","95.51","-8.39","4.49","100","103.9","-3.9"
"Morgan Rielly","December 9, 2017 - December 9, 2017","TOR","D","2","17.25","15.61","16.5","-0.89","48.61","54.3","57.39","10.22","12.28","-2.06","45.42","35.55","42.71","6.41","2.8","3.61","69.6","22.3","9.74","--","--","--","--","--","0.8","0.41","0.39","66.12","2.78","1.43","--","1","1","--","3.48","--","100","--","100","7.83","96.66","-7.83","3.34","100","104.49","-4.49"
"Nazem Kadri","December 9, 2017 - December 9, 2017","TOR","C","2","15.08","6.05","20.59","-14.54","22.71","24.07","81.92","6.13","16.17","-10.04","27.49","24.39","64.34","4.31","5.7","-1.39","43.06","17.15","22.68","--","--","--","--","--","0.46","1.02","-0.56","31.08","1.83","4.06","--","--","--","--","--","--","100","--","100","7.5","93.69","-7.5","6.31","100","101.2","-1.2"
"Nikita Zaitsev","December 9, 2017 - December 9, 2017","TOR","D","3","16.77","14.17","20.29","-6.12","41.12","50.7","72.59","12.15","18.69","-6.54","39.4","43.47","66.87","10.51","12.17","-1.66","46.34","37.6","43.54","1.21","--","1.21","4.33","--","1.16","1.27","-0.11","47.74","4.15","4.54","--","--","--","--","--","11.51","100","9.96","100","9.55","93.2","0.41","6.8","111.51","102.75","8.76"
"Patrick Marleau","December 9, 2017 - December 9, 2017","TOR","C","2","15.15","8.91","21.11","-12.2","29.68","35.29","83.6","9","15.94","-6.94","36.09","35.64","63.13","6.2","4.77","1.43","56.52","24.55","18.89","--","--","--","--","--","0.82","1.04","-0.22","44.09","3.25","4.12","--","1","1","--","3.96","--","100","--","100","9.11","93.48","-9.11","6.52","100","102.59","-2.59"
"Roman Polak","December 9, 2017 - December 9, 2017","TOR","D","2","17.35","14.16","14.11","0.05","50.09","48.97","48.8","9.04","9.68","-0.64","48.29","31.26","33.48","6.07","7","-0.93","46.44","20.99","24.21","--","--","--","--","--","0.85","0.45","0.4","65.38","2.94","1.56","--","1","1","--","3.46","--","100","--","100","9.4","95.35","-9.4","4.65","100","104.75","-4.75"
