"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Andreas Borgman","December 22, 2017 - December 22, 2017","TOR","D","2","9.78","9.53","5.63","3.9","62.86","58.47","34.54","8.03","3.58","4.45","69.16","49.26","21.96","5.38","2.78","2.6","65.93","33.01","17.06","--","--","--","--","--","0.34","0.12","0.22","73.91","2.09","0.74","--","--","--","--","--","--","100","--","100","4.23","96.65","-4.23","3.35","100","100.88","-0.88"
"Auston Matthews","December 22, 2017 - December 22, 2017","TOR","C","2","14.32","9.56","13.62","-4.06","41.24","40.06","57.07","7.25","9.13","-1.88","44.26","30.38","38.25","5.97","6.3","-0.33","48.66","25.01","26.4","1.63","1.13","0.5","6.83","4.73","0.6","0.66","-0.06","47.62","2.51","2.77","2","3","1","8.38","12.57","27.3","82.06","22.48","87.62","8.28","92.77","14.21","-5.15","109.37","101.05","8.32"
"Connor Brown","December 22, 2017 - December 22, 2017","TOR","R","2","8.87","7.13","6.49","0.64","52.35","48.23","43.9","7.23","5.61","1.62","56.31","48.91","37.95","4.54","4.55","-0.01","49.94","30.71","30.78","--","--","--","--","--","0.41","0.58","-0.17","41.41","2.77","3.92","--","1","1","--","6.76","--","100","--","100","5.67","89.66","-5.67","10.34","100","95.33","4.67"
"Connor Carrick","December 22, 2017 - December 22, 2017","TOR","D","2","9.47","9.09","8.65","0.44","51.24","57.59","54.8","7.44","6.92","0.52","51.81","47.14","43.84","5.49","3.98","1.51","57.97","34.78","25.22","1.63","1.13","0.5","10.33","7.16","0.5","0.45","0.05","52.63","3.17","2.85","--","--","--","--","--","29.69","71.61","21.91","83.67","6.72","93.5","15.19","-9.83","101.3","100.22","1.08"
"Dominic Moore","December 22, 2017 - December 22, 2017","TOR","C","1","7.63","7.35","6.58","0.77","52.76","57.8","51.74","6.5","4.78","1.72","57.62","51.11","37.59","5.6","3.77","1.83","59.77","44.04","29.65","--","--","--","--","--","0.25","0.18","0.07","58.14","1.97","1.42","--","1","1","--","7.86","--","100","--","100","3.85","96.23","-3.85","3.77","100","100.08","-0.08"
"Jake Gardiner","December 22, 2017 - December 22, 2017","TOR","D","2","20.55","16.28","18.71","-2.43","46.53","47.53","54.63","10.51","14.65","-4.14","41.77","30.69","42.77","8.33","11.75","-3.42","41.48","24.32","34.31","0.8","1.13","-0.33","2.34","3.3","0.64","1.16","-0.52","35.56","1.87","3.39","--","2","2","--","5.84","9.6","90.38","7.61","92.29","6.09","92.08","1.52","0.2","99.99","98.17","1.82"
"James Van Riemsdyk","December 22, 2017 - December 22, 2017","TOR","L","3","9.57","4.87","7.59","-2.72","39.09","30.53","47.59","3.69","4.94","-1.25","42.76","23.13","30.97","3.08","5.02","-1.94","38.02","19.31","31.47","--","0.86","-0.86","--","5.39","0.24","0.19","0.05","55.81","1.5","1.19","2","1","-1","12.54","6.27","--","82.87","--","82.59","6.5","96.15","-6.5","-13.56","82.87","102.66","-19.79"
"Leo Komarov","December 22, 2017 - December 22, 2017","TOR","C","2","13.2","14.94","7.85","7.09","65.56","67.91","35.68","11.33","5.81","5.52","66.1","51.5","26.41","9.5","5.08","4.42","65.16","43.18","23.09","--","--","--","--","--","0.55","0.26","0.29","67.9","2.5","1.18","--","3","3","--","13.64","--","100","--","100","4.85","95.52","-4.85","4.48","100","100.38","-0.38"
"Matt Martin","December 22, 2017 - December 22, 2017","TOR","L","1","6.9","5.53","4.64","0.89","54.38","48.09","40.35","5.58","3.79","1.79","59.55","48.52","32.96","5.6","2.78","2.82","66.83","48.7","24.17","--","--","--","--","--","0.23","0.12","0.11","65.71","2","1.04","--","1","1","--","8.7","--","100","--","100","4.12","96.83","-4.12","3.17","100","100.96","-0.96"
"Mitch Marner","December 22, 2017 - December 22, 2017","TOR","C","3","11.25","5.33","7.55","-2.22","41.38","28.43","40.27","4.74","4.94","-0.2","48.97","25.28","26.35","4.13","5.02","-0.89","45.14","22.03","26.77","--","0.86","-0.86","--","4.59","0.43","0.19","0.24","69.35","2.29","1.01","1","--","-1","5.33","--","--","82.87","--","82.59","9.07","96.15","-9.07","-13.56","82.87","105.23","-22.36"
"Morgan Rielly","December 22, 2017 - December 22, 2017","TOR","D","2","19.58","17.49","15.83","1.66","52.49","53.6","48.51","14.83","12.02","2.81","55.23","45.44","36.83","12.56","11.14","1.42","53","38.49","34.14","0.83","0.86","-0.03","2.54","2.64","0.83","1.05","-0.22","44.15","2.54","3.22","2","3","1","6.13","9.19","6.61","92.28","5.6","92.85","5.6","91.26","--","1.58","98.89","96.86","2.03"
"Nazem Kadri","December 22, 2017 - December 22, 2017","TOR","C","3","14.98","20.98","7.84","13.14","72.8","84.03","31.4","15.38","6.79","8.59","69.37","61.6","27.2","12.69","6.07","6.62","67.64","50.83","24.31","--","--","--","--","--","0.73","0.32","0.41","69.52","2.92","1.28","--","2","2","--","8.01","--","100","--","100","4.75","95.29","-4.75","4.71","100","100.03","-0.03"
"Patrick Marleau","December 22, 2017 - December 22, 2017","TOR","C","3","15.38","19.13","10.64","8.49","64.26","74.63","41.51","12.14","8.61","3.53","58.51","47.36","33.59","9.62","7.84","1.78","55.1","37.53","30.59","--","--","--","--","--","0.56","0.78","-0.22","41.79","2.18","3.04","--","3","3","--","11.7","--","100","--","100","4.61","90.94","-4.61","9.06","100","95.55","4.45"
"Roman Polak","December 22, 2017 - December 22, 2017","TOR","D","2","15.47","9.8","10.89","-1.09","47.37","38.01","42.24","7.34","7.46","-0.12","49.59","28.47","28.93","5.9","6.75","-0.85","46.64","22.88","26.18","--","0.86","-0.86","--","3.34","0.34","0.25","0.09","57.63","1.32","0.97","1","2","1","3.88","7.76","--","87.26","--","88.47","4.63","96.65","-4.63","-8.18","87.26","101.28","-14.02"
"Ron Hainsey","December 22, 2017 - December 22, 2017","TOR","D","2","20.15","19.49","11.19","8.3","63.53","58.03","33.32","15.5","8.32","7.18","65.07","46.15","24.77","12.77","7.48","5.29","63.06","38.02","22.27","--","--","--","--","--","0.98","0.47","0.51","67.59","2.92","1.4","3","5","2","8.93","14.89","--","100","--","100","6.32","94.35","-6.32","5.65","100","100.67","-0.67"
"Tyler Bozak","December 22, 2017 - December 22, 2017","TOR","C","3","10.2","5.22","6.57","-1.35","44.27","30.71","38.65","4.64","4.94","-0.3","48.43","27.29","29.06","4.02","5.02","-1","44.47","23.65","29.53","--","0.86","-0.86","--","5.06","0.25","0.19","0.06","56.82","1.47","1.12","2","1","-1","11.76","5.88","--","82.87","--","82.59","5.39","96.15","-5.39","-13.56","82.87","101.54","-18.67"
"William Nylander","December 22, 2017 - December 22, 2017","TOR","C","2","13.28","10.3","11.62","-1.32","46.99","46.54","52.5","6.9","9.13","-2.23","43.04","31.17","41.25","4.93","6.3","-1.37","43.9","22.27","28.46","1.63","1.13","0.5","7.36","5.11","0.39","0.66","-0.27","37.14","1.76","2.98","1","1","--","4.52","4.52","33.06","82.06","23.62","87.62","5.65","92.77","17.97","-5.15","115.13","98.42","16.7"
"Zach Hyman","December 22, 2017 - December 22, 2017","TOR","C","2","11.67","8.8","11.36","-2.56","43.65","45.24","58.41","7.26","8.49","-1.23","46.1","37.33","43.65","5.98","5.66","0.32","51.37","30.75","29.1","1.63","1.13","0.5","8.38","5.81","0.55","0.55","--","50","2.83","2.83","1","1","--","5.14","5.14","27.26","80.04","22.45","86.69","7.58","93.52","14.88","-6.83","107.29","101.1","6.2"
