"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Roman Polak","D","1","3.5666666666667","6","4","60.00","3","1","75.00","2","1","66.67","0","0","0.00","3","1","75.00","1","1","50.00","0","0","0.00","0.00","100.00","1.000","0","0","1","0.00"
"","Jake Gardiner","D","1","4.3","3","3","50.00","3","0","100.00","3","0","100.00","0","0","0.00","2","0","100.00","1","0","100.00","0","0","0.00","0.00","100.00","1.000","2","2","2","50.00"
"","Leo Komarov","C","1","3.3666666666667","4","3","57.14","2","1","66.67","1","1","50.00","0","0","0.00","2","1","66.67","0","1","0.00","0","0","0.00","0.00","100.00","1.000","0","1","2","0.00"
"","Nazem Kadri","C","1","3.6166666666667","4","3","57.14","2","1","66.67","1","1","50.00","0","0","0.00","2","1","66.67","0","1","0.00","0","0","0.00","0.00","100.00","1.000","0","1","2","0.00"
"","Andreas Borgman","D","1","2.55","4","3","57.14","2","1","66.67","1","1","50.00","0","0","0.00","2","1","66.67","0","1","0.00","0","0","0.00","0.00","100.00","1.000","0","0","1","0.00"
"","Connor Brown","R","1","3","1","3","25.00","1","0","100.00","1","0","100.00","0","0","0.00","1","0","100.00","1","0","100.00","0","0","0.00","0.00","100.00","1.000","3","0","0","100.00"
"","Connor Carrick","D","1","3.7833333333333","6","2","75.00","4","2","66.67","4","1","80.00","0","0","0.00","1","2","33.33","0","0","0.00","0","0","0.00","0.00","100.00","1.000","2","3","1","66.67"
"","Travis Dermott","D","1","3.55","5","2","71.43","4","2","66.67","4","1","80.00","0","0","0.00","1","2","33.33","0","0","0.00","0","0","0.00","0.00","100.00","1.000","2","3","1","66.67"
"","Matt Martin","L","1","1.6166666666667","3","2","60.00","3","1","75.00","3","1","75.00","0","0","0.00","1","1","50.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","2","2","0.00"
"","Frederik Gauthier","C","1","1.8166666666667","3","2","60.00","3","1","75.00","3","1","75.00","0","0","0.00","1","1","50.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","2","2","0.00"
"","Mitchell Marner","C","1","1.6166666666667","3","2","60.00","3","1","75.00","3","1","75.00","0","0","0.00","1","1","50.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","2","2","0.00"
"","Patrick Marleau","C","1","3.35","4","2","66.67","2","1","66.67","1","1","50.00","0","0","0.00","2","1","66.67","0","1","0.00","0","0","0.00","0.00","100.00","1.000","0","1","2","0.00"
"","Ron Hainsey","D","1","3.5166666666667","2","2","50.00","2","0","100.00","2","0","100.00","0","0","0.00","1","0","100.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","2","2","2","50.00"
"","James van Riemsdyk","L","1","2.5333333333333","1","2","33.33","1","0","100.00","1","0","100.00","0","0","0.00","1","0","100.00","1","0","100.00","0","0","0.00","0.00","100.00","1.000","3","0","0","100.00"
"","Tyler Bozak","C","1","3","1","2","33.33","1","0","100.00","1","0","100.00","0","0","0.00","1","0","100.00","1","0","100.00","0","0","0.00","0.00","100.00","1.000","3","0","0","100.00"
"","Zach Hyman","C","1","2.65","5","1","83.33","3","1","75.00","3","0","100.00","0","0","0.00","1","1","50.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","1","2","0","100.00"
"","William Nylander","C","1","2.6666666666667","5","1","83.33","3","1","75.00","3","0","100.00","0","0","0.00","1","1","50.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","1","2","0","100.00"
"","Auston Matthews","C","1","2.6666666666667","5","1","83.33","3","1","75.00","3","0","100.00","0","0","0.00","1","1","50.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","1","2","0","100.00"
