"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Patrick Marleau","C","1","14.166666666667","13","25","34.21","10","22","31.25","8","19","29.63","0","3","0.00","5","14","26.32","3","7","30.00","0","3","0.00","0.00","84.21","0.842","7","4","8","46.67"
"","Nazem Kadri","C","1","14.266666666667","12","25","32.43","9","22","29.03","7","19","26.92","0","3","0.00","4","14","22.22","2","8","20.00","0","3","0.00","0.00","84.21","0.842","7","4","8","46.67"
"","Ron Hainsey","D","1","16.883333333333","15","24","38.46","13","21","38.24","11","17","39.29","0","2","0.00","11","10","52.38","6","5","54.55","0","2","0.00","0.00","88.24","0.882","3","6","8","27.27"
"","Mitchell Marner","C","1","13.8","12","24","33.33","9","20","31.03","7","17","29.17","0","3","0.00","4","13","23.53","2","7","22.22","0","3","0.00","0.00","82.35","0.824","7","4","7","50.00"
"","Morgan Rielly","D","1","16.05","14","21","40.00","12","18","40.00","10","15","40.00","0","1","0.00","10","9","52.63","6","4","60.00","0","1","0.00","0.00","93.33","0.933","3","6","8","27.27"
"","Nikita Zaitsev","D","1","19.466666666667","14","21","40.00","12","17","41.38","9","14","39.13","1","3","25.00","7","13","35.00","5","6","45.45","1","3","25.00","11.11","78.57","0.897","10","5","6","62.50"
"","Jake Gardiner","D","1","19.633333333333","14","19","42.42","12","15","44.44","9","13","40.91","1","2","33.33","7","12","36.84","5","5","50.00","1","2","33.33","11.11","84.62","0.957","10","5","6","62.50"
"","Tyler Bozak","C","1","15.233333333333","14","15","48.28","12","13","48.00","10","11","47.62","2","1","66.67","11","5","68.75","7","2","77.78","2","1","66.67","20.00","90.91","1.109","5","6","4","55.56"
"","Travis Dermott","D","1","16.016666666667","16","15","51.61","11","11","50.00","9","9","50.00","1","1","50.00","7","8","46.67","3","3","50.00","1","0","100.00","11.11","88.89","1.000","4","11","5","44.44"
"","William Nylander","C","1","15.516666666667","16","14","53.33","12","10","54.55","10","7","58.82","0","0","0.00","9","9","50.00","5","3","62.50","0","0","0.00","0.00","100.00","1.000","5","6","7","41.67"
"","Zach Hyman","C","1","13.183333333333","14","14","50.00","11","10","52.38","9","8","52.94","0","1","0.00","8","8","50.00","5","4","55.56","0","1","0.00","0.00","87.50","0.875","2","6","5","28.57"
"","Roman Polak","D","1","15.716666666667","15","14","51.72","10","10","50.00","8","8","50.00","1","1","50.00","6","8","42.86","3","3","50.00","1","0","100.00","12.50","87.50","1.000","4","11","5","44.44"
"","Auston Matthews","C","1","15.35","17","13","56.67","13","9","59.09","11","6","64.71","0","0","0.00","10","8","55.56","6","3","66.67","0","0","0.00","0.00","100.00","1.000","5","6","7","41.67"
"","Connor Brown","R","1","12.733333333333","13","11","54.17","11","10","52.38","9","8","52.94","2","1","66.67","10","4","71.43","6","2","75.00","2","1","66.67","22.22","87.50","1.097","5","6","1","83.33"
"","James van Riemsdyk","L","1","12.75","13","9","59.09","11","7","61.11","9","5","64.29","2","0","100.00","10","2","83.33","6","0","100.00","2","0","100.00","22.22","100.00","1.222","5","6","1","83.33"
"","Leo Komarov","C","1","10.766666666667","4","8","33.33","3","6","33.33","2","5","28.57","0","1","0.00","1","5","16.67","0","1","0.00","0","0","0.00","0.00","80.00","0.800","3","6","4","42.86"
"","Kasperi Kapanen","R","1","9.2666666666667","2","7","22.22","2","5","28.57","1","5","16.67","0","1","0.00","0","4","0.00","0","1","0.00","0","0","0.00","0.00","80.00","0.800","0","6","3","0.00"
"","Dominic Moore","C","1","8.2","2","6","25.00","2","4","33.33","1","4","20.00","0","1","0.00","0","4","0.00","0","1","0.00","0","0","0.00","0.00","75.00","0.750","0","6","2","0.00"
