"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Jake Gardiner","D","1","4.95","7","5","58.33","4","3","57.14","3","3","50.00","0","0","0.00","4","0","100.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","2","1","2","50.00"
"","Auston Matthews","C","1","3.9166666666667","6","4","60.00","5","2","71.43","3","2","60.00","1","0","100.00","3","1","75.00","0","1","0.00","0","0","0.00","33.33","100.00","1.333","3","0","1","75.00"
"","Roman Polak","D","1","3.5","4","4","50.00","3","3","50.00","3","2","60.00","0","0","0.00","2","1","66.67","2","0","100.00","0","0","0.00","0.00","100.00","1.000","1","1","1","50.00"
"","Patrick Marleau","C","1","3.6","5","4","55.56","2","3","40.00","1","2","33.33","0","0","0.00","1","1","50.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","2","0","2","50.00"
"","Nazem Kadri","C","1","3.3","3","4","42.86","1","3","25.00","1","2","33.33","0","0","0.00","0","1","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","1","0","2","33.33"
"","Leo Komarov","C","1","2.4666666666667","1","4","20.00","0","3","0.00","0","2","0.00","0","0","0.00","0","1","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","1","0","2","33.33"
"","Connor Carrick","D","1","3.65","8","3","72.73","6","2","75.00","4","2","66.67","1","0","100.00","5","0","100.00","0","0","0.00","0","0","0.00","25.00","100.00","1.250","4","1","0","100.00"
"","Morgan Rielly","D","1","4.6833333333333","6","3","66.67","5","2","71.43","3","2","60.00","1","0","100.00","3","1","75.00","2","1","66.67","0","0","0.00","33.33","100.00","1.333","2","2","2","50.00"
"","William Nylander","C","1","4.25","6","3","66.67","5","2","71.43","3","2","60.00","1","0","100.00","3","1","75.00","0","1","0.00","0","0","0.00","33.33","100.00","1.333","3","0","1","75.00"
"","Ron Hainsey","D","1","4.2666666666667","2","3","40.00","2","2","50.00","2","2","50.00","0","0","0.00","2","1","66.67","2","1","66.67","0","0","0.00","0.00","100.00","1.000","2","2","2","50.00"
"","Andreas Borgman","D","1","4.15","5","2","71.43","4","2","66.67","3","1","75.00","0","0","0.00","2","1","66.67","2","0","100.00","0","0","0.00","0.00","100.00","1.000","1","1","1","50.00"
"","James van Riemsdyk","L","1","2.1333333333333","2","2","50.00","1","1","50.00","1","1","50.00","0","0","0.00","2","0","100.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","1","2","0","100.00"
"","Mitchell Marner","C","1","2.9666666666667","1","2","33.33","1","1","50.00","1","1","50.00","0","0","0.00","1","0","100.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","3","1","0.00"
"","Connor Brown","R","1","2.6666666666667","6","1","85.71","6","1","85.71","5","1","83.33","0","0","0.00","4","0","100.00","4","0","100.00","0","0","0.00","0.00","100.00","1.000","1","1","0","100.00"
"","Dominic Moore","C","1","2.4333333333333","6","1","85.71","5","1","83.33","4","1","80.00","0","0","0.00","4","0","100.00","4","0","100.00","0","0","0.00","0.00","100.00","1.000","1","1","0","100.00"
"","Zach Hyman","C","1","2.75","6","1","85.71","5","1","83.33","3","1","75.00","1","0","100.00","3","0","100.00","0","0","0.00","0","0","0.00","33.33","100.00","1.333","1","0","0","100.00"
"","Matt Martin","L","1","2.0333333333333","4","1","80.00","4","1","80.00","4","1","80.00","0","0","0.00","4","0","100.00","4","0","100.00","0","0","0.00","0.00","100.00","1.000","1","1","0","100.00"
"","Tyler Bozak","C","1","2.2833333333333","1","1","50.00","1","1","50.00","1","1","50.00","0","0","0.00","1","0","100.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","3","1","0.00"
