"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Jake Gardiner","D","1","16.483333333333","19","17","52.78","15","13","53.57","9","9","50.00","0","0","0.00","13","7","65.00","6","2","75.00","0","0","0.00","0.00","100.00","1.000","2","6","6","25.00"
"","Nikita Zaitsev","D","1","14.733333333333","18","17","51.43","14","13","51.85","8","9","47.06","0","0","0.00","11","7","61.11","5","2","71.43","0","0","0.00","0.00","100.00","1.000","1","5","4","20.00"
"","Zach Hyman","C","1","12","15","11","57.69","12","8","60.00","5","7","41.67","0","0","0.00","10","2","83.33","5","0","100.00","0","0","0.00","0.00","100.00","1.000","2","6","1","66.67"
"","William Nylander","C","1","12.933333333333","15","11","57.69","12","9","57.14","5","8","38.46","0","0","0.00","9","1","90.00","5","0","100.00","0","0","0.00","0.00","100.00","1.000","3","6","2","60.00"
"","Auston Matthews","C","1","12.316666666667","14","11","56.00","11","9","55.00","4","8","33.33","0","0","0.00","9","2","81.82","5","0","100.00","0","0","0.00","0.00","100.00","1.000","3","6","2","60.00"
"","Ron Hainsey","D","1","12.666666666667","21","9","70.00","20","4","83.33","11","4","73.33","1","0","100.00","9","2","81.82","6","0","100.00","1","0","100.00","9.09","100.00","1.091","4","5","2","66.67"
"","Morgan Rielly","D","1","13.683333333333","21","9","70.00","20","4","83.33","10","4","71.43","1","0","100.00","9","2","81.82","6","0","100.00","1","0","100.00","10.00","100.00","1.100","3","5","2","60.00"
"","Tyler Bozak","C","1","9.6666666666667","11","8","57.89","11","4","73.33","9","3","75.00","1","0","100.00","4","2","66.67","3","1","75.00","1","0","100.00","11.11","100.00","1.111","3","0","2","60.00"
"","James van Riemsdyk","L","1","8.2333333333333","10","8","55.56","10","4","71.43","9","3","75.00","1","0","100.00","4","2","66.67","3","1","75.00","1","0","100.00","11.11","100.00","1.111","3","0","1","75.00"
"","Connor Brown","R","1","8.3166666666667","8","8","50.00","8","4","66.67","8","3","72.73","1","0","100.00","4","3","57.14","3","1","75.00","1","0","100.00","12.50","100.00","1.125","3","0","1","75.00"
"","Leo Komarov","C","1","8.5666666666667","11","7","61.11","9","5","64.29","4","4","50.00","0","0","0.00","7","4","63.64","4","1","80.00","0","0","0.00","0.00","100.00","1.000","3","3","3","50.00"
"","Nazem Kadri","C","1","8.3166666666667","11","6","64.71","9","4","69.23","3","4","42.86","0","0","0.00","7","2","77.78","3","1","75.00","0","0","0.00","0.00","100.00","1.000","3","3","3","50.00"
"","Patrick Marleau","C","1","9.3666666666667","11","5","68.75","9","4","69.23","5","4","55.56","0","0","0.00","7","2","77.78","4","1","80.00","0","0","0.00","0.00","100.00","1.000","3","4","3","50.00"
"","Dominic Moore","C","1","7.6","7","5","58.33","6","3","66.67","4","1","80.00","0","0","0.00","2","3","40.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","2","2","0.00"
"","Matt Martin","L","1","7.4","8","4","66.67","7","3","70.00","4","1","80.00","0","0","0.00","2","3","40.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","2","2","0.00"
"","Mitchell Marner","C","1","8.2833333333333","12","3","80.00","11","3","78.57","6","2","75.00","0","0","0.00","4","1","80.00","1","0","100.00","0","0","0.00","0.00","100.00","1.000","1","3","1","50.00"
"","Connor Carrick","D","1","9.7166666666667","5","3","62.50","4","3","57.14","4","3","57.14","0","0","0.00","3","0","100.00","1","0","100.00","0","0","0.00","0.00","100.00","1.000","4","1","1","80.00"
"","Calle Rosen","D","1","8.5833333333333","3","3","50.00","2","3","40.00","2","3","40.00","0","0","0.00","1","0","100.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","4","2","1","80.00"
