"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Nazem Kadri","C","1","10.9","10","19","34.48","7","15","31.82","5","13","27.78","0","2","0.00","4","13","23.53","2","7","22.22","0","2","0.00","0.00","84.62","0.846","0","4","7","0.00"
"","Ron Hainsey","D","1","10.566666666667","6","18","25.00","5","14","26.32","5","11","31.25","1","1","50.00","3","9","25.00","2","6","25.00","0","1","0.00","20.00","90.91","1.109","1","4","4","20.00"
"","Patrick Marleau","C","1","10.4","10","16","38.46","7","12","36.84","6","10","37.50","0","1","0.00","4","10","28.57","2","5","28.57","0","1","0.00","0.00","90.00","0.900","0","4","7","0.00"
"","Jake Gardiner","D","1","11.516666666667","12","15","44.44","8","10","44.44","6","8","42.86","1","2","33.33","5","7","41.67","2","2","50.00","1","1","50.00","16.67","75.00","0.917","3","4","3","50.00"
"","Nikita Zaitsev","D","1","12.616666666667","12","15","44.44","8","9","47.06","6","6","50.00","1","2","33.33","4","4","50.00","1","1","50.00","0","1","0.00","16.67","66.67","0.833","1","2","5","16.67"
"","Roman Polak","D","1","8.6833333333333","11","14","44.00","10","9","52.63","5","7","41.67","1","0","100.00","7","7","50.00","6","3","66.67","1","0","100.00","20.00","100.00","1.200","3","4","3","50.00"
"","Morgan Rielly","D","1","7.9333333333333","10","14","41.67","9","10","47.37","7","9","43.75","0","1","0.00","8","11","42.11","4","5","44.44","0","1","0.00","0.00","88.89","0.889","3","4","1","75.00"
"","Mitchell Marner","C","1","9.1","9","14","39.13","7","12","36.84","6","10","37.50","0","2","0.00","4","11","26.67","2","6","25.00","0","2","0.00","0.00","80.00","0.800","0","4","3","0.00"
"","Leo Komarov","C","1","6.7833333333333","2","13","13.33","2","8","20.00","2","5","28.57","0","0","0.00","2","3","40.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","1","6","0.00"
"","William Nylander","C","1","7.15","9","12","42.86","7","8","46.67","3","5","37.50","0","0","0.00","4","4","50.00","2","1","66.67","0","0","0.00","0.00","100.00","1.000","5","0","0","100.00"
"","Travis Dermott","D","1","8.2833333333333","11","11","50.00","10","4","71.43","5","3","62.50","0","0","0.00","7","6","53.85","3","1","75.00","0","0","0.00","0.00","100.00","1.000","3","2","2","60.00"
"","Tyler Bozak","C","1","7.6","9","11","45.00","8","6","57.14","5","4","55.56","0","1","0.00","5","5","50.00","4","2","66.67","0","1","0.00","0.00","75.00","0.750","2","4","0","100.00"
"","Zach Hyman","C","1","7.45","11","9","55.00","9","6","60.00","5","5","50.00","2","1","66.67","6","4","60.00","3","1","75.00","1","0","100.00","40.00","80.00","1.200","5","1","0","100.00"
"","Connor Brown","R","1","7.4","9","8","52.94","7","3","70.00","5","3","62.50","1","0","100.00","6","5","54.55","4","2","66.67","0","0","0.00","20.00","100.00","1.200","2","4","0","100.00"
"","Auston Matthews","C","1","7.3666666666667","12","7","63.16","10","4","71.43","6","3","66.67","2","0","100.00","8","3","72.73","5","1","83.33","1","0","100.00","33.33","100.00","1.333","5","1","0","100.00"
"","Kasperi Kapanen","R","1","4.6666666666667","4","7","36.36","4","4","50.00","3","3","50.00","1","1","50.00","3","2","60.00","1","1","50.00","1","0","100.00","33.33","66.67","1.000","0","2","2","0.00"
"","James van Riemsdyk","L","1","6.4","8","6","57.14","7","2","77.78","4","2","66.67","0","0","0.00","5","4","55.56","4","1","80.00","0","0","0.00","0.00","100.00","1.000","2","4","0","100.00"
"","Dominic Moore","C","1","3.8833333333333","2","6","25.00","2","4","33.33","2","3","40.00","0","1","0.00","2","2","50.00","0","0","0.00","0","0","0.00","0.00","66.67","0.667","0","1","2","0.00"
