"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Jake Gardiner","D","1","17.916666666667","20","16","55.56","14","13","51.85","10","11","47.62","1","3","25.00","9","8","52.94","3","3","50.00","0","1","0.00","10.00","72.73","0.827","7","8","9","43.75"
"","Nikita Zaitsev","D","1","16.366666666667","15","16","48.39","10","12","45.45","7","10","41.18","0","2","0.00","8","8","50.00","3","3","50.00","0","1","0.00","0.00","80.00","0.800","5","7","9","35.71"
"","Morgan Rielly","D","1","16.066666666667","29","13","69.05","21","11","65.63","15","8","65.22","2","2","50.00","12","7","63.16","5","3","62.50","1","0","100.00","13.33","75.00","0.883","11","11","4","73.33"
"","Auston Matthews","C","1","14.516666666667","20","13","60.61","13","10","56.52","9","9","50.00","1","1","50.00","11","6","64.71","5","2","71.43","0","0","0.00","11.11","88.89","1.000","5","9","3","62.50"
"","Ron Hainsey","D","1","15.683333333333","25","12","67.57","16","10","61.54","11","7","61.11","1","1","50.00","11","8","57.89","5","3","62.50","1","0","100.00","9.09","85.71","0.948","8","11","4","66.67"
"","Zach Hyman","C","1","13.266666666667","17","12","58.62","11","9","55.00","8","8","50.00","1","1","50.00","11","7","61.11","5","2","71.43","0","0","0.00","12.50","87.50","1.000","2","9","3","40.00"
"","William Nylander","C","1","13.783333333333","20","11","64.52","13","8","61.90","9","7","56.25","1","1","50.00","11","3","78.57","5","0","100.00","0","0","0.00","11.11","85.71","0.968","5","9","2","71.43"
"","Patrick Marleau","C","1","12.1","14","10","58.33","10","9","52.63","8","5","61.54","0","2","0.00","3","4","42.86","0","1","0.00","0","0","0.00","0.00","60.00","0.600","9","6","5","64.29"
"","Leo Komarov","C","1","8.8166666666667","11","10","52.38","9","9","50.00","7","5","58.33","0","3","0.00","2","6","25.00","1","1","50.00","0","1","0.00","0.00","40.00","0.400","5","6","5","50.00"
"","Connor Brown","R","1","11.3","12","10","54.55","8","7","53.33","7","7","50.00","1","1","50.00","6","7","46.15","1","3","25.00","1","0","100.00","14.29","85.71","1.000","8","4","3","72.73"
"","Nazem Kadri","C","1","12.416666666667","15","9","62.50","10","8","55.56","8","4","66.67","0","2","0.00","4","4","50.00","0","0","0.00","0","0","0.00","0.00","50.00","0.500","7","6","7","50.00"
"","Andreas Borgman","D","1","12.183333333333","11","8","57.89","5","6","45.45","5","6","45.45","0","1","0.00","5","5","50.00","0","1","0.00","0","0","0.00","0.00","83.33","0.833","5","6","1","83.33"
"","James van Riemsdyk","L","1","11.766666666667","13","7","65.00","8","5","61.54","7","5","58.33","1","0","100.00","6","5","54.55","1","2","33.33","1","0","100.00","14.29","100.00","1.143","7","5","4","63.64"
"","Tyler Bozak","C","1","12.6","13","7","65.00","8","5","61.54","7","5","58.33","1","0","100.00","6","5","54.55","1","2","33.33","1","0","100.00","14.29","100.00","1.143","7","5","4","63.64"
"","Mitchell Marner","C","1","12.15","17","6","73.91","10","6","62.50","7","6","53.85","0","1","0.00","8","4","66.67","3","3","50.00","0","0","0.00","0.00","83.33","0.833","5","6","2","71.43"
"","Dominic Moore","C","1","6.55","6","6","50.00","3","5","37.50","1","5","16.67","0","2","0.00","2","5","28.57","1","3","25.00","0","1","0.00","0.00","60.00","0.600","1","5","2","33.33"
"","Connor Carrick","D","1","11.2","8","5","61.54","4","4","50.00","4","4","50.00","0","1","0.00","3","4","42.86","0","1","0.00","0","0","0.00","0.00","75.00","0.750","4","7","1","80.00"
"","Matt Martin","L","1","5.9","6","5","54.55","3","4","42.86","1","4","20.00","0","2","0.00","2","4","33.33","1","2","33.33","0","1","0.00","0.00","50.00","0.500","1","5","2","33.33"
