"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Morgan Rielly","D","1","3.9833333333333","2","10","16.67","1","8","11.11","0","5","0.00","0","0","0.00","1","6","14.29","0","3","0.00","0","0","0.00","0.00","100.00","1.000","0","0","3","0.00"
"","Mitchell Marner","C","1","3.1166666666667","1","8","11.11","1","5","16.67","0","2","0.00","0","0","0.00","0","6","0.00","0","3","0.00","0","0","0.00","0.00","100.00","1.000","1","1","1","50.00"
"","Patrick Marleau","C","1","2.6166666666667","1","7","12.50","1","6","14.29","1","5","16.67","0","1","0.00","1","5","16.67","1","2","33.33","0","1","0.00","0.00","80.00","0.800","0","2","2","0.00"
"","Matt Martin","L","1","2.75","1","7","12.50","1","5","16.67","0","2","0.00","0","0","0.00","0","5","0.00","0","3","0.00","0","0","0.00","0.00","100.00","1.000","1","0","0","100.00"
"","Nazem Kadri","C","1","2.6166666666667","1","7","12.50","1","6","14.29","1","5","16.67","0","1","0.00","1","5","16.67","1","2","33.33","0","1","0.00","0.00","80.00","0.800","0","2","2","0.00"
"","Jake Gardiner","D","1","3.9333333333333","3","6","33.33","2","5","28.57","1","3","25.00","0","1","0.00","0","5","0.00","0","3","0.00","0","1","0.00","0.00","66.67","0.667","0","2","2","0.00"
"","Ron Hainsey","D","1","2.8","2","6","25.00","1","5","16.67","0","3","0.00","0","0","0.00","1","3","25.00","0","2","0.00","0","0","0.00","0.00","100.00","1.000","0","0","3","0.00"
"","Leo Komarov","C","1","2","1","6","14.29","1","6","14.29","1","5","16.67","0","1","0.00","1","4","20.00","1","2","33.33","0","1","0.00","0.00","80.00","0.800","0","1","1","0.00"
"","Connor Carrick","D","1","3.05","1","5","16.67","1","4","20.00","1","3","25.00","0","0","0.00","1","5","16.67","1","1","50.00","0","0","0.00","0.00","100.00","1.000","2","2","1","66.67"
"","Andreas Borgman","D","1","3.2","1","5","16.67","1","4","20.00","1","3","25.00","0","0","0.00","1","5","16.67","1","1","50.00","0","0","0.00","0.00","100.00","1.000","2","2","1","66.67"
"","Auston Matthews","C","1","3.1","3","4","42.86","2","3","40.00","1","1","50.00","0","0","0.00","0","3","0.00","0","1","0.00","0","0","0.00","0.00","100.00","1.000","0","1","2","0.00"
"","Nikita Zaitsev","D","1","3.0833333333333","3","4","42.86","2","4","33.33","1","3","25.00","0","1","0.00","0","4","0.00","0","2","0.00","0","1","0.00","0.00","66.67","0.667","0","2","2","0.00"
"","Dominic Moore","C","1","1.8833333333333","0","4","0.00","0","3","0.00","0","1","0.00","0","0","0.00","0","3","0.00","0","2","0.00","0","0","0.00","0.00","100.00","1.000","1","0","0","100.00"
"","James van Riemsdyk","L","1","2.4","2","3","40.00","1","3","25.00","0","3","0.00","0","0","0.00","1","3","25.00","0","1","0.00","0","0","0.00","0.00","100.00","1.000","1","1","2","33.33"
"","Tyler Bozak","C","1","2.3","2","3","40.00","1","3","25.00","0","3","0.00","0","0","0.00","1","3","25.00","0","1","0.00","0","0","0.00","0.00","100.00","1.000","1","1","2","33.33"
"","Connor Brown","R","1","2.4","2","3","40.00","1","3","25.00","0","3","0.00","0","0","0.00","1","3","25.00","0","1","0.00","0","0","0.00","0.00","100.00","1.000","1","1","2","33.33"
"","Zach Hyman","C","1","2.25","2","1","66.67","1","1","50.00","1","0","100.00","0","0","0.00","0","1","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","1","2","0.00"
"","William Nylander","C","1","2.6","2","1","66.67","1","1","50.00","1","0","100.00","0","0","0.00","0","1","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","1","2","0.00"
