"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Jake Gardiner","D","1","21.95","21","27","43.75","16","22","42.11","11","15","42.31","1","1","50.00","9","12","42.86","6","4","60.00","1","1","50.00","9.09","93.33","1.024","9","5","9","50.00"
"","Leo Komarov","C","1","15.9","17","26","39.53","16","17","48.48","8","12","40.00","1","1","50.00","7","12","36.84","3","4","42.86","0","0","0.00","12.50","91.67","1.042","5","8","10","33.33"
"","Nikita Zaitsev","D","1","20.716666666667","22","25","46.81","17","20","45.95","11","13","45.83","1","1","50.00","10","14","41.67","7","4","63.64","1","1","50.00","9.09","92.31","1.014","9","5","8","52.94"
"","Roman Polak","D","1","15.233333333333","17","25","40.48","14","19","42.42","10","12","45.45","0","2","0.00","10","15","40.00","3","4","42.86","0","0","0.00","0.00","83.33","0.833","2","4","6","25.00"
"","Andreas Borgman","D","1","16.6","22","24","47.83","17","18","48.57","12","13","48.00","0","2","0.00","12","13","48.00","4","4","50.00","0","0","0.00","0.00","84.62","0.846","3","4","6","33.33"
"","Nazem Kadri","C","1","14.883333333333","15","24","38.46","14","17","45.16","6","12","33.33","0","1","0.00","5","11","31.25","2","4","33.33","0","0","0.00","0.00","91.67","0.917","5","8","7","41.67"
"","Ron Hainsey","D","1","20.9","21","22","48.84","17","17","50.00","12","12","50.00","2","3","40.00","15","14","51.72","6","4","60.00","1","1","50.00","16.67","75.00","0.917","6","9","9","40.00"
"","Tyler Bozak","C","1","11.616666666667","13","21","38.24","8","17","32.00","5","10","33.33","0","3","0.00","7","15","31.82","0","6","0.00","0","2","0.00","0.00","70.00","0.700","2","3","5","28.57"
"","Connor Brown","R","1","13.8","11","21","34.38","7","15","31.82","5","9","35.71","0","3","0.00","6","14","30.00","1","6","14.29","0","2","0.00","0.00","66.67","0.667","1","4","6","14.29"
"","Auston Matthews","C","1","17.3","24","20","54.55","20","17","54.05","17","14","54.84","2","2","50.00","17","13","56.67","10","3","76.92","1","0","100.00","11.76","85.71","0.975","9","4","6","60.00"
"","Morgan Rielly","D","1","20.066666666667","23","19","54.76","19","14","57.58","12","11","52.17","2","3","40.00","16","12","57.14","6","4","60.00","1","1","50.00","16.67","72.73","0.894","7","9","8","46.67"
"","Patrick Marleau","C","1","18.983333333333","17","19","47.22","13","11","54.17","6","7","46.15","1","0","100.00","9","9","50.00","3","3","50.00","0","0","0.00","16.67","100.00","1.167","5","7","9","35.71"
"","William Nylander","C","1","15.883333333333","24","17","58.54","19","14","57.58","16","11","59.26","1","1","50.00","16","10","61.54","9","2","81.82","1","0","100.00","6.25","90.91","0.972","8","4","6","57.14"
"","Zach Hyman","C","1","13.433333333333","19","17","52.78","14","14","50.00","11","10","52.38","1","1","50.00","14","10","58.33","8","2","80.00","1","0","100.00","9.09","90.00","0.991","6","3","5","54.55"
"","James van Riemsdyk","L","1","14.45","13","16","44.83","7","14","33.33","4","8","33.33","0","2","0.00","7","11","38.89","0","5","0.00","0","2","0.00","0.00","75.00","0.750","2","5","5","28.57"
"","Mitchell Marner","C","1","15.35","14","13","51.85","11","12","47.83","7","9","43.75","1","1","50.00","8","6","57.14","4","1","80.00","1","0","100.00","14.29","88.89","1.032","4","3","3","57.14"
"","Dominic Moore","C","1","10.15","8","10","44.44","8","9","47.06","7","6","53.85","1","2","33.33","5","6","45.45","4","0","100.00","1","0","100.00","14.29","66.67","0.810","1","3","4","20.00"
"","Matt Martin","L","1","8.0666666666667","10","8","55.56","10","8","55.56","8","6","57.14","1","1","50.00","5","3","62.50","4","0","100.00","1","0","100.00","12.50","83.33","0.958","3","2","3","50.00"
