"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Jake Gardiner","D","1","23.95","17","27","38.64","13","20","39.39","9","17","34.62","0","3","0.00","6","8","42.86","3","2","60.00","0","0","0.00","0.00","82.35","0.824","8","5","11","42.11"
"","Nikita Zaitsev","D","1","20.483333333333","15","23","39.47","11","18","37.93","8","15","34.78","0","2","0.00","6","9","40.00","3","3","50.00","0","0","0.00","0.00","86.67","0.867","7","6","11","38.89"
"","Ron Hainsey","D","1","19.816666666667","13","20","39.39","9","16","36.00","4","12","25.00","0","0","0.00","7","7","50.00","1","3","25.00","0","0","0.00","0.00","100.00","1.000","3","9","7","30.00"
"","Leo Komarov","C","1","17.316666666667","12","20","37.50","9","17","34.62","4","14","22.22","0","0","0.00","6","5","54.55","1","1","50.00","0","0","0.00","0.00","100.00","1.000","3","7","7","30.00"
"","Morgan Rielly","D","1","21.016666666667","15","19","44.12","11","16","40.74","5","12","29.41","0","1","0.00","7","7","50.00","1","3","25.00","0","0","0.00","0.00","91.67","0.917","4","7","7","36.36"
"","William Nylander","C","1","18.633333333333","16","18","47.06","12","16","42.86","6","14","30.00","0","1","0.00","7","4","63.64","1","1","50.00","0","0","0.00","0.00","92.86","0.929","4","7","7","36.36"
"","Nazem Kadri","C","1","18.783333333333","15","17","46.88","12","15","44.44","5","13","27.78","0","0","0.00","6","4","60.00","1","1","50.00","0","0","0.00","0.00","100.00","1.000","5","7","7","41.67"
"","Dominic Moore","C","1","10.2","6","17","26.09","5","15","25.00","5","11","31.25","0","1","0.00","5","7","41.67","2","5","28.57","0","1","0.00","0.00","90.91","0.909","1","5","4","20.00"
"","Roman Polak","D","1","16.25","14","15","48.28","11","11","50.00","8","10","44.44","1","1","50.00","3","4","42.86","1","4","20.00","0","1","0.00","12.50","90.00","1.025","5","4","1","83.33"
"","Josh Leivo","L","1","9.0333333333333","6","15","28.57","5","13","27.78","5","9","35.71","0","1","0.00","5","5","50.00","2","3","40.00","0","0","0.00","0.00","88.89","0.889","1","5","3","25.00"
"","Mitchell Marner","C","1","14.683333333333","9","15","37.50","5","12","29.41","4","10","28.57","0","1","0.00","2","5","28.57","1","4","20.00","0","1","0.00","0.00","90.00","0.900","6","3","1","85.71"
"","James van Riemsdyk","L","1","15.2","10","13","43.48","6","9","40.00","4","8","33.33","0","1","0.00","2","5","28.57","1","4","20.00","0","1","0.00","0.00","87.50","0.875","6","3","3","66.67"
"","Matt Martin","L","1","9.5333333333333","6","13","31.58","5","12","29.41","5","8","38.46","0","0","0.00","5","5","50.00","2","3","40.00","0","0","0.00","0.00","100.00","1.000","1","5","3","25.00"
"","Tyler Bozak","C","1","15.783333333333","9","13","40.91","5","9","35.71","4","7","36.36","0","0","0.00","2","5","28.57","1","2","33.33","0","0","0.00","0.00","100.00","1.000","6","3","4","60.00"
"","Zach Hyman","C","1","15.066666666667","15","12","55.56","12","8","60.00","7","8","46.67","1","3","25.00","3","5","37.50","1","2","33.33","0","0","0.00","14.29","62.50","0.768","5","3","5","50.00"
"","Andreas Borgman","D","1","13.266666666667","14","12","53.85","11","11","50.00","8","10","44.44","1","1","50.00","3","5","37.50","1","5","16.67","0","1","0.00","12.50","90.00","1.025","5","5","1","83.33"
"","Patrick Marleau","C","1","15.15","16","11","59.26","13","7","65.00","8","7","53.33","1","3","25.00","3","4","42.86","1","2","33.33","0","0","0.00","12.50","57.14","0.696","6","3","5","54.55"
"","Connor Brown","R","1","14.016666666667","13","11","54.17","11","6","64.71","6","6","50.00","1","2","33.33","2","6","25.00","1","2","33.33","0","0","0.00","16.67","66.67","0.833","5","3","8","38.46"
