"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Andreas Johnsson","March 19, 2018 - March 19, 2018","TOR","L","3","12.05","10.02","7.3","2.72","57.85","49.89","36.35","7.46","6.84","0.62","52.17","37.15","34.06","5.6","5.53","0.07","50.31","27.88","27.54","0.73","0.82","-0.09","47.1","3.63","4.08","0.36","0.51","-0.15","41.38","1.79","2.54","--","2","2","--","9.96","13.04","85.17","9.79","88.01","4.83","92.54","4.96","-4.53","98.21","97.37","0.84"
"Connor Brown","March 19, 2018 - March 19, 2018","TOR","R","2","11.35","11.21","2.8","8.41","80.01","59.26","14.8","6.77","2.02","4.75","77.02","35.79","10.68","5.82","2.03","3.79","74.14","30.77","10.73","--","1.03","-1.03","--","--","5.44","0.24","0.22","0.02","52.17","1.27","1.16","1","--","-1","5.29","--","--","49.26","--","49.01","3.55","89.11","-3.55","-40.1","49.26","92.65","-43.39"
"Connor Carrick","March 19, 2018 - March 19, 2018","TOR","D","2","15.03","14.3","10.17","4.13","58.44","57.09","40.6","9.42","7.66","1.76","55.15","37.6","30.58","5.42","6.29","-0.87","46.29","21.64","25.11","--","--","--","--","--","--","0.38","0.53","-0.15","41.76","1.52","2.12","1","2","1","3.99","7.98","--","100","--","100","4.03","93.08","-4.03","6.92","100","97.11","2.89"
"Jake Gardiner","March 19, 2018 - March 19, 2018","TOR","D","2","19.78","16.97","13.28","3.69","56.1","51.48","40.28","12.56","10.46","2.1","54.56","38.1","31.73","9.79","7.28","2.51","57.35","29.7","22.08","0.73","1.03","-0.3","41.48","2.21","3.12","0.57","0.72","-0.15","44.19","1.73","2.18","--","--","--","--","--","7.46","85.85","5.81","90.15","4.54","93.12","1.27","-2.96","93.31","97.65","-4.35"
"James Van Riemsdyk","March 19, 2018 - March 19, 2018","TOR","L","2","10.75","10.26","3.11","7.15","76.74","57.27","17.36","6.77","3.11","3.66","68.52","37.79","17.36","5.82","2.03","3.79","74.14","32.48","11.33","--","1.03","-1.03","--","--","5.75","0.24","0.24","--","50","1.34","1.34","1","1","--","5.58","5.58","--","49.26","--","66.88","3.55","92.28","-3.55","-25.4","49.26","95.83","-46.57"
"Josh Leivo","March 19, 2018 - March 19, 2018","TOR","L","2","8.9","6.75","7.16","-0.41","48.53","45.51","48.27","5.88","6.24","-0.36","48.51","39.64","42.07","2.9","5.16","-2.26","35.98","19.55","34.79","--","--","--","--","--","--","0.25","0.42","-0.17","37.31","1.69","2.83","1","1","--","6.74","6.74","--","100","--","100","4.25","93.27","-4.25","6.73","100","97.52","2.48"
"Kasperi Kapanen","March 19, 2018 - March 19, 2018","TOR","R","3","9.52","6.91","5.24","1.67","56.87","43.55","33.03","6.9","5.27","1.63","56.7","43.49","33.21","2.83","4.18","-1.35","40.37","17.84","26.34","--","--","--","--","--","--","0.26","0.4","-0.14","39.39","1.64","2.52","--","--","--","--","--","--","100","--","100","3.77","92.41","-3.77","7.59","100","96.18","3.82"
"Mitch Marner","March 19, 2018 - March 19, 2018","TOR","C","3","15.03","8.98","14.21","-5.23","38.72","35.85","56.73","4.35","8.47","-4.12","33.93","17.37","33.81","3.41","6.87","-3.46","33.17","13.61","27.43","--","0.85","-0.85","--","--","3.39","0.23","0.57","-0.34","28.75","0.92","2.28","--","1","1","--","3.99","--","87.63","--","89.96","5.29","93.27","-5.29","-3.31","87.63","98.56","-10.93"
"Morgan Rielly","March 19, 2018 - March 19, 2018","TOR","D","2","15.4","9.46","10.92","-1.46","46.42","36.86","42.55","6.5","10.25","-3.75","38.81","25.32","39.94","5.48","9.81","-4.33","35.84","21.35","38.22","--","2.49","-2.49","--","--","9.7","0.25","0.85","-0.6","22.73","0.97","3.31","1","2","1","3.9","7.79","--","74.62","--","75.71","3.85","91.71","-3.85","-16","74.62","95.55","-20.94"
"Nazem Kadri","March 19, 2018 - March 19, 2018","TOR","C","2","13.62","8.01","10.61","-2.6","43.02","35.29","46.74","5.3","7.68","-2.38","40.83","23.35","33.83","4.34","6.08","-1.74","41.65","19.12","26.78","--","0.85","-0.85","--","--","3.74","0.28","0.5","-0.22","35.9","1.23","2.2","--","1","1","--","4.41","--","86.02","--","88.93","5.28","93.49","-5.28","-4.56","86.02","98.77","-12.75"
"Patrick Marleau","March 19, 2018 - March 19, 2018","TOR","C","2","13.1","8.9","13.04","-4.14","40.57","40.76","59.73","4.35","7.46","-3.11","36.83","19.92","34.17","3.41","5.87","-2.46","36.75","15.62","26.89","--","0.85","-0.85","--","--","3.89","0.23","0.58","-0.35","28.4","1.05","2.66","--","--","--","--","--","--","85.52","--","88.61","5.29","92.23","-5.29","-3.62","85.52","97.51","-11.99"
"Roman Polak","March 19, 2018 - March 19, 2018","TOR","D","2","17.37","11.79","9.94","1.85","54.26","40.73","34.34","10.09","8.21","1.88","55.14","34.85","28.36","8.13","5.47","2.66","59.78","28.08","18.89","0.73","1.03","-0.3","41.48","2.52","3.56","0.48","0.54","-0.06","47.06","1.66","1.87","--","--","--","--","--","8.98","81.17","7.23","87.45","4.76","93.42","2.48","-5.97","90.15","98.18","-8.03"
"Ron Hainsey","March 19, 2018 - March 19, 2018","TOR","D","2","16.47","8.03","12.83","-4.8","38.49","29.25","46.74","6.36","11.34","-4.98","35.93","23.17","41.31","4.49","9.81","-5.32","31.4","16.36","35.74","--","2.49","-2.49","--","--","9.07","0.24","0.87","-0.63","21.62","0.87","3.17","1","1","--","3.64","3.64","--","74.62","--","78.04","3.77","92.33","-3.77","-14.29","74.62","96.1","-21.48"
"Tomas Plekanec","March 19, 2018 - March 19, 2018","TOR","C","3","10.5","8.86","5.99","2.87","59.66","50.63","34.23","7.93","5.17","2.76","60.53","45.31","29.54","3.88","5.24","-1.36","42.54","22.17","29.94","--","0.83","-0.83","--","--","4.74","0.25","0.48","-0.23","34.25","1.43","2.74","--","--","--","--","--","--","84.16","--","83.95","3.15","90.72","-3.15","-6.77","84.16","93.87","-9.71"
"Travis Dermott","March 19, 2018 - March 19, 2018","TOR","D","3","14.95","16.86","8.38","8.48","66.8","67.67","33.63","10.07","3.86","6.21","72.29","40.41","15.49","6.09","3.11","2.98","66.2","24.44","12.48","--","--","--","--","--","--","0.39","0.31","0.08","55.71","1.57","1.24","1","2","1","4.01","8.03","--","100","--","100","3.87","91.97","-3.87","8.03","100","95.84","4.16"
