"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Andreas Johnsson","March 13, 2018 - March 13, 2018","TOR","L","1","7.57","5.11","5.36","-0.25","48.81","40.5","42.48","3.52","4.2","-0.68","45.6","27.9","33.29","2.66","3.19","-0.53","45.47","21.08","25.28","--","0.87","-0.87","--","--","6.9","0.17","0.12","0.05","58.62","1.35","0.95","--","--","--","--","--","--","72.73","--","79.29","4.83","97.14","-4.83","-17.86","72.73","101.97","-29.25"
"Connor Brown","March 13, 2018 - March 13, 2018","TOR","R","1","15.07","16.83","5.77","11.06","74.47","67.01","22.97","17.12","3.49","13.63","83.07","68.16","13.9","8.85","1.05","7.8","89.39","35.24","4.18","2.03","--","2.03","100","8.08","--","1.82","0.19","1.63","90.55","7.25","0.76","1","1","--","3.98","3.98","22.94","100","11.86","100","10.63","94.56","1.23","5.44","122.94","105.19","17.75"
"Connor Carrick","March 13, 2018 - March 13, 2018","TOR","D","1","14.4","10.82","9.5","1.32","53.25","45.08","39.58","9.42","6.46","2.96","59.32","39.25","26.92","7.61","6.57","1.04","53.67","31.71","27.38","0.88","1.63","-0.75","35.06","3.67","6.79","1.21","0.18","1.03","87.05","5.04","0.75","--","--","--","--","--","11.56","75.19","9.34","74.77","12.85","97.21","-3.5","-22.45","86.75","110.06","-23.3"
"Jake Gardiner","March 13, 2018 - March 13, 2018","TOR","D","3","24.8","29.02","17.03","11.99","63.02","70.21","41.2","23.38","13.11","10.27","64.07","56.56","31.72","13.02","11.49","1.53","53.12","31.5","27.8","1.15","1.58","-0.43","42.12","2.78","3.82","1.43","1.18","0.25","54.79","3.46","2.85","2","1","-1","4.84","2.42","8.83","86.25","4.92","87.95","6.12","91","-1.2","-3.05","95.08","97.12","-2.03"
"James Van Riemsdyk","March 13, 2018 - March 13, 2018","TOR","L","2","17.47","15.71","11.04","4.67","58.73","53.96","37.92","15.29","7.01","8.28","68.57","52.51","24.08","8.87","2.4","6.47","78.7","30.46","8.24","2.03","--","2.03","100","6.97","--","1.68","0.34","1.34","83.17","5.77","1.17","1","1","--","3.43","3.43","22.89","100","13.28","100","10.99","95.15","2.29","4.85","122.89","106.14","16.75"
"Kasperi Kapanen","March 13, 2018 - March 13, 2018","TOR","R","2","8.93","7.8","6.26","1.54","55.48","52.41","42.06","5.3","5.08","0.22","51.06","35.61","34.13","3.64","4.06","-0.42","47.27","24.46","27.28","--","1.78","-1.78","--","--","11.96","0.32","0.24","0.08","57.14","2.15","1.61","--","--","--","--","--","--","56.16","--","64.96","6.04","95.28","-6.04","-30.31","56.16","101.31","-45.16"
"Leo Komarov","March 13, 2018 - March 13, 2018","TOR","C","2","16.27","12.16","17.09","-4.93","41.57","44.84","63.02","7.28","13.33","-6.05","35.32","26.85","49.16","4.76","10.74","-5.98","30.71","17.55","39.61","1.16","0.81","0.35","58.88","4.28","2.99","0.58","1.2","-0.62","32.58","2.14","4.43","--","--","--","--","--","24.37","92.46","15.93","93.92","7.97","91","7.97","2.93","116.83","98.96","17.86"
"Mitch Marner","March 13, 2018 - March 13, 2018","TOR","C","3","18.52","11.73","11.25","0.48","51.04","38","36.45","8.06","9.03","-0.97","47.16","26.11","29.25","5.74","7.19","-1.45","44.39","18.6","23.29","--","--","--","--","--","--","0.39","0.46","-0.07","45.88","1.26","1.49","1","--","-1","3.24","--","--","100","--","100","4.84","94.91","-4.84","5.09","100","99.74","0.26"
"Morgan Rielly","March 13, 2018 - March 13, 2018","TOR","D","3","21.83","14.62","18.38","-3.76","44.3","40.18","50.52","9.3","15.4","-6.1","37.65","25.56","42.33","5.57","8.79","-3.22","38.79","15.31","24.16","1.16","1.65","-0.49","41.28","3.19","4.54","0.75","0.86","-0.11","46.58","2.06","2.36","--","--","--","--","--","20.83","81.23","12.47","89.29","8.06","94.42","4.41","-5.13","102.05","102.48","-0.43"
"Nazem Kadri","March 13, 2018 - March 13, 2018","TOR","C","3","17.77","15.16","18.85","-3.69","44.58","51.19","63.65","10.03","17.23","-7.2","36.79","33.87","58.18","6.54","13.58","-7.04","32.5","22.08","45.85","1.16","1.56","-0.4","42.65","3.92","5.27","0.45","1.45","-1","23.68","1.52","4.9","--","--","--","--","--","17.74","88.51","11.57","90.95","4.49","91.58","7.08","-0.64","106.25","96.07","10.18"
"Patrick Marleau","March 13, 2018 - March 13, 2018","TOR","C","3","17.42","17.13","17.58","-0.45","49.35","59","60.55","11.4","14.29","-2.89","44.38","39.27","49.22","8.16","12.53","-4.37","39.44","28.11","43.16","1.16","2.32","-1.16","33.33","4","7.99","0.68","1.34","-0.66","33.66","2.34","4.62","--","1","1","--","3.44","14.22","81.48","10.18","83.76","5.96","90.62","4.21","-6.86","95.7","96.59","-0.89"
"Roman Polak","March 13, 2018 - March 13, 2018","TOR","D","2","17.97","18.02","11.63","6.39","60.78","60.17","38.83","15.4","8.4","7","64.71","51.42","28.05","7.25","5.67","1.58","56.11","24.21","18.93","--","0.81","-0.81","--","--","2.7","0.65","0.98","-0.33","39.88","2.17","3.27","1","1","--","3.34","3.34","--","85.71","--","90.36","4.22","88.33","-4.22","2.02","85.71","92.55","-6.84"
"Ron Hainsey","March 13, 2018 - March 13, 2018","TOR","D","2","20.15","10.07","19.11","-9.04","34.51","29.99","56.9","3.79","16.27","-12.48","18.89","11.29","48.45","3.78","10.76","-6.98","26","11.26","32.04","1.16","1.65","-0.49","41.28","3.45","4.91","0.39","0.9","-0.51","30.23","1.16","2.68","--","1","1","--","2.98","30.69","84.67","30.61","89.86","10.29","94.47","20.32","-4.61","115.35","104.76","10.59"
"Tomas Plekanec","March 13, 2018 - March 13, 2018","TOR","C","2","9.13","5.9","6.26","-0.36","48.52","38.77","41.14","4.32","5.08","-0.76","45.96","28.39","33.38","2.66","4.06","-1.4","39.58","17.48","26.68","--","1.78","-1.78","--","--","11.7","0.23","0.24","-0.01","48.94","1.51","1.58","--","--","--","--","--","--","56.16","--","64.96","5.32","95.28","-5.32","-30.31","56.16","100.6","-44.44"
"Travis Dermott","March 13, 2018 - March 13, 2018","TOR","D","2","18.93","18.77","7.83","10.94","70.56","59.49","24.82","17.57","4.76","12.81","78.68","55.69","15.09","13.14","4.83","8.31","73.12","41.65","15.31","2.03","0.87","1.16","70","6.43","2.76","1.81","0.15","1.66","92.35","5.74","0.48","--","1","1","--","3.17","15.45","81.99","11.55","81.72","10.3","96.85","1.25","-15.13","97.44","107.15","-9.71"
"Tyler Bozak","March 13, 2018 - March 13, 2018","TOR","C","2","16.43","14.7","10.27","4.43","58.87","53.68","37.5","13.42","6.35","7.07","67.88","49.01","23.19","8.87","1.77","7.1","83.36","32.39","6.46","2.03","--","2.03","100","7.41","--","1.64","0.34","1.3","82.83","5.99","1.24","1","1","--","3.65","3.65","22.89","100","15.13","100","12.22","94.65","2.91","5.35","122.89","106.87","16.02"
