"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Auston Matthews","March 30, 2018 - March 30, 2018","TOR","C","2","14.83","12.53","6.65","5.88","65.33","50.69","26.9","7.99","5.22","2.77","60.48","32.33","21.12","4.24","3.53","0.71","54.57","17.15","14.28","--","--","--","--","--","0.27","0.32","-0.05","45.76","1.09","1.29","--","--","--","--","--","--","100","--","100","3.38","93.87","-3.38","6.13","100","97.25","2.75"
"Connor Brown","March 30, 2018 - March 30, 2018","TOR","R","1","13.48","11.39","13.93","-2.54","44.98","50.7","62","9.41","11.5","-2.09","45","41.88","51.19","6.06","9.01","-2.95","40.21","26.97","40.1","--","1.78","-1.78","--","7.92","0.79","0.6","0.19","56.83","3.52","2.67","--","--","--","--","--","--","80.24","--","84.52","8.4","94.78","-8.4","-10.26","80.24","103.18","-22.93"
"Jake Gardiner","March 30, 2018 - March 30, 2018","TOR","D","2","22.87","22.01","16.91","5.1","56.55","57.74","44.36","16.44","14.07","2.37","53.88","43.13","36.91","10.73","13.25","-2.52","44.75","28.15","34.76","--","0.81","-0.81","--","2.13","1.26","0.68","0.58","64.95","3.31","1.78","1","1","--","2.62","2.62","--","93.89","--","94.24","7.66","95.17","-7.66","-0.92","93.89","102.83","-8.94"
"James Van Riemsdyk","March 30, 2018 - March 30, 2018","TOR","L","2","13.68","10.99","13.93","-2.94","44.1","48.2","61.1","7.99","11.5","-3.51","41","35.04","50.44","5.34","9.01","-3.67","37.21","23.42","39.52","--","1.78","-1.78","--","7.81","0.71","0.6","0.11","54.2","3.11","2.63","--","--","--","--","--","--","80.24","--","84.52","8.89","94.78","-8.89","-10.26","80.24","103.67","-23.42"
"Kasperi Kapanen","March 30, 2018 - March 30, 2018","TOR","R","1","7.3","3.64","3.85","-0.21","48.6","29.92","31.64","3.71","2.76","0.95","57.34","30.49","22.68","3.01","0.88","2.13","77.38","24.74","7.23","--","--","--","--","--","0.26","0.22","0.04","54.17","2.14","1.81","--","1","1","--","8.22","--","100","--","100","7.01","92.03","-7.01","7.97","100","99.04","0.96"
"Leo Komarov","March 30, 2018 - March 30, 2018","TOR","C","1","6.62","2.02","3.84","-1.82","34.47","18.31","34.8","2.05","2.74","-0.69","42.8","18.58","24.83","2.06","0.86","1.2","70.55","18.67","7.79","--","--","--","--","--","0.07","0.2","-0.13","25.93","0.63","1.81","--","1","1","--","9.06","--","100","--","100","3.41","92.7","-3.41","7.3","100","96.12","3.88"
"Mitch Marner","March 30, 2018 - March 30, 2018","TOR","C","2","16.37","8.67","13.06","-4.39","39.9","31.78","47.87","5.87","12.25","-6.38","32.4","21.51","44.9","3.2","7.79","-4.59","29.12","11.73","28.55","--","--","--","--","--","0.76","0.61","0.15","55.47","2.79","2.24","1","1","--","3.67","3.67","--","100","--","100","12.95","95.02","-12.95","4.98","100","107.97","-7.97"
"Morgan Rielly","March 30, 2018 - March 30, 2018","TOR","D","2","20.55","12.91","16.07","-3.16","44.55","37.69","46.92","10.57","14.18","-3.61","42.71","30.86","41.4","7.18","7.78","-0.6","47.99","20.96","22.72","--","0.97","-0.97","--","2.83","0.73","0.73","--","50","2.13","2.13","--","1","1","--","2.92","--","87.53","--","93.16","6.91","94.85","-6.91","-1.69","87.53","101.76","-14.23"
"Nazem Kadri","March 30, 2018 - March 30, 2018","TOR","C","2","16.1","9.42","11.28","-1.86","45.51","35.11","42.04","6.91","10.49","-3.58","39.71","25.75","39.09","4.88","6.04","-1.16","44.69","18.19","22.51","--","--","--","--","--","0.84","0.54","0.3","60.87","3.13","2.01","1","1","--","3.73","3.73","--","100","--","100","12.16","94.85","-12.16","5.15","100","107.01","-7.01"
"Nikita Zaitsev","March 30, 2018 - March 30, 2018","TOR","D","2","18.08","15.79","10.98","4.81","58.98","52.4","36.44","10.71","9.24","1.47","53.68","35.54","30.66","7.08","8.71","-1.63","44.84","23.5","28.9","--","0.81","-0.81","--","2.69","1.09","0.49","0.6","68.99","3.62","1.63","--","1","1","--","3.32","--","90.7","--","91.23","10.18","94.7","-10.18","-3.46","90.7","104.87","-14.17"
