"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Connor Brown","March 2, 2018 - March 2, 2018","TOR","R","1","9.48","3.23","6.57","-3.34","32.96","20.44","41.58","3.31","4.68","-1.37","41.43","20.95","29.62","1.73","3.91","-2.18","30.67","10.95","24.75","--","--","--","--","--","0.1","0.25","-0.15","28.57","0.63","1.58","--","1","1","--","6.33","--","100","--","100","3.02","94.66","-3.02","5.34","100","97.68","2.32"
"Dominic Moore","March 2, 2018 - March 2, 2018","TOR","C","1","8.18","6.81","7.43","-0.62","47.82","49.95","54.5","3.6","6.14","-2.54","36.96","26.41","45.04","1.7","3.66","-1.96","31.72","12.47","26.85","--","0.84","-0.84","--","6.16","0.41","0.24","0.17","63.08","3.01","1.76","1","--","-1","7.33","--","--","77.05","--","86.32","11.39","96.09","-11.39","-9.77","77.05","107.48","-30.43"
"Jake Gardiner","March 2, 2018 - March 2, 2018","TOR","D","2","21.22","22.7","18.17","4.53","55.54","64.18","51.38","13.62","12.14","1.48","52.87","38.51","34.33","9.24","9.96","-0.72","48.12","26.13","28.16","--","0.88","-0.88","--","2.49","0.81","0.78","0.03","50.94","2.29","2.21","--","--","--","--","--","--","91.16","--","92.75","5.95","93.57","-5.95","-0.82","91.16","99.52","-8.36"
"James Van Riemsdyk","March 2, 2018 - March 2, 2018","TOR","L","3","13.78","7.99","10.3","-2.31","43.69","34.79","44.85","8.24","7.42","0.82","52.62","35.88","32.31","5.78","6.72","-0.94","46.24","25.17","29.26","--","--","--","--","--","0.28","0.46","-0.18","37.84","1.22","2","--","1","1","--","4.35","--","100","--","100","3.4","93.8","-3.4","6.2","100","97.2","2.8"
"Kasperi Kapanen","March 2, 2018 - March 2, 2018","TOR","R","2","13.15","12.32","12.7","-0.38","49.24","56.21","57.95","8.53","10.31","-1.78","45.28","38.92","47.04","5.74","7.94","-2.2","41.96","26.19","36.23","--","0.84","-0.84","--","3.83","0.59","0.53","0.06","52.68","2.69","2.42","1","--","-1","4.56","--","--","89.42","--","91.85","6.92","94.86","-6.92","-3.01","89.42","101.78","-12.36"
"Leo Komarov","March 2, 2018 - March 2, 2018","TOR","C","2","12.68","16.39","7.61","8.78","68.29","77.56","36.01","9.06","7.1","1.96","56.06","42.87","33.6","7.18","5.43","1.75","56.94","33.97","25.69","--","--","--","--","--","0.99","0.26","0.73","79.2","4.68","1.23","1","--","-1","4.73","--","--","100","--","100","10.93","96.34","-10.93","3.66","100","107.27","-7.27"
"Mitch Marner","March 2, 2018 - March 2, 2018","TOR","C","2","17.52","15.54","11.92","3.62","56.59","53.22","40.82","9.45","9.83","-0.38","49.01","32.36","33.66","4.06","7.67","-3.61","34.61","13.9","26.27","0.92","1.71","-0.79","3.15","5.86","0.23","0.89","-0.66","20.54","0.79","3.05","--","--","--","--","--","22.66","77.71","9.74","82.6","2.43","90.95","7.3","-8.34","100.37","93.38","6.99"
"Morgan Rielly","March 2, 2018 - March 2, 2018","TOR","D","2","20.2","17.32","16.61","0.71","51.05","51.45","49.34","12.92","14.69","-1.77","46.79","38.38","43.63","8.75","12.89","-4.14","40.43","25.99","38.29","0.92","1.13","-0.21","2.73","3.36","0.44","0.98","-0.54","30.99","1.31","2.91","--","--","--","--","--","10.51","91.23","7.12","92.31","3.41","93.33","3.72","-1.02","101.75","96.73","5.01"
"Nazem Kadri","March 2, 2018 - March 2, 2018","TOR","C","2","15.18","16.83","6.7","10.13","71.53","66.52","26.48","9.61","5.79","3.82","62.4","37.98","22.89","8.07","5.88","2.19","57.85","31.9","23.24","0.92","0.88","0.04","3.64","3.48","0.68","0.46","0.22","59.65","2.69","1.82","--","--","--","--","--","11.4","85.03","9.57","84.8","7.08","92.06","2.5","-7.25","96.43","99.13","-2.7"
"Nikita Zaitsev","March 2, 2018 - March 2, 2018","TOR","D","1","21.8","23.89","18.19","5.7","56.77","65.75","50.06","14.19","12.94","1.25","52.3","39.06","35.61","10.37","10.78","-0.41","49.03","28.54","29.67","--","1.71","-1.71","--","4.71","0.82","0.85","-0.03","49.1","2.26","2.34","1","--","-1","2.75","--","--","84.14","--","86.79","5.78","93.43","-5.78","-6.65","84.14","99.21","-15.07"
