"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Connor Brown","March 9, 2018 - March 9, 2018","TOR","R","1","10.62","5.9","7.36","-1.46","44.49","33.33","41.58","3.22","6.71","-3.49","32.43","18.19","37.91","3.21","6.81","-3.6","32.04","18.14","38.47","--","--","--","--","--","0.07","0.27","-0.2","20.59","0.4","1.53","1","--","-1","5.65","--","--","100","--","100","2.17","95.98","-2.17","4.02","100","98.15","1.85"
"Connor Carrick","March 9, 2018 - March 9, 2018","TOR","D","1","15.53","9.56","7.49","2.07","56.07","36.93","28.94","4.73","5.52","-0.79","46.15","18.27","21.33","4.77","5.02","-0.25","48.72","18.43","19.39","--","--","--","--","--","0.16","0.25","-0.09","39.02","0.62","0.97","1","--","-1","3.86","--","--","100","--","100","3.38","95.47","-3.38","4.53","100","98.85","1.15"
"Jake Gardiner","March 9, 2018 - March 9, 2018","TOR","D","2","20.47","8.87","17.17","-8.3","34.06","26","50.33","7.55","13.88","-6.33","35.23","22.13","40.68","5.41","11.64","-6.23","31.73","15.86","34.12","--","--","--","--","--","0.29","0.57","-0.28","33.72","0.85","1.67","2","1","-1","5.86","2.93","--","100","--","100","3.84","95.89","-3.84","4.11","100","99.73","0.27"
"James Van Riemsdyk","March 9, 2018 - March 9, 2018","TOR","L","2","12.65","9.01","8.27","0.74","52.14","42.74","39.23","5.02","7.63","-2.61","39.68","23.81","36.19","5.04","7.74","-2.7","39.44","23.91","36.71","--","--","--","--","--","0.15","0.29","-0.14","34.09","0.71","1.38","1","--","-1","4.74","--","--","100","--","100","2.99","96.2","-2.99","3.8","100","99.19","0.81"
"Josh Leivo","March 9, 2018 - March 9, 2018","TOR","L","1","8.07","5.51","3.32","2.19","62.4","40.97","24.68","3.67","2.4","1.27","60.46","27.29","17.84","2.72","1.88","0.84","59.13","20.22","13.98","1.03","--","1.03","7.66","--","0.7","0.07","0.63","90.91","5.2","0.52","--","--","--","--","--","37.87","100","28.07","100","19.07","97.08","8.99","2.92","137.87","116.16","21.71"
"Kasperi Kapanen","March 9, 2018 - March 9, 2018","TOR","R","2","8.38","6.75","4.71","2.04","58.9","48.33","33.72","4.55","3","1.55","60.26","32.58","21.48","3.62","1.88","1.74","65.82","25.92","13.46","1.03","--","1.03","7.37","--","0.76","0.09","0.67","89.41","5.44","0.64","--","1","1","--","7.16","28.45","100","22.64","100","16.7","97","5.93","3","128.45","113.7","14.75"
"Leo Komarov","March 9, 2018 - March 9, 2018","TOR","C","2","13.13","8.03","15.01","-6.98","34.85","36.69","68.59","7.33","11.6","-4.27","38.72","33.5","53.01","6.26","7.9","-1.64","44.21","28.61","36.1","0.87","0.78","0.09","3.98","3.56","0.43","1.24","-0.81","25.75","1.96","5.67","1","1","--","4.57","4.57","13.9","90.13","11.87","93.28","5.87","89.31","6","3.97","104.02","95.18","8.85"
"Mitch Marner","March 9, 2018 - March 9, 2018","TOR","C","2","16.73","10.86","10.8","0.06","50.14","38.95","38.73","7.69","7.89","-0.2","49.36","27.58","28.3","6.51","6.2","0.31","51.22","23.35","22.24","--","--","--","--","--","0.39","0.36","0.03","52","1.4","1.29","1","1","--","3.59","3.59","--","100","--","100","5.07","95.44","-5.07","4.56","100","100.51","-0.51"
"Morgan Rielly","March 9, 2018 - March 9, 2018","TOR","D","2","16.85","20.38","13.24","7.14","60.62","72.57","47.15","14.12","9.82","4.3","58.98","50.28","34.97","11.11","6.14","4.97","64.41","39.56","21.86","1.9","0.78","1.12","6.77","2.78","1.6","1.1","0.5","59.26","5.7","3.92","--","2","2","--","7.12","17.1","87.3","13.46","92.06","11.33","88.8","2.12","3.26","104.4","100.13","4.27"
"Nazem Kadri","March 9, 2018 - March 9, 2018","TOR","C","2","13.58","12.82","12.48","0.34","50.67","56.64","55.14","9.73","9.02","0.71","51.89","42.99","39.85","7.94","5.3","2.64","59.97","35.08","23.42","0.87","0.78","0.09","3.84","3.45","0.73","1.12","-0.39","39.46","3.23","4.95","1","1","--","4.42","4.42","10.96","85.28","8.94","91.35","7.5","87.58","1.44","3.77","96.24","95.09","1.15"
"Patrick Marleau","March 9, 2018 - March 9, 2018","TOR","C","2","14.55","12.82","15.01","-2.19","46.07","52.87","61.9","9.73","11.6","-1.87","45.62","40.12","47.84","7.94","7.9","0.04","50.13","32.74","32.58","0.87","0.78","0.09","3.59","3.22","0.73","1.24","-0.51","37.06","3.01","5.11","1","1","--","4.12","4.12","10.96","90.13","8.94","93.28","7.5","89.31","1.44","3.97","101.08","96.81","4.27"
"Roman Polak","March 9, 2018 - March 9, 2018","TOR","D","2","16.58","6.74","13.3","-6.56","33.63","24.39","48.13","6.7","10.46","-3.76","39.04","24.25","37.85","4.68","8.78","-4.1","34.77","16.94","31.77","--","--","--","--","--","0.17","0.46","-0.29","26.98","0.62","1.66","1","1","--","3.62","3.62","--","100","--","100","2.54","95.6","-2.54","4.4","100","98.14","1.86"
"Ron Hainsey","March 9, 2018 - March 9, 2018","TOR","D","2","16.9","14.87","17.52","-2.65","45.91","52.79","62.2","10.82","13.62","-2.8","44.27","38.41","48.36","10.12","9.36","0.76","51.95","35.93","33.23","1.9","0.78","1.12","6.75","2.77","1.43","1.26","0.17","53.16","5.08","4.47","1","2","1","3.55","7.1","18.77","91.67","17.56","94.27","13.22","90.75","4.34","3.52","110.44","103.97","6.48"
"Tomas Plekanec","March 9, 2018 - March 9, 2018","TOR","C","2","7.47","0.78","6.35","-5.57","10.94","6.27","51","0.8","4.69","-3.89","14.57","6.43","37.67","0.82","3.57","-2.75","18.68","6.59","28.67","--","--","--","--","--","0.01","0.16","-0.15","5.88","0.08","1.29","--","1","1","--","8.03","--","100","--","100","1.25","96.59","-1.25","3.41","100","97.84","2.16"
"Travis Dermott","March 9, 2018 - March 9, 2018","TOR","D","2","15.47","8.53","8.86","-0.33","49.05","33.08","34.36","4.58","6.95","-2.37","39.72","17.76","26.96","4.62","6.47","-1.85","41.66","17.92","25.09","--","--","--","--","--","0.2","0.3","-0.1","40","0.78","1.16","1","--","-1","3.88","--","--","100","--","100","4.37","95.68","-4.37","4.32","100","100.05","-0.05"
"Tyler Bozak","March 9, 2018 - March 9, 2018","TOR","C","2","14.15","12.82","8.83","3.99","59.21","54.36","37.44","7.89","8.23","-0.34","48.95","33.46","34.9","6.94","7.74","-0.8","47.28","29.43","32.82","1.03","--","1.03","4.37","--","0.83","0.31","0.52","72.81","3.52","1.31","1","--","-1","4.24","--","14.84","100","13.05","100","10.52","96.23","2.53","3.77","114.84","106.75","8.09"
"William Nylander","March 9, 2018 - March 9, 2018","TOR","C","2","17.15","8.06","11.71","-3.65","40.77","28.2","40.97","5.83","8.82","-2.99","39.8","20.4","30.86","4.65","7.12","-2.47","39.51","16.27","24.91","--","--","--","--","--","0.34","0.38","-0.04","47.22","1.19","1.33","1","1","--","3.5","3.5","--","100","--","100","5.83","95.69","-5.83","4.31","100","101.52","-1.52"
"Zach Hyman","March 9, 2018 - March 9, 2018","TOR","C","2","14.12","6.33","11.68","-5.35","35.15","26.9","49.63","5.04","8.79","-3.75","36.44","21.42","37.35","3.86","7.1","-3.24","35.22","16.4","30.17","--","--","--","--","--","0.27","0.41","-0.14","39.71","1.15","1.74","1","1","--","4.25","4.25","--","100","--","100","5.36","95.34","-5.36","4.66","100","100.69","-0.69"
