"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Andreas Johnsson","March 27, 2018 - March 27, 2018","TOR","L","1","8.65","10.98","4.75","6.23","69.8","76.16","32.95","7","3.67","3.33","65.6","48.55","25.46","5.89","1.8","4.09","76.59","40.86","12.49","--","--","--","--","--","0.29","0.11","0.18","72.5","2.01","0.76","--","--","--","--","--","--","100","--","100","4.14","97","-4.14","3","100","101.15","-1.15"
"Auston Matthews","March 27, 2018 - March 27, 2018","TOR","C","1","13.72","12.58","17.62","-5.04","41.66","55.01","77.06","9.69","13.21","-3.52","42.31","42.38","57.77","7.91","10.02","-2.11","44.12","34.59","43.82","1.2","1.96","-0.76","5.25","8.57","0.61","0.82","-0.21","42.66","2.67","3.59","--","--","--","--","--","15.17","80.44","12.38","85.16","6.3","93.79","6.09","-8.63","95.61","100.09","-4.48"
"Connor Brown","March 27, 2018 - March 27, 2018","TOR","R","2","13.37","20.47","8.01","12.46","71.88","91.86","35.95","16.17","5.14","11.03","75.88","72.57","23.07","10.03","4.56","5.47","68.75","45.01","20.46","0.81","--","0.81","3.64","--","1.56","0.5","1.06","75.73","7","2.24","--","--","--","--","--","8.08","100","5.01","100","9.65","90.27","-4.64","9.73","108.08","99.92","8.16"
"Jake Gardiner","March 27, 2018 - March 27, 2018","TOR","D","1","17.85","16.15","22.11","-5.96","42.21","54.29","74.32","10.63","17.81","-7.18","37.38","35.73","59.87","8.92","12.74","-3.82","41.18","29.98","42.82","1.2","1.96","-0.76","4.03","6.59","0.96","1.23","-0.27","43.84","3.23","4.13","--","--","--","--","--","13.45","84.62","11.29","88.99","9.03","93.09","2.26","-4.1","98.07","102.12","-4.06"
"James Van Riemsdyk","March 27, 2018 - March 27, 2018","TOR","L","2","12.12","18.76","6.3","12.46","74.86","92.87","31.19","16.56","4.33","12.23","79.27","81.98","21.44","12.22","2.81","9.41","81.3","60.5","13.91","0.81","--","0.81","4.01","--","1.6","0.42","1.18","79.21","7.92","2.08","1","--","-1","4.95","--","6.63","100","4.89","100","9.66","90.3","-4.77","9.7","106.63","99.96","6.67"
"Kasperi Kapanen","March 27, 2018 - March 27, 2018","TOR","R","2","7.57","8.38","6.77","1.61","55.31","66.42","53.66","2.3","4.42","-2.12","34.23","18.23","35.03","1.14","3.55","-2.41","24.31","9.04","28.14","--","--","--","--","--","0.1","0.21","-0.11","32.26","0.79","1.66","1","--","-1","7.93","--","--","100","--","100","4.35","95.25","-4.35","4.75","100","99.6","0.4"
"Mitch Marner","March 27, 2018 - March 27, 2018","TOR","C","2","18.53","14.59","18.66","-4.07","43.88","47.24","60.42","11.59","12.53","-0.94","48.05","37.53","40.57","7.22","5.5","1.72","56.76","23.38","17.81","1.8","--","1.8","5.83","--","0.66","0.86","-0.2","43.42","2.14","2.78","1","--","-1","3.24","--","24.93","100","15.53","100","5.69","93.14","9.84","6.86","124.93","98.83","26.1"
"Morgan Rielly","March 27, 2018 - March 27, 2018","TOR","D","2","18.58","16.68","16.07","0.61","50.93","53.86","51.89","12.55","8.65","3.9","59.2","40.53","27.93","8.19","5.55","2.64","59.61","26.45","17.92","1.8","--","1.8","5.81","--","0.69","0.79","-0.1","46.62","2.23","2.55","1","--","-1","3.23","--","21.98","100","14.34","100","5.5","90.87","8.84","9.13","121.98","96.37","25.61"
"Nazem Kadri","March 27, 2018 - March 27, 2018","TOR","C","2","17.17","12.94","15.63","-2.69","45.29","45.22","54.62","9.9","9.4","0.5","51.3","34.6","32.85","7.49","4.69","2.8","61.49","26.17","16.39","0.86","--","0.86","3.01","--","0.56","0.77","-0.21","42.11","1.96","2.69","1","--","-1","3.49","--","11.48","100","8.69","100","5.66","91.81","3.03","8.19","111.48","97.47","14.02"
"Nikita Zaitsev","March 27, 2018 - March 27, 2018","TOR","D","2","17.85","18.58","21.45","-2.87","46.42","62.45","72.1","13.11","17.12","-4.01","43.37","44.07","57.55","10","12.74","-2.74","43.98","33.61","42.82","--","1.96","-1.96","--","6.59","0.89","1.22","-0.33","42.18","2.99","4.1","--","--","--","--","--","--","84.62","--","88.55","6.79","92.87","-6.79","-4.32","84.62","99.66","-15.05"
