"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Andreas Johnsson","March 21, 2018 - March 21, 2018","TOR","L","1","8.58","4.74","4.79","-0.05","49.74","33.15","33.5","3.62","4.01","-0.39","47.44","25.31","28.04","3.64","2.96","0.68","55.15","25.45","20.7","--","--","--","--","--","0.1","0.51","-0.41","16.39","0.7","3.57","1","1","--","6.99","6.99","--","100","--","100","2.76","87.28","-2.76","12.72","100","90.04","9.96"
"Auston Matthews","March 21, 2018 - March 21, 2018","TOR","C","2","14.52","11.77","6.92","4.85","62.97","48.64","28.6","8.75","5.74","3.01","60.39","36.16","23.72","8.13","4.57","3.56","64.02","33.6","18.88","1.94","0.84","1.1","8.02","3.47","0.57","0.29","0.28","66.28","2.36","1.2","3","--","-3","12.4","--","23.86","81.62","22.17","85.37","6.51","94.95","15.66","-9.58","105.48","101.46","4.02"
"Connor Brown","March 21, 2018 - March 21, 2018","TOR","R","1","11.32","9.47","4.74","4.73","66.64","50.19","25.12","7.04","4.21","2.83","62.58","37.31","22.31","5.69","3.6","2.09","61.25","30.16","19.08","0.99","--","0.99","5.25","--","0.35","0.32","0.03","52.24","1.86","1.7","1","--","-1","5.3","--","17.4","100","14.06","100","4.97","92.4","9.09","7.6","117.4","97.37","20.03"
"Jake Gardiner","March 21, 2018 - March 21, 2018","TOR","D","2","20.73","13.82","21.38","-7.56","39.26","40","61.88","9.02","16.91","-7.89","34.79","26.11","48.94","8.44","9.59","-1.15","46.81","24.43","27.76","0.99","0.84","0.15","2.87","2.43","0.37","1.09","-0.72","25.34","1.07","3.15","--","--","--","--","--","11.73","91.24","10.98","95.03","4.1","93.55","6.87","1.48","102.97","97.66","5.31"
"James Van Riemsdyk","March 21, 2018 - March 21, 2018","TOR","L","2","12.08","12.17","5.58","6.59","68.56","60.45","27.72","8.02","5.04","2.98","61.41","39.83","25.03","6.67","4.41","2.26","60.2","33.13","21.9","1.97","--","1.97","9.78","--","0.42","0.34","0.08","55.26","2.09","1.69","--","--","--","--","--","29.54","100","24.56","100","5.24","93.25","19.33","6.75","129.54","98.49","31.04"
"Kasperi Kapanen","March 21, 2018 - March 21, 2018","TOR","R","1","8.65","4.83","4.79","0.04","50.21","33.5","33.23","2.9","4.01","-1.11","41.97","20.12","27.82","2.92","2.96","-0.04","49.66","20.25","20.53","--","--","--","--","--","0.06","0.51","-0.45","10.53","0.42","3.54","1","1","--","6.94","6.94","--","100","--","100","2.07","87.28","-2.07","12.72","100","89.35","10.65"
"Mitch Marner","March 21, 2018 - March 21, 2018","TOR","C","2","13.07","4.15","14.67","-10.52","22.05","19.05","67.35","2.43","10.9","-8.47","18.23","11.16","50.04","2.48","3.77","-1.29","39.68","11.38","17.31","--","--","--","--","--","0.11","0.45","-0.34","19.64","0.5","2.07","--","--","--","--","--","--","100","--","100","4.53","95.87","-4.53","4.13","100","100.4","-0.4"
"Morgan Rielly","March 21, 2018 - March 21, 2018","TOR","D","2","15.6","8.92","8.26","0.66","51.92","34.31","31.77","7.4","7.14","0.26","50.89","28.46","27.46","5.32","4.45","0.87","54.45","20.46","17.12","1.94","--","1.94","7.46","--","0.47","0.37","0.1","55.95","1.81","1.42","2","--","-2","7.69","--","36.47","100","26.22","100","6.35","94.82","19.86","5.18","136.47","101.17","35.3"
"Nazem Kadri","March 21, 2018 - March 21, 2018","TOR","C","2","12.07","4.15","14.67","-10.52","22.05","20.63","72.92","2.43","10.9","-8.47","18.23","12.08","54.18","2.48","3.77","-1.29","39.68","12.33","18.74","--","--","--","--","--","0.11","0.45","-0.34","19.64","0.55","2.24","--","--","--","--","--","--","100","--","100","4.53","95.87","-4.53","4.13","100","100.4","-0.4"
"Nikita Zaitsev","March 21, 2018 - March 21, 2018","TOR","D","2","18.53","11.74","19.44","-7.7","37.65","38.01","62.95","5.95","15.79","-9.84","27.37","19.27","51.13","6.02","9.59","-3.57","38.57","19.49","31.05","1.97","0.84","1.13","6.38","2.72","0.25","1.04","-0.79","19.38","0.81","3.37","1","--","-1","3.24","--","32.72","91.24","33.11","94.68","4.2","93.41","28.91","1.27","123.97","97.62","26.35"
"Patrick Marleau","March 21, 2018 - March 21, 2018","TOR","C","2","12.58","3.47","14.67","-11.2","19.13","16.55","69.97","1.72","10.9","-9.18","13.63","8.2","51.99","1.75","3.77","-2.02","31.7","8.35","17.98","--","--","--","--","--","0.07","0.45","-0.38","13.46","0.33","2.15","1","--","-1","4.77","--","--","100","--","100","4.07","95.87","-4.07","4.13","100","99.94","0.06"
"Roman Polak","March 21, 2018 - March 21, 2018","TOR","D","2","13.6","9.89","6.8","3.09","59.26","43.63","30","7.11","4.51","2.6","61.19","31.37","19.9","7.19","2.51","4.68","74.12","31.72","11.07","--","--","--","--","--","0.38","0.28","0.1","57.58","1.68","1.24","3","1","-2","13.24","4.41","--","100","--","100","5.34","93.79","-5.34","6.21","100","99.14","0.86"
"Ron Hainsey","March 21, 2018 - March 21, 2018","TOR","D","2","11.8","5.52","7.3","-1.78","43.06","28.07","37.12","4.98","6.16","-1.18","44.7","25.32","31.32","4.35","4.36","-0.01","49.94","22.12","22.17","--","--","--","--","--","0.12","0.41","-0.29","22.64","0.61","2.08","1","--","-1","5.08","--","--","100","--","100","2.41","93.34","-2.41","6.66","100","95.75","4.25"
"Tomas Plekanec","March 21, 2018 - March 21, 2018","TOR","C","2","8.9","4.83","6.44","-1.61","42.86","32.56","43.42","2.9","4.85","-1.95","37.42","19.55","32.7","2.92","3.8","-0.88","43.45","19.69","25.62","--","--","--","--","--","0.06","0.59","-0.53","9.23","0.4","3.98","1","1","--","6.74","6.74","--","100","--","100","2.07","87.84","-2.07","12.16","100","89.9","10.1"
"Travis Dermott","March 21, 2018 - March 21, 2018","TOR","D","2","15.07","10.54","4.05","6.49","72.24","41.96","16.12","7.79","2.57","5.22","75.19","31.02","10.23","7.12","2.6","4.52","73.25","28.35","10.35","0.96","--","0.96","3.82","--","0.57","0.16","0.41","78.08","2.27","0.64","3","1","-2","11.94","3.98","13.48","100","12.32","100","7.32","93.77","5.01","6.23","113.48","101.09","12.39"
"Tyler Bozak","March 21, 2018 - March 21, 2018","TOR","C","2","12.52","9.47","7.23","2.24","56.71","45.38","34.65","7.04","5.88","1.16","54.49","33.74","28.18","5.69","5.25","0.44","52.01","27.27","25.16","0.99","--","0.99","4.74","--","0.35","0.42","-0.07","45.45","1.68","2.01","1","--","-1","4.79","--","17.4","100","14.06","100","4.97","92.86","9.09","7.14","117.4","97.83","19.57"
