"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Andreas Borgman","November 29, 2017 - November 29, 2017","TOR","D","1","13.82","15.11","17.72","-2.61","46.02","65.6","76.93","11.1","14.63","-3.53","43.14","48.19","63.52","8.13","10.75","-2.62","43.06","35.3","46.67","2.33","0.83","1.5","73.73","10.12","3.6","0.75","0.7","0.05","51.72","3.26","3.04","3","2","-1","13.02","8.68","28.66","92.28","20.99","94.33","6.76","95.22","14.23","-0.89","120.94","101.97","18.97"
"Auston Matthews","November 29, 2017 - November 29, 2017","TOR","C","2","17.15","17.68","25.2","-7.52","41.23","61.85","88.16","9.91","19.85","-9.94","33.3","34.67","69.45","7.36","17.05","-9.69","30.15","25.75","59.65","--","1.21","-1.21","--","--","4.23","1.12","1.77","-0.65","38.75","3.92","6.19","--","1","1","--","3.5","--","92.9","--","93.9","11.3","91.08","-11.3","2.82","92.9","102.38","-9.48"
"Connor Brown","November 29, 2017 - November 29, 2017","TOR","R","2","16.13","18.13","21.66","-3.53","45.56","67.44","80.57","11.75","17.53","-5.78","40.13","43.71","65.21","9.19","15.65","-6.46","37","34.18","58.21","0.82","1.21","-0.39","40.39","3.05","4.5","1.35","1.68","-0.33","44.55","5.02","6.25","--","1","1","--","3.72","8.92","92.27","6.98","93.1","11.49","90.42","-4.51","2.68","101.19","101.91","-0.71"
"Dominic Moore","November 29, 2017 - November 29, 2017","TOR","C","2","7.52","9.93","8.25","1.68","54.62","79.23","65.82","8.98","7.44","1.54","54.69","71.65","59.36","7.11","4.38","2.73","61.88","56.73","34.95","2.33","--","2.33","100","18.59","--","0.5","0.44","0.06","53.19","3.99","3.51","1","1","--","7.98","7.98","32.77","100","25.95","100","5.57","94.09","20.38","5.91","132.77","99.65","33.12"
"Jake Gardiner","November 29, 2017 - November 29, 2017","TOR","D","1","21.22","22.5","23.31","-0.81","49.12","63.62","65.91","15.92","16.08","-0.16","49.75","45.01","45.47","11.63","12.75","-1.12","47.7","32.88","36.05","--","2.15","-2.15","--","--","6.08","1.68","1.42","0.26","54.19","4.75","4.02","--","--","--","--","--","--","83.14","--","86.63","10.55","91.17","-10.55","-4.54","83.14","101.72","-18.58"
"James Van Riemsdyk","November 29, 2017 - November 29, 2017","TOR","L","1","11.17","9.32","5.62","3.7","62.38","50.06","30.19","6.53","2.49","4.04","72.39","35.08","13.38","3.21","2.53","0.68","55.92","17.24","13.59","--","--","--","--","--","--","0.5","0.12","0.38","80.65","2.69","0.64","--","1","1","--","5.37","--","100","--","100","7.66","95.18","-7.66","4.82","100","102.84","-2.84"
"Leo Komarov","November 29, 2017 - November 29, 2017","TOR","C","2","15.43","15.06","14.6","0.46","50.78","58.56","56.77","14.48","11","3.48","56.83","56.31","42.77","10.99","8.33","2.66","56.88","42.73","32.39","--","1.98","-1.98","--","--","7.7","1.02","0.57","0.45","64.15","3.97","2.22","1","--","-1","3.89","--","--","76.23","--","82","7.04","94.82","-7.04","-12.82","76.23","101.86","-25.63"
"Matt Martin","November 29, 2017 - November 29, 2017","TOR","L","1","8.58","9.93","11.44","-1.51","46.47","69.44","80","8.98","9.89","-0.91","47.59","62.8","69.16","7.11","6.86","0.25","50.89","49.72","47.97","2.33","0.83","1.5","73.73","16.29","5.8","0.5","0.51","-0.01","49.5","3.5","3.57","1","1","--","6.99","6.99","32.77","87.9","25.95","91.61","5.57","94.84","20.38","-3.24","120.67","100.41","20.26"
"Mitch Marner","November 29, 2017 - November 29, 2017","TOR","C","1","11.63","11","8.24","2.76","57.17","56.75","42.51","7.55","4","3.55","65.37","38.95","20.64","4.23","4.07","0.16","50.96","21.82","21","--","--","--","--","--","--","0.51","0.19","0.32","72.86","2.63","0.98","--","1","1","--","5.16","--","100","--","100","6.75","95.25","-6.75","4.75","100","102","-2"
"Morgan Rielly","November 29, 2017 - November 29, 2017","TOR","D","1","19.32","16.86","20.29","-3.43","45.38","52.36","63.01","13.77","15.52","-1.75","47.01","42.76","48.2","9.8","13.31","-3.51","42.41","30.43","41.34","--","1.21","-1.21","--","--","3.76","1.25","1.06","0.19","54.11","3.88","3.29","--","1","1","--","3.11","--","90.91","--","92.2","9.08","93.17","-9.08","-0.97","90.91","102.25","-11.34"
