"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Andreas Borgman","November 10, 2017 - November 10, 2017","TOR","D","2","11.23","8.18","10.18","-2","44.55","43.7","54.39","5.19","8.8","-3.61","37.1","27.73","47.02","3.56","8.88","-5.32","28.62","19.02","47.44","0.97","0.87","0.1","52.72","5.18","4.65","0.32","0.41","-0.09","43.84","1.71","2.19","2","2","--","10.69","10.69","27.25","90.2","18.69","90.11","6.17","95.34","12.52","-5.23","117.45","101.51","15.94"
"Connor Brown","November 10, 2017 - November 10, 2017","TOR","R","2","13.68","10.21","12.75","-2.54","44.47","44.78","55.92","5.89","10.84","-4.95","35.21","25.83","47.54","4.91","8.91","-4","35.53","21.54","39.08","--","--","--","--","--","--","0.3","0.81","-0.51","27.03","1.32","3.55","--","--","--","--","--","--","100","--","100","5.09","92.53","-5.09","7.47","100","97.62","2.38"
"Connor Carrick","November 10, 2017 - November 10, 2017","TOR","D","2","13.38","8.39","11.12","-2.73","43","37.62","49.87","5.67","8.76","-3.09","39.29","25.43","39.28","4.72","7.89","-3.17","37.43","21.17","35.38","0.97","0.87","0.1","52.72","4.35","3.9","0.32","0.33","-0.01","49.23","1.43","1.48","2","2","--","8.97","8.97","20.55","88.97","17.11","90.07","5.64","96.23","11.46","-6.16","109.52","101.88","7.65"
"Dominic Moore","November 10, 2017 - November 10, 2017","TOR","C","1","8.28","5.41","9.26","-3.85","36.88","39.2","67.1","3.48","8.54","-5.06","28.95","25.22","61.88","2.76","5.12","-2.36","35.03","20","37.1","--","0.87","-0.87","--","--","6.3","0.12","0.43","-0.31","21.82","0.87","3.12","1","1","--","7.25","7.25","--","83.01","--","89.81","3.45","94.96","-3.45","-5.15","83.01","98.41","-15.41"
"Jake Gardiner","November 10, 2017 - November 10, 2017","TOR","D","2","18.87","12.52","15.32","-2.8","44.97","39.81","48.71","7.15","14.08","-6.93","33.68","22.73","44.77","7.18","8.64","-1.46","45.39","22.83","27.47","--","--","--","--","--","--","0.2","0.89","-0.69","18.35","0.64","2.83","--","--","--","--","--","--","100","--","100","2.8","93.68","-2.8","6.32","100","96.48","3.52"
"James Van Riemsdyk","November 10, 2017 - November 10, 2017","TOR","L","2","11.07","8.28","5.53","2.75","59.96","44.88","29.97","6.32","4.63","1.69","57.72","34.25","25.09","5.7","3.72","1.98","60.51","30.89","20.16","1.9","--","1.9","100","10.3","--","0.23","0.08","0.15","74.19","1.25","0.43","1","1","--","5.42","5.42","33.33","100","30.06","100","3.64","98.27","26.42","1.73","133.33","101.91","31.42"
"Josh Leivo","November 10, 2017 - November 10, 2017","TOR","L","2","6.5","4.4","7.2","-2.8","37.93","40.62","66.46","3.48","6.4","-2.92","35.22","32.12","59.08","2.76","3.6","-0.84","43.4","25.48","33.23","--","--","--","--","--","--","0.12","0.29","-0.17","29.27","1.11","2.68","1","1","--","9.23","9.23","--","100","--","100","3.45","95.47","-3.45","4.53","100","98.92","1.08"
"Leo Komarov","November 10, 2017 - November 10, 2017","TOR","C","2","13.28","8.14","14.81","-6.67","35.47","36.78","66.91","4.1","12.17","-8.07","25.2","18.52","54.98","2.04","10.95","-8.91","15.7","9.22","49.47","--","--","--","--","--","--","0.14","0.92","-0.78","13.21","0.63","4.16","2","2","--","9.04","9.04","--","100","--","100","3.41","92.44","-3.41","7.56","100","95.86","4.14"
"Matt Martin","November 10, 2017 - November 10, 2017","TOR","L","1","7.43","5.35","7.87","-2.52","40.47","43.2","63.55","3.48","7.11","-3.63","32.86","28.1","57.42","2.76","4.32","-1.56","38.98","22.29","34.89","--","0.87","-0.87","--","--","7.03","0.12","0.34","-0.22","26.09","0.97","2.75","1","1","--","8.08","8.08","--","79.86","--","87.76","3.45","95.22","-3.45","-7.45","79.86","98.67","-18.81"
"Mitch Marner","November 10, 2017 - November 10, 2017","TOR","C","2","11.68","10.22","3.61","6.61","73.9","52.5","18.54","7.24","2.69","4.55","72.91","37.19","13.82","6.61","2.72","3.89","70.85","33.96","13.97","1.9","--","1.9","100","9.76","--","0.5","0.05","0.45","90.91","2.57","0.26","1","1","--","5.14","5.14","28.74","100","26.24","100","6.91","98.14","19.34","1.86","128.74","105.05","23.7"
"Morgan Rielly","November 10, 2017 - November 10, 2017","TOR","D","2","17.47","11.29","16.01","-4.72","41.36","38.78","54.99","8.36","11.52","-3.16","42.05","28.71","39.56","6.58","10.32","-3.74","38.93","22.6","35.44","0.93","--","0.93","100","3.19","--","0.49","0.89","-0.4","35.51","1.68","3.06","2","2","--","6.87","6.87","14.13","100","11.12","100","5.86","92.27","5.26","7.73","114.13","98.14","16"
"Nazem Kadri","November 10, 2017 - November 10, 2017","TOR","C","2","13.82","8.09","19.38","-11.29","29.45","35.12","84.14","5.06","16.04","-10.98","23.98","21.97","69.64","4.06","13.49","-9.43","23.13","17.63","58.57","--","0.87","-0.87","--","--","3.78","0.12","0.98","-0.86","10.91","0.52","4.25","2","2","--","8.68","8.68","--","93.55","--","94.58","2.37","93.89","-2.37","0.69","93.55","96.26","-2.71"
"Nikita Zaitsev","November 10, 2017 - November 10, 2017","TOR","D","2","16.75","13.23","16.05","-2.82","45.18","47.39","57.49","7.69","16.4","-8.71","31.92","27.55","58.75","6.04","10.67","-4.63","36.15","21.64","38.22","--","--","--","--","--","--","0.27","1.02","-0.75","20.93","0.97","3.65","--","--","--","--","--","--","100","--","100","3.51","93.78","-3.51","6.22","100","97.29","2.71"
"Patrick Marleau","November 10, 2017 - November 10, 2017","TOR","C","2","14.68","14.27","8.43","5.84","62.86","58.32","34.46","7.95","7.91","0.04","50.13","32.49","32.33","5.93","7.32","-1.39","44.75","24.24","29.92","--","--","--","--","--","--","0.35","0.79","-0.44","30.7","1.43","3.23","--","--","--","--","--","--","100","--","100","4.4","90.01","-4.4","9.99","100","94.42","5.58"
