"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Andreas Borgman","November 24, 2017 - November 24, 2017","TOR","D","1","13.67","14.63","10.49","4.14","58.24","64.21","46.04","11.96","8.28","3.68","59.09","52.49","36.34","5.31","4.87","0.44","52.16","23.31","21.38","--","--","--","--","--","0.74","0.49","0.25","60.16","3.25","2.15","1","1","--","4.39","4.39","--","100","--","100","6.19","94.08","-6.19","5.92","100","100.27","-0.27"
"Auston Matthews","November 24, 2017 - November 24, 2017","TOR","C","2","15.98","15.68","11.29","4.39","58.14","58.87","42.39","11.84","9.43","2.41","55.67","44.46","35.41","7.55","4.61","2.94","62.09","28.35","17.31","1.03","1.13","-0.1","3.87","4.24","0.63","0.58","0.05","52.07","2.37","2.18","--","--","--","--","--","13.64","75.49","8.7","88.02","5.32","93.85","3.38","-5.83","89.13","99.17","-10.04"
"Connor Brown","November 24, 2017 - November 24, 2017","TOR","R","3","13.9","9.79","8.81","0.98","52.63","42.26","38.03","7.42","8.19","-0.77","47.53","32.03","35.35","4.7","4.08","0.62","53.53","20.29","17.61","1.03","--","1.03","4.45","--","0.45","0.52","-0.07","46.39","1.94","2.24","1","--","-1","4.32","--","21.91","100","13.88","100","6.06","93.65","7.82","6.35","121.91","99.72","22.2"
"Dominic Moore","November 24, 2017 - November 24, 2017","TOR","C","1","9.83","9.32","4.9","4.42","65.54","56.89","29.91","5.71","4.29","1.42","57.1","34.85","26.19","3.72","1.98","1.74","65.26","22.71","12.09","1","--","1","6.1","--","0.34","0.21","0.13","61.82","2.08","1.28","1","--","-1","6.1","--","26.88","100","17.51","100","5.95","95.1","11.56","4.9","126.88","101.06","25.82"
"Jake Gardiner","November 24, 2017 - November 24, 2017","TOR","D","3","20.77","19.95","8.27","11.68","70.69","57.63","23.89","13.88","7.35","6.53","65.38","40.1","21.23","8.13","3.59","4.54","69.37","23.49","10.37","2.03","1.13","0.9","5.86","3.26","0.71","0.37","0.34","65.74","2.05","1.07","--","--","--","--","--","24.97","68.52","14.63","84.63","5.12","94.97","9.51","-10.34","93.49","100.08","-6.59"
"James Van Riemsdyk","November 24, 2017 - November 24, 2017","TOR","L","1","13.6","17.66","6.27","11.39","73.8","77.91","27.66","15.09","4","11.09","79.05","66.57","17.65","6.83","2.89","3.94","70.27","30.13","12.75","--","--","--","--","--","1.04","0.29","0.75","78.2","4.59","1.28","--","1","1","--","4.41","--","100","--","100","6.89","92.75","-6.89","7.25","100","99.64","0.36"
"Leo Komarov","November 24, 2017 - November 24, 2017","TOR","C","2","12.62","4.14","8.85","-4.71","31.87","19.68","42.08","4.26","4.43","-0.17","49.02","20.25","21.06","3.61","3.79","-0.18","48.78","17.16","18.02","--","0.92","-0.92","--","4.37","0.14","0.23","-0.09","37.84","0.67","1.09","2","--","-2","9.51","--","--","75.73","--","79.23","3.29","94.81","-3.29","-15.58","75.73","98.09","-22.37"
"Matt Martin","November 24, 2017 - November 24, 2017","TOR","L","2","8.93","4.73","5.96","-1.23","44.25","31.78","40.04","1.98","5.34","-3.36","27.05","13.3","35.88","0.92","3.04","-2.12","23.23","6.18","20.43","--","--","--","--","--","0.14","0.29","-0.15","32.56","0.94","1.95","1","--","-1","6.72","--","--","100","--","100","7.07","94.57","-7.07","5.43","100","101.64","-1.64"
"Mitch Marner","November 24, 2017 - November 24, 2017","TOR","C","2","13.35","14.73","7.25","7.48","67.02","66.2","32.58","12.23","4.04","8.19","75.17","54.97","18.16","5.87","2.93","2.94","66.7","26.38","13.17","--","--","--","--","--","0.95","0.22","0.73","81.2","4.27","0.99","--","1","1","--","4.49","--","100","--","100","7.77","94.55","-7.77","5.45","100","102.32","-2.32"
"Morgan Rielly","November 24, 2017 - November 24, 2017","TOR","D","2","18.6","10.12","9.81","0.31","50.78","32.65","31.65","9.04","6.55","2.49","57.99","29.16","21.13","7.14","4.86","2.28","59.5","23.03","15.68","--","0.92","-0.92","--","2.97","0.6","0.37","0.23","61.86","1.94","1.19","2","--","-2","6.45","--","--","81.07","--","85.95","6.64","94.35","-6.64","-8.4","81.07","100.99","-19.92"
"Nazem Kadri","November 24, 2017 - November 24, 2017","TOR","C","2","13.63","4.97","9.95","-4.98","33.31","21.88","43.8","4.26","5.51","-1.25","43.6","18.75","24.26","3.61","4.88","-1.27","42.52","15.89","21.48","--","0.92","-0.92","--","4.05","0.14","0.25","-0.11","35.9","0.62","1.1","2","--","-2","8.8","--","--","81.15","--","83.3","3.29","95.46","-3.29","-12.16","81.15","98.75","-17.6"
"Nikita Zaitsev","November 24, 2017 - November 24, 2017","TOR","D","3","19.7","19.3","13.01","6.29","59.73","58.78","39.62","12.35","8.37","3.98","59.6","37.61","25.49","8.56","4.61","3.95","65","26.07","14.04","2.03","1.13","0.9","6.18","3.44","0.66","0.53","0.13","55.46","2.01","1.61","--","--","--","--","--","23.71","75.49","16.44","86.5","5.34","93.67","11.09","-7.17","99.2","99.01","0.19"
