"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Andreas Borgman","November 9, 2017 - November 9, 2017","TOR","D","1","11.88","7.54","16.21","-8.67","31.75","38.08","81.87","5.48","13.47","-7.99","28.92","27.68","68.03","4.49","8.96","-4.47","33.38","22.68","45.25","--","--","--","--","--","0.21","0.82","-0.61","20.39","1.06","4.14","1","--","-1","5.05","--","--","100","--","100","3.83","93.91","-3.83","6.09","100","97.74","2.26"
"Connor Brown","November 9, 2017 - November 9, 2017","TOR","R","3","12.8","10.69","15.11","-4.42","41.43","50.11","70.83","9.11","11.59","-2.48","44.01","42.7","54.33","5.05","8","-2.95","38.7","23.67","37.5","--","--","--","--","--","0.57","1.15","-0.58","33.14","2.67","5.39","2","2","--","9.38","9.38","--","100","--","100","6.26","90.08","-6.26","9.92","100","96.33","3.67"
"Connor Carrick","November 9, 2017 - November 9, 2017","TOR","D","1","12.15","10.16","14.18","-4.02","41.74","50.17","70.02","7.66","11.46","-3.8","40.06","37.83","56.59","5.69","7.94","-2.25","41.75","28.1","39.21","--","--","--","--","--","0.42","0.75","-0.33","35.9","2.07","3.7","2","1","-1","9.88","4.94","--","100","--","100","5.48","93.46","-5.48","6.54","100","98.94","1.06"
"Dominic Moore","November 9, 2017 - November 9, 2017","TOR","C","3","8.78","8.01","14.12","-6.11","36.2","54.74","96.49","8.14","10.4","-2.26","43.91","55.63","71.07","5.41","7.67","-2.26","41.36","36.97","52.41","--","1.04","-1.04","--","7.11","0.85","0.78","0.07","52.15","5.81","5.33","--","--","--","--","--","--","86.44","--","90","10.44","92.5","-10.44","-2.5","86.44","102.94","-16.5"
"Jake Gardiner","November 9, 2017 - November 9, 2017","TOR","D","3","14.17","14.3","6.42","7.88","69.02","60.55","27.18","8.41","5.94","2.47","58.61","35.61","25.15","4.59","5.01","-0.42","47.81","19.44","21.21","0.51","--","0.51","2.16","--","0.4","0.42","-0.02","48.78","1.69","1.78","2","2","--","8.47","8.47","11.11","100","6.06","100","4.76","92.93","1.31","7.07","111.11","97.69","13.43"
"James Van Riemsdyk","November 9, 2017 - November 9, 2017","TOR","L","3","10.57","11.9","8.15","3.75","59.35","67.55","46.26","7.67","6.6","1.07","53.75","43.54","37.46","6.67","5.64","1.03","54.18","37.86","32.02","--","--","--","--","--","0.33","0.43","-0.1","43.42","1.87","2.44","1","--","-1","5.68","--","--","100","--","100","4.3","93.48","-4.3","6.52","100","97.79","2.21"
"Josh Leivo","November 9, 2017 - November 9, 2017","TOR","L","2","8.13","9.11","10.61","-1.5","46.2","67.23","78.3","7.36","7.84","-0.48","48.42","54.32","57.86","3.57","6.01","-2.44","37.27","26.35","44.35","--","--","--","--","--","0.32","0.6","-0.28","34.78","2.36","4.43","1","2","1","7.38","14.76","--","100","--","100","4.35","92.35","-4.35","7.65","100","96.69","3.31"
"Leo Komarov","November 9, 2017 - November 9, 2017","TOR","C","2","12.32","9.87","13.51","-3.64","42.22","48.07","65.8","7.79","12.05","-4.26","39.26","37.94","58.69","6.81","9.13","-2.32","42.72","33.17","44.46","--","--","--","--","--","0.96","1.18","-0.22","44.86","4.68","5.75","--","2","2","--","9.74","--","100","--","100","12.32","90.21","-12.32","9.79","100","102.53","-2.53"
"Matt Martin","November 9, 2017 - November 9, 2017","TOR","L","2","6.82","5.02","8.69","-3.67","36.62","44.16","76.45","5.13","5.91","-0.78","46.47","45.13","51.99","2.39","4.1","-1.71","36.83","21.03","36.07","--","--","--","--","--","0.22","0.31","-0.09","41.51","1.94","2.73","--","--","--","--","--","--","100","--","100","4.29","94.75","-4.29","5.25","100","99.04","0.96"
"Mitch Marner","November 9, 2017 - November 9, 2017","TOR","C","3","10.97","11.88","6.49","5.39","64.67","64.98","35.5","7.56","4.9","2.66","60.67","41.35","26.8","6.53","3.92","2.61","62.49","35.72","21.44","0.51","--","0.51","2.79","--","0.35","0.15","0.2","70","1.91","0.82","1","1","--","5.47","5.47","7.81","100","6.75","100","4.63","96.94","2.12","3.06","107.81","101.57","6.24"
