"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Andreas Borgman","November 15, 2017 - November 15, 2017","TOR","D","1","14.33","12.17","7.88","4.29","60.7","50.96","32.99","9.99","5.88","4.11","62.95","41.83","24.62","4.81","4.55","0.26","51.39","20.14","19.05","--","--","--","--","--","0.48","0.37","0.11","56.47","2.01","1.55","--","1","1","--","4.19","--","100","--","100","4.8","93.71","-4.8","6.29","100","98.51","1.49"
"Connor Brown","November 15, 2017 - November 15, 2017","TOR","R","2","14.3","13.04","7.56","5.48","63.3","54.71","31.72","9.92","4.31","5.61","69.71","41.62","18.08","4.62","3.38","1.24","57.75","19.38","14.18","--","--","--","--","--","0.71","0.12","0.59","85.54","2.98","0.5","1","--","-1","4.2","--","--","100","--","100","7.16","97.22","-7.16","2.78","100","104.37","-4.37"
"Connor Carrick","November 15, 2017 - November 15, 2017","TOR","D","2","14.42","12.17","8.63","3.54","58.51","50.64","35.91","9.99","6.59","3.4","60.25","41.57","27.42","4.81","4.47","0.34","51.83","20.01","18.6","--","--","--","--","--","0.48","0.35","0.13","57.83","2","1.46","--","1","1","--","4.16","--","100","--","100","4.8","94.69","-4.8","5.31","100","99.49","0.51"
"Dominic Moore","November 15, 2017 - November 15, 2017","TOR","C","2","9.5","4.81","8.41","-3.6","36.38","30.38","53.12","4.93","7.52","-2.59","39.6","31.14","47.49","1.72","4.62","-2.9","27.13","10.86","29.18","--","--","--","--","--","0.12","0.26","-0.14","31.58","0.76","1.64","--","1","1","--","6.32","--","100","--","100","2.43","96.54","-2.43","3.46","100","98.98","1.02"
"Jake Gardiner","November 15, 2017 - November 15, 2017","TOR","D","3","22.02","17.94","18.17","-0.23","49.68","48.88","49.51","12.95","15.73","-2.78","45.15","35.29","42.86","7.64","11.28","-3.64","40.38","20.82","30.74","0.48","--","0.48","1.31","--","0.99","0.69","0.3","58.93","2.7","1.88","1","--","-1","2.72","--","6.28","100","3.71","100","7.64","95.61","-3.94","4.39","106.28","103.26","3.02"
"James Van Riemsdyk","November 15, 2017 - November 15, 2017","TOR","L","2","14.62","11.13","9.96","1.17","52.77","45.68","40.88","5.75","8.91","-3.16","39.22","23.6","36.57","3.78","7.66","-3.88","33.04","15.51","31.44","--","--","--","--","--","0.32","0.57","-0.25","35.96","1.31","2.34","1","--","-1","4.1","--","--","100","--","100","5.57","93.6","-5.57","6.4","100","99.17","0.83"
"Leo Komarov","November 15, 2017 - November 15, 2017","TOR","C","3","14.25","10.68","15.86","-5.18","40.24","44.97","66.78","8.03","14.04","-6.01","36.38","33.81","59.12","5.45","9.45","-4","36.58","22.95","39.79","--","--","--","--","--","0.75","0.74","0.01","50.34","3.16","3.12","--","--","--","--","--","--","100","--","100","9.34","94.73","-9.34","5.27","100","104.07","-4.07"
"Matt Martin","November 15, 2017 - November 15, 2017","TOR","L","1","8.15","4.15","7.32","-3.17","36.18","30.55","53.89","4.24","6.42","-2.18","39.77","31.21","47.26","1.02","3.75","-2.73","21.38","7.51","27.61","--","--","--","--","--","0.11","0.23","-0.12","32.35","0.81","1.69","--","1","1","--","7.36","--","100","--","100","2.59","96.42","-2.59","3.58","100","99.01","0.99"
"Mitch Marner","November 15, 2017 - November 15, 2017","TOR","C","3","14.45","10.11","11.28","-1.17","47.27","41.98","46.84","5.75","9.59","-3.84","37.48","23.88","39.82","3.78","7.55","-3.77","33.36","15.7","31.35","--","--","--","--","--","0.32","0.56","-0.24","36.36","1.33","2.33","2","--","-2","8.3","--","--","100","--","100","5.57","94.16","-5.57","5.84","100","99.73","0.27"
"Morgan Rielly","November 15, 2017 - November 15, 2017","TOR","D","3","18.47","13.45","18.1","-4.65","42.63","43.69","58.8","8.4","14.71","-6.31","36.35","27.29","47.79","4.77","12.02","-7.25","28.41","15.5","39.05","--","--","--","--","--","0.58","0.76","-0.18","43.28","1.88","2.47","2","--","-2","6.5","--","--","100","--","100","6.9","94.83","-6.9","5.17","100","101.74","-1.74"
"Nazem Kadri","November 15, 2017 - November 15, 2017","TOR","C","3","15.83","12.57","17.84","-5.27","41.34","47.64","67.62","9.76","15.85","-6.09","38.11","36.99","60.08","7.1","12.18","-5.08","36.83","26.91","46.17","0.48","--","0.48","1.82","--","0.88","0.91","-0.03","49.16","3.34","3.45","--","--","--","--","--","6.76","100","4.92","100","9.02","94.26","-4.1","5.74","106.76","103.28","3.49"
"Nikita Soshnikov","November 15, 2017 - November 15, 2017","TOR","R","2","9.72","4.81","9.28","-4.47","34.14","29.69","57.28","4.93","8.39","-3.46","37.01","30.43","51.79","1.72","4.8","-3.08","26.38","10.62","29.63","--","--","--","--","--","0.12","0.37","-0.25","24.49","0.74","2.28","--","1","1","--","6.17","--","100","--","100","2.43","95.59","-2.43","4.41","100","98.02","1.98"
"Nikita Zaitsev","November 15, 2017 - November 15, 2017","TOR","D","3","19.37","14.31","16.14","-1.83","47","44.33","49.99","11.11","14.68","-3.57","43.08","34.41","45.47","6.83","10.24","-3.41","40.01","21.16","31.72","--","--","--","--","--","0.91","0.6","0.31","60.26","2.82","1.86","--","--","--","--","--","--","100","--","100","8.19","95.91","-8.19","4.09","100","104.1","-4.1"
"Patrick Marleau","November 15, 2017 - November 15, 2017","TOR","C","3","15.6","13.04","9.1","3.94","58.9","50.15","35","9.92","5.18","4.74","65.7","38.15","19.92","4.62","3.45","1.17","57.25","17.77","13.27","--","--","--","--","--","0.71","0.2","0.51","78.02","2.73","0.77","2","--","-2","7.69","--","--","100","--","100","7.16","96.14","-7.16","3.86","100","103.3","-3.3"
"Ron Hainsey","November 15, 2017 - November 15, 2017","TOR","D","3","19.25","11.18","19.73","-8.55","36.17","34.85","61.5","6.54","15.54","-9","29.62","20.38","48.44","3.94","10.09","-6.15","28.08","12.28","31.45","--","--","--","--","--","0.49","0.89","-0.4","35.51","1.53","2.77","2","--","-2","6.23","--","--","100","--","100","7.49","94.27","-7.49","5.73","100","101.77","-1.77"
"Tyler Bozak","November 15, 2017 - November 15, 2017","TOR","C","2","14.57","11.13","9.94","1.19","52.82","45.83","40.93","5.75","8.9","-3.15","39.25","23.68","36.65","3.78","6.94","-3.16","35.26","15.57","28.58","--","--","--","--","--","0.32","0.56","-0.24","36.36","1.32","2.31","1","--","-1","4.12","--","--","100","--","100","5.57","93.71","-5.57","6.29","100","99.27","0.73"
"William Nylander","November 15, 2017 - November 15, 2017","TOR","C","3","15.4","13.21","15.24","-2.03","46.43","51.47","59.38","9.69","13.2","-3.51","42.33","37.75","51.43","7.03","9.51","-2.48","42.5","27.39","37.05","0.48","--","0.48","1.87","--","0.88","0.79","0.09","52.69","3.43","3.08","--","--","--","--","--","6.83","100","4.95","100","9.08","94.02","-4.13","5.98","106.83","103.1","3.73"
"Zach Hyman","November 15, 2017 - November 15, 2017","TOR","C","2","14.07","13.06","8.19","4.87","61.46","55.69","34.93","10.67","4.29","6.38","71.32","45.5","18.29","5.39","3.36","2.03","61.6","22.99","14.33","--","--","--","--","--","0.72","0.11","0.61","86.75","3.07","0.47","1","--","-1","4.26","--","--","100","--","100","6.75","97.44","-6.75","2.56","100","104.18","-4.18"
