"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Andreas Borgman","November 7, 2017 - November 7, 2017","TOR","D","1","9.2","4.88","8.36","-3.48","36.86","31.83","54.52","3.99","6.09","-2.1","39.58","26.02","39.72","3.01","3.66","-0.65","45.13","19.63","23.87","--","--","--","--","--","0.16","0.63","-0.47","20.25","1.04","4.11","3","1","-2","19.57","6.52","--","100","--","100","4.01","89.66","-4.01","10.34","100","93.67","6.33"
"Connor Brown","November 7, 2017 - November 7, 2017","TOR","R","2","12.4","8.58","14.98","-6.4","36.42","41.52","72.48","7.58","12.47","-4.89","37.81","36.68","60.34","4.74","9.64","-4.9","32.96","22.94","46.65","0.85","1.01","-0.16","4.11","4.89","0.41","1.69","-1.28","19.52","1.98","8.18","--","--","--","--","--","17.93","89.52","11.21","91.9","5.41","86.45","5.8","5.45","107.46","91.86","15.6"
"Connor Carrick","November 7, 2017 - November 7, 2017","TOR","D","2","12.7","6.13","10.81","-4.68","36.19","28.96","51.07","4.61","8.6","-3.99","34.9","21.78","40.63","3.67","5.57","-1.9","39.72","17.34","26.31","0.82","--","0.82","3.87","--","0.28","0.67","-0.39","29.47","1.32","3.17","4","1","-3","18.9","4.72","22.34","100","17.79","100","6.07","92.21","11.71","7.79","122.34","98.28","24.06"
"Dominic Moore","November 7, 2017 - November 7, 2017","TOR","C","1","10.87","6.54","8.36","-1.82","43.89","36.1","46.15","5.67","5.81","-0.14","49.39","31.3","32.07","5.71","4.28","1.43","57.16","31.52","23.62","0.82","--","0.82","4.53","--","0.38","0.19","0.19","66.67","2.1","1.05","--","--","--","--","--","14.36","100","14.46","100","6.7","96.73","7.76","3.27","114.36","103.43","10.93"
"Jake Gardiner","November 7, 2017 - November 7, 2017","TOR","D","3","21.7","18.28","16.21","2.07","53","50.54","44.82","11.88","12.85","-0.97","48.04","32.85","35.53","6.93","8.68","-1.75","44.39","19.16","24","0.85","--","0.85","2.35","--","0.69","1.05","-0.36","39.66","1.91","2.9","--","--","--","--","--","12.27","100","7.15","100","5.81","91.83","1.35","8.17","112.27","97.64","14.63"
"James Van Riemsdyk","November 7, 2017 - November 7, 2017","TOR","L","2","10.3","6.81","6.59","0.22","50.82","39.67","38.39","4.06","5.19","-1.13","43.89","23.65","30.23","0.98","3.73","-2.75","20.81","5.71","21.73","--","--","--","--","--","0.25","0.55","-0.3","31.25","1.46","3.2","3","1","-2","17.48","5.83","--","100","--","100","6.16","89.4","-6.16","10.6","100","95.56","4.44"
"Josh Leivo","November 7, 2017 - November 7, 2017","TOR","L","1","9.85","4.6","6.54","-1.94","41.29","28.02","39.84","4.65","4.24","0.41","52.31","28.32","25.83","4.69","3.31","1.38","58.63","28.57","20.16","0.82","--","0.82","4.99","--","0.33","0.15","0.18","68.75","2.01","0.91","--","--","--","--","--","17.48","100","17.63","100","7.1","96.46","10.54","3.54","117.48","103.56","13.92"
"Leo Komarov","November 7, 2017 - November 7, 2017","TOR","C","2","13.15","13.89","10.03","3.86","58.07","63.38","45.76","7.92","5.22","2.7","60.27","36.14","23.82","5.98","3.89","2.09","60.59","27.29","17.75","1.11","--","1.11","5.06","--","0.5","0.52","-0.02","49.02","2.28","2.37","--","--","--","--","--","18.56","100","14.02","100","6.31","90.04","7.7","9.96","118.56","96.35","22.21"
"Matt Martin","November 7, 2017 - November 7, 2017","TOR","L","1","8.75","4.47","7.2","-2.73","38.3","30.65","49.37","3.6","4.58","-0.98","44.01","24.69","31.41","3.64","3.62","0.02","50.14","24.96","24.82","0.82","--","0.82","5.62","--","0.28","0.15","0.13","65.12","1.92","1.03","--","--","--","--","--","22.53","100","22.78","100","7.78","96.72","15","3.28","122.53","104.5","18.02"
"Mitch Marner","November 7, 2017 - November 7, 2017","TOR","C","2","13.78","6.81","10.93","-4.12","38.39","29.65","47.59","4.06","8.17","-4.11","33.2","17.68","35.57","0.98","6.15","-5.17","13.74","4.27","26.78","--","--","--","--","--","0.25","1.05","-0.8","19.23","1.09","4.57","4","--","-4","17.42","--","--","100","--","100","6.16","87.15","-6.16","12.85","100","93.31","6.69"
"Morgan Rielly","November 7, 2017 - November 7, 2017","TOR","D","2","19.62","14.42","18.39","-3.97","43.95","44.1","56.24","10.46","13.16","-2.7","44.28","31.99","40.24","8.55","11.85","-3.3","41.91","26.15","36.24","1.93","1.01","0.92","5.9","3.09","0.74","1.8","-1.06","29.13","2.26","5.5","1","--","-1","3.06","--","22.57","91.48","18.45","92.33","7.07","86.32","11.38","6","114.05","93.4","20.65"
"Nazem Kadri","November 7, 2017 - November 7, 2017","TOR","C","2","13.73","15.03","10.78","4.25","58.23","65.68","47.11","10.02","5.99","4.03","62.59","43.79","26.18","8.07","3.89","4.18","67.47","35.27","17","1.11","--","1.11","4.85","--","0.61","0.57","0.04","51.69","2.67","2.49","--","1","1","--","4.37","13.75","100","11.08","100","6.09","90.48","4.99","9.52","113.75","96.57","17.18"
"Nikita Zaitsev","November 7, 2017 - November 7, 2017","TOR","D","3","17.72","16.38","14.68","1.7","52.74","55.46","49.71","10.66","11.28","-0.62","48.59","36.09","38.19","5.71","7.7","-1.99","42.58","19.33","26.07","0.85","--","0.85","2.88","--","0.63","1.02","-0.39","38.18","2.13","3.45","--","--","--","--","--","14.89","100","7.97","100","5.91","90.96","2.06","9.04","114.89","96.87","18.02"
"Patrick Marleau","November 7, 2017 - November 7, 2017","TOR","C","3","13.23","12.17","15.9","-3.73","43.36","55.19","72.11","9.55","14.34","-4.79","39.97","43.31","65.03","6.7","10.73","-4.03","38.44","30.39","48.66","0.85","1.01","-0.16","3.85","4.58","0.48","2.18","-1.7","18.05","2.18","9.89","1","--","-1","4.54","--","12.69","90.59","8.9","92.96","5.03","84.8","3.87","8.16","103.27","89.82","13.45"
"Ron Hainsey","November 7, 2017 - November 7, 2017","TOR","D","2","16.77","12.87","15.71","-2.84","45.03","46.05","56.21","8.87","10.43","-1.56","45.96","31.74","37.32","6.93","9.13","-2.2","43.15","24.79","32.67","1.11","1.01","0.1","3.97","3.61","0.58","1.73","-1.15","25.11","2.08","6.19","--","--","--","--","--","16.02","88.94","12.51","90.32","6.54","83.41","5.98","6.9","104.95","89.95","15"
"Tyler Bozak","November 7, 2017 - November 7, 2017","TOR","C","1","13.45","5.84","13.57","-7.73","30.09","26.05","60.54","3.08","10.77","-7.69","22.24","13.74","48.04","--","8.78","-8.78","--","--","39.17","--","--","--","--","--","0.22","1.09","-0.87","16.79","0.98","4.86","4","--","-4","17.84","--","--","100","--","100","7.14","89.88","-7.14","10.12","--","97.02","--"
"William Nylander","November 7, 2017 - November 7, 2017","TOR","C","2","14.33","14.55","7.91","6.64","64.78","60.92","33.12","7.92","5.01","2.91","61.25","33.16","20.98","5.98","2.9","3.08","67.34","25.04","12.14","1.11","--","1.11","4.65","--","0.5","0.54","-0.04","48.08","2.09","2.26","--","1","1","--","4.19","18.56","100","14.02","100","6.31","89.22","7.7","10.78","118.56","95.53","23.03"
"Zach Hyman","November 7, 2017 - November 7, 2017","TOR","C","3","12.17","9.5","13.45","-3.95","41.39","46.84","66.31","7.58","11.83","-4.25","39.05","37.37","58.32","4.74","8.98","-4.24","34.55","23.37","44.27","0.85","1.01","-0.16","4.19","4.98","0.41","1.68","-1.27","19.62","2.02","8.28","--","--","--","--","--","17.93","88.75","11.21","91.46","5.41","85.8","5.8","5.66","106.69","91.21","15.48"
