"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Andreas Borgman","October 31, 2017 - October 31, 2017","TOR","D","1","13.52","12.64","11.66","0.98","52.02","56.09","51.75","8.04","9.85","-1.81","44.94","35.68","43.71","6.42","7.05","-0.63","47.66","28.49","31.29","--","1.09","-1.09","--","--","4.84","0.3","0.27","0.03","52.63","1.33","1.2","--","1","1","--","4.44","--","84.54","--","88.93","3.73","97.26","-3.73","-8.32","84.54","100.99","-16.45"
"Auston Matthews","October 31, 2017 - October 31, 2017","TOR","C","1","14.4","7.59","13.57","-5.98","35.87","31.62","56.54","4.93","9.18","-4.25","34.94","20.54","38.25","3.38","7.85","-4.47","30.1","14.08","32.71","--","--","--","--","--","--","0.18","0.55","-0.37","24.66","0.75","2.29","1","1","--","4.17","4.17","--","100","--","100","3.65","94.01","-3.65","5.99","100","97.66","2.34"
"Connor Brown","October 31, 2017 - October 31, 2017","TOR","R","2","8.3","10.46","3.04","7.42","77.48","75.61","21.98","8.09","2.03","6.06","79.94","58.48","14.67","6.77","1.01","5.76","87.02","48.94","7.3","2.26","--","2.26","100","16.34","--","1.05","0.05","1","95.45","7.59","0.36","1","--","-1","7.23","--","33.38","100","27.94","100","12.98","97.54","14.96","2.46","133.38","110.52","22.87"
"Connor Carrick","October 31, 2017 - October 31, 2017","TOR","D","1","13.43","7.05","10.37","-3.32","40.47","31.5","46.33","4.21","7.91","-3.7","34.74","18.81","35.34","2.71","3.73","-1.02","42.08","12.11","16.66","--","--","--","--","--","--","0.39","0.38","0.01","50.65","1.74","1.7","1","--","-1","4.47","--","--","100","--","100","9.26","95.2","-9.26","4.8","100","104.46","-4.46"
"Jake Gardiner","October 31, 2017 - October 31, 2017","TOR","D","1","20.53","11.96","17.76","-5.8","40.24","34.95","51.9","6.98","11.26","-4.28","38.27","20.4","32.91","4.07","8.09","-4.02","33.47","11.89","23.64","--","--","--","--","--","--","0.53","0.56","-0.03","48.62","1.55","1.64","2","--","-2","5.85","--","--","100","--","100","7.59","95.03","-7.59","4.97","100","102.62","-2.62"
"James Van Riemsdyk","October 31, 2017 - October 31, 2017","TOR","L","2","10.3","12.4","4.77","7.63","72.22","72.23","27.79","8.14","3.79","4.35","68.23","47.42","22.08","5.86","1.84","4.02","76.1","34.14","10.72","2.26","--","2.26","100","13.17","--","0.74","0.11","0.63","87.06","4.31","0.64","1","--","-1","5.83","--","38.57","100","27.76","100","9.09","97.1","18.67","2.9","138.57","106.19","32.38"
"Josh Leivo","October 31, 2017 - October 31, 2017","TOR","L","1","10.17","4.77","10.07","-5.3","32.14","28.14","59.41","3.44","6.95","-3.51","33.11","20.29","41","3.49","3.38","0.11","50.8","20.59","19.94","--","1.09","-1.09","--","--","6.43","0.17","0.15","0.02","53.12","1","0.88","1","--","-1","5.9","--","--","67.75","--","84.32","4.94","97.84","-4.94","-13.53","67.75","102.78","-35.03"
"Leo Komarov","October 31, 2017 - October 31, 2017","TOR","C","1","11.45","6.73","8.81","-2.08","43.31","35.27","46.17","5.4","5.6","-0.2","49.09","28.3","29.34","5.47","1.98","3.49","73.42","28.66","10.38","1.08","1.09","-0.01","49.77","5.66","5.71","0.54","0.09","0.45","85.71","2.83","0.47","1","--","-1","5.24","--","19.74","44.95","20","80.54","10","98.39","10","-17.86","64.69","108.39","-43.7"
"Matt Martin","October 31, 2017 - October 31, 2017","TOR","L","1","11.77","14.84","4.79","10.05","75.6","75.65","24.42","9.84","2.77","7.07","78.03","50.16","14.12","5.48","2.77","2.71","66.42","27.94","14.12","--","--","--","--","--","--","0.55","0.06","0.49","90.16","2.8","0.31","--","1","1","--","5.1","--","100","--","100","5.59","97.83","-5.59","2.17","100","103.42","-3.42"
"Mitch Marner","October 31, 2017 - October 31, 2017","TOR","C","1","12.62","14.84","7.85","6.99","65.4","70.55","37.32","9.84","6.21","3.63","61.31","46.78","29.52","5.48","5.31","0.17","50.79","26.05","25.25","--","--","--","--","--","--","0.55","0.17","0.38","76.39","2.61","0.81","--","1","1","--","4.75","--","100","--","100","5.59","97.26","-5.59","2.74","100","102.85","-2.85"
