"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Andreas Borgman","November 23, 2017 - November 23, 2017","TOR","D","1","12.92","9.25","11.38","-2.13","44.84","42.96","52.85","6.75","7.97","-1.22","45.86","31.35","37.01","3.88","4.04","-0.16","48.99","18.02","18.76","0.95","0.97","-0.02","49.48","4.41","4.5","0.28","0.77","-0.49","26.67","1.3","3.58","--","1","1","--","4.64","24.48","75.99","14.07","87.83","4.15","90.34","9.93","-2.51","100.47","94.49","5.99"
"Auston Matthews","November 23, 2017 - November 23, 2017","TOR","C","2","16.67","14.29","17.37","-3.08","45.14","51.43","62.52","9.38","12.41","-3.03","43.05","33.76","44.67","6.36","6.66","-0.3","48.85","22.89","23.97","--","0.95","-0.95","--","--","3.42","0.4","0.5","-0.1","44.44","1.44","1.8","2","1","-1","7.2","3.6","--","85.74","--","92.34","4.26","95.97","-4.26","-3.63","85.74","100.24","-14.5"
"Connor Brown","November 23, 2017 - November 23, 2017","TOR","R","1","10.52","4.22","12.47","-8.25","25.28","24.07","71.12","2.76","10.54","-7.78","20.75","15.74","60.11","1.84","8.13","-6.29","18.46","10.49","46.37","--","0.97","-0.97","--","--","5.53","0.07","1.35","-1.28","4.93","0.4","7.7","--","--","--","--","--","--","88.07","--","90.8","2.54","87.19","-2.54","3.61","88.07","89.73","-1.66"
"Connor Carrick","November 23, 2017 - November 23, 2017","TOR","D","1","13.4","9.25","13.24","-3.99","41.13","41.42","59.28","6.75","9.47","-2.72","41.62","30.22","42.4","3.88","4.31","-0.43","47.37","17.37","19.3","0.95","0.97","-0.02","49.48","4.25","4.34","0.28","0.74","-0.46","27.45","1.25","3.31","--","1","1","--","4.48","24.48","77.49","14.07","89.76","4.15","92.19","9.93","-2.43","101.98","96.33","5.64"
"Jake Gardiner","November 23, 2017 - November 23, 2017","TOR","D","2","17.2","11.01","27.77","-16.76","28.39","38.41","96.87","8.15","22.86","-14.71","26.28","28.43","79.74","6.37","14.54","-8.17","30.46","22.22","50.72","1.08","0.85","0.23","55.96","3.77","2.97","0.76","2.21","-1.45","25.59","2.65","7.71","--","1","1","--","3.49","16.95","94.15","13.25","96.28","9.33","90.33","3.93","5.95","111.11","99.66","11.45"
"James Van Riemsdyk","November 23, 2017 - November 23, 2017","TOR","L","2","11.45","5.89","15.72","-9.83","27.26","30.86","82.38","4.28","12.88","-8.6","24.94","22.43","67.49","1.82","10.25","-8.43","15.08","9.54","53.71","1.83","1.79","0.04","50.55","9.59","9.38","0.14","1.24","-1.1","10.14","0.73","6.5","--","--","--","--","--","100.55","82.54","42.76","86.1","3.27","90.37","39.49","-4.27","183.09","93.64","89.44"
"Josh Leivo","November 23, 2017 - November 23, 2017","TOR","L","2","8.3","6.08","8.19","-2.11","42.61","43.95","59.2","6.08","6.74","-0.66","47.43","43.95","48.72","5.17","3.13","2.04","62.29","37.37","22.63","0.95","--","0.95","100","6.87","--","0.16","0.67","-0.51","19.28","1.16","4.84","--","--","--","--","--","18.38","100","15.62","100","2.63","90.06","12.99","9.94","118.38","92.69","25.68"
"Leo Komarov","November 23, 2017 - November 23, 2017","TOR","C","2","13.68","7.07","14.38","-7.31","32.96","31.01","63.07","7.06","13.14","-6.08","34.95","30.96","57.63","7.1","8.62","-1.52","45.17","31.14","37.81","0.95","--","0.95","100","4.17","--","0.4","1.27","-0.87","23.95","1.75","5.57","--","1","1","--","4.39","13.38","100","13.46","100","5.67","90.33","7.79","9.67","113.38","96","17.38"
"Mitch Marner","November 23, 2017 - November 23, 2017","TOR","C","2","14.85","14.56","12.74","1.82","53.33","58.83","51.47","11.35","9.38","1.97","54.75","45.86","37.9","8.33","4.29","4.04","66.01","33.66","17.33","1.08","--","1.08","100","4.36","--","0.89","0.55","0.34","61.81","3.6","2.22","2","--","-2","8.08","--","12.97","100","9.52","100","7.84","94.14","1.67","5.86","112.97","101.98","10.99"
"Morgan Rielly","November 23, 2017 - November 23, 2017","TOR","D","2","18.75","11.12","16.39","-5.27","40.42","35.58","52.45","9.55","15.43","-5.88","38.23","30.56","49.38","7.86","12.38","-4.52","38.83","25.15","39.62","1.83","0.95","0.88","65.83","5.86","3.04","0.43","1.27","-0.84","25.29","1.38","4.06","2","--","-2","6.4","--","23.28","92.33","19.16","93.84","4.5","91.77","14.66","2.07","115.61","96.27","19.34"
"Nazem Kadri","November 23, 2017 - November 23, 2017","TOR","C","2","13.13","8.04","11.57","-3.53","41","36.74","52.87","8.04","10.29","-2.25","43.86","36.74","47.02","8.09","7.77","0.32","51.01","36.97","35.51","2.03","--","2.03","100","9.28","--","0.85","1.06","-0.21","44.5","3.88","4.84","--","1","1","--","4.57","25.09","100","25.25","100","10.57","89.7","14.68","10.3","125.09","100.27","24.82"
"Nikita Soshnikov","November 23, 2017 - November 23, 2017","TOR","R","2","10.13","1.7","12.73","-11.03","11.78","10.07","75.4","0.87","12.53","-11.66","6.49","5.15","74.22","0.89","9.1","-8.21","8.91","5.27","53.9","--","0.97","-0.97","--","--","5.75","0.04","1.52","-1.48","2.56","0.24","9","--","1","1","--","5.92","--","89.34","--","92.26","4.6","87.87","-4.6","4.39","89.34","92.47","-3.13"
"Nikita Zaitsev","November 23, 2017 - November 23, 2017","TOR","D","2","17.68","10.37","25.46","-15.09","28.94","35.19","86.4","8.15","20.84","-12.69","28.11","27.66","70.72","6.37","13.72","-7.35","31.71","21.62","46.56","1.08","0.85","0.23","55.96","3.67","2.88","0.76","2.33","-1.57","24.6","2.58","7.91","--","1","1","--","3.39","16.95","93.8","13.25","95.92","9.33","88.82","3.93","7.1","110.76","98.14","12.61"
"Patrick Marleau","November 23, 2017 - November 23, 2017","TOR","C","2","13.47","6.09","13.93","-7.84","30.42","27.13","62.05","4.63","12.88","-8.25","26.44","20.62","57.37","3.75","8.54","-4.79","30.51","16.7","38.04","--","0.97","-0.97","--","--","4.32","0.31","1.59","-1.28","16.32","1.38","7.08","--","--","--","--","--","--","88.64","--","92.47","6.7","87.66","-6.7","4.81","88.64","94.35","-5.71"
"Ron Hainsey","November 23, 2017 - November 23, 2017","TOR","D","2","20.27","10.49","17.22","-6.73","37.86","31.05","50.97","9.55","16.27","-6.72","36.99","28.27","48.16","7.86","13.23","-5.37","37.27","23.27","39.16","1.83","0.95","0.88","65.83","5.42","2.81","0.43","1.37","-0.94","23.89","1.27","4.06","2","--","-2","5.92","--","23.28","92.82","19.16","94.16","4.5","91.58","14.66","2.58","116.1","96.08","20.02"
"Tyler Bozak","November 23, 2017 - November 23, 2017","TOR","C","2","11.3","4.85","14.84","-9.99","24.63","25.75","78.8","4.28","11.98","-7.7","26.32","22.73","63.61","1.82","9.34","-7.52","16.31","9.66","49.59","1.83","0.85","0.98","68.28","9.72","4.51","0.14","1.22","-1.08","10.29","0.74","6.48","--","--","--","--","--","100.55","90.9","42.76","92.9","3.27","89.82","39.49","3.09","191.45","93.09","98.36"
"William Nylander","November 23, 2017 - November 23, 2017","TOR","C","2","12.17","4.85","16.96","-12.11","22.24","23.91","83.62","4.28","14.2","-9.92","23.16","21.1","70.01","1.82","10.93","-9.11","14.27","8.97","53.89","1.83","1.79","0.04","50.55","9.02","8.82","0.14","1.28","-1.14","9.86","0.69","6.31","--","1","1","--","4.93","100.55","83.62","42.76","87.39","3.27","90.99","39.49","-3.59","184.17","94.26","89.92"
"Zach Hyman","November 23, 2017 - November 23, 2017","TOR","C","2","14.78","14.61","16.3","-1.69","47.27","59.31","66.17","10.36","12.3","-1.94","45.72","42.06","49.93","7.34","6.6","0.74","52.65","29.8","26.79","1.08","--","1.08","100","4.38","--","0.86","0.76","0.1","53.09","3.49","3.09","2","1","-1","8.12","4.06","14.71","100","10.42","100","8.3","93.82","2.12","6.18","114.71","102.12","12.59"
