"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Ron Hainsey","D","1","1.15","2","2","50.00","2","2","50.00","2","2","50.00","1","0","100.00","1","1","50.00","1","1","50.00","1","0","100.00","50.00","100.00","1.500","0","0","0","0.00"
"","Roman Polak","D","1","2.4833333333333","2","2","50.00","2","2","50.00","2","2","50.00","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","50.00","100.00","1.500","0","2","1","0.00"
"","Zach Hyman","C","1","1.5166666666667","2","2","50.00","2","1","66.67","2","1","66.67","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","50.00","100.00","1.500","1","1","0","100.00"
"","William Nylander","C","1","1.5166666666667","2","2","50.00","2","1","66.67","2","1","66.67","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","50.00","100.00","1.500","1","1","0","100.00"
"","Auston Matthews","C","1","1.85","2","1","66.67","2","0","100.00","2","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","50.00","100.00","1.500","1","1","0","100.00"
"","Patrick Marleau","C","1","1.3333333333333","0","1","0.00","0","1","0.00","0","1","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","0","1","0.00"
"","Leo Komarov","C","1","0.65","0","1","0.00","0","1","0.00","0","1","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","1","0","0.00"
"","James van Riemsdyk","L","1","0.76666666666667","0","1","0.00","0","1","0.00","0","1","0.00","0","0","0.00","0","1","0.00","0","1","0.00","0","0","0.00","0.00","100.00","1.000","0","0","0","0.00"
"","Jake Gardiner","D","1","0.76666666666667","0","1","0.00","0","1","0.00","0","1","0.00","0","0","0.00","0","1","0.00","0","1","0.00","0","0","0.00","0.00","100.00","1.000","0","0","0","0.00"
"","Tyler Bozak","C","1","0.76666666666667","0","1","0.00","0","1","0.00","0","1","0.00","0","0","0.00","0","1","0.00","0","1","0.00","0","0","0.00","0.00","100.00","1.000","0","0","0","0.00"
"","Nazem Kadri","C","1","0.81666666666667","0","1","0.00","0","1","0.00","0","1","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","0","1","0.00"
"","Connor Carrick","D","1","0.83333333333333","0","1","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","1","0","0","100.00"
"","Connor Brown","R","1","0.76666666666667","0","1","0.00","0","1","0.00","0","1","0.00","0","0","0.00","0","1","0.00","0","1","0.00","0","0","0.00","0.00","100.00","1.000","0","0","0","0.00"
"","Travis Dermott","D","1","2.1","0","1","0.00","0","1","0.00","0","1","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","2","1","0.00"
"","Mitchell Marner","C","1","1.3333333333333","0","1","0.00","0","1","0.00","0","1","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","0","1","0.00"
"","Andreas Borgman","D","1","0.83333333333333","0","1","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","1","0","0","100.00"
"","Dominic Moore","C","1","0.46666666666667","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","1","0","0.00"
"","Kasperi Kapanen","R","1","0.46666666666667","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","1","0","0.00"
