"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Ron Hainsey","D","1","13.683333333333","6","29","17.14","3","18","14.29","3","12","20.00","0","1","0.00","4","14","22.22","0","5","0.00","0","1","0.00","0.00","91.67","0.917","3","5","4","42.86"
"","Morgan Rielly","D","1","16.533333333333","11","28","28.21","8","18","30.77","7","12","36.84","0","1","0.00","7","13","35.00","1","5","16.67","0","1","0.00","0.00","91.67","0.917","3","5","4","42.86"
"","Nazem Kadri","C","1","13.483333333333","8","28","22.22","5","17","22.73","4","11","26.67","0","0","0.00","5","14","26.32","0","4","0.00","0","0","0.00","0.00","100.00","1.000","3","3","5","37.50"
"","Connor Brown","R","1","12.633333333333","7","24","22.58","4","16","20.00","3","10","23.08","0","0","0.00","5","12","29.41","0","4","0.00","0","0","0.00","0.00","100.00","1.000","3","3","5","37.50"
"","Leo Komarov","C","1","11.916666666667","6","24","20.00","3","14","17.65","2","8","20.00","0","0","0.00","4","11","26.67","0","4","0.00","0","0","0.00","0.00","100.00","1.000","3","3","5","37.50"
"","Jake Gardiner","D","1","17.35","18","21","46.15","16","15","51.61","11","11","50.00","2","0","100.00","9","9","50.00","5","2","71.43","1","0","100.00","18.18","100.00","1.182","3","7","4","42.86"
"","Roman Polak","D","1","14.483333333333","15","18","45.45","14","14","50.00","10","11","47.62","1","0","100.00","6","8","42.86","1","2","33.33","0","0","0.00","10.00","100.00","1.100","0","5","8","0.00"
"","William Nylander","C","1","15.333333333333","16","14","53.33","14","10","58.33","7","9","43.75","1","1","50.00","6","4","60.00","3","2","60.00","0","1","0.00","14.29","88.89","1.032","2","6","7","22.22"
"","Zach Hyman","C","1","14.2","15","13","53.57","12","8","60.00","5","6","45.45","1","1","50.00","4","4","50.00","2","2","50.00","0","1","0.00","20.00","83.33","1.033","2","5","6","25.00"
"","Matt Martin","L","1","9.3666666666667","7","13","35.00","7","10","41.18","6","6","50.00","1","0","100.00","3","6","33.33","0","1","0.00","0","0","0.00","16.67","100.00","1.167","1","5","2","33.33"
"","Andreas Borgman","D","1","15.783333333333","20","12","62.50","19","10","65.52","13","7","65.00","2","0","100.00","8","3","72.73","3","1","75.00","0","0","0.00","15.38","100.00","1.154","3","6","9","25.00"
"","Patrick Marleau","C","1","14.05","16","12","57.14","13","9","59.09","6","8","42.86","2","1","66.67","6","4","60.00","4","2","66.67","0","1","0.00","33.33","87.50","1.208","2","6","6","25.00"
"","Connor Carrick","D","1","15.516666666667","18","11","62.07","16","6","72.73","10","4","71.43","3","0","100.00","8","3","72.73","4","1","80.00","1","0","100.00","30.00","100.00","1.300","6","6","5","54.55"
"","Mitchell Marner","C","1","9.7","15","10","60.00","15","6","71.43","13","5","72.22","2","0","100.00","9","4","69.23","4","1","80.00","1","0","100.00","15.38","100.00","1.154","3","3","4","42.86"
"","Tyler Bozak","C","1","10.016666666667","14","10","58.33","14","7","66.67","12","5","70.59","2","0","100.00","8","4","66.67","4","1","80.00","1","0","100.00","16.67","100.00","1.167","3","3","4","42.86"
"","Dominic Moore","C","1","9.1833333333333","8","10","44.44","7","9","43.75","6","6","50.00","1","0","100.00","3","5","37.50","0","1","0.00","0","0","0.00","16.67","100.00","1.167","1","5","2","33.33"
"","James van Riemsdyk","L","1","9.6","12","9","57.14","12","5","70.59","10","4","71.43","1","0","100.00","6","2","75.00","3","1","75.00","1","0","100.00","10.00","100.00","1.100","3","3","4","42.86"
"","Kasperi Kapanen","R","1","8.9166666666667","8","9","47.06","8","8","50.00","7","5","58.33","1","0","100.00","4","5","44.44","1","1","50.00","0","0","0.00","14.29","100.00","1.143","1","6","1","50.00"
