"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","James van Riemsdyk","L","1","0.28333333333333","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","100.00","100.00","2.000","1","0","0","100.00"
"","Jake Gardiner","D","1","1.1833333333333","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","100.00","100.00","2.000","1","1","0","100.00"
"","Tyler Bozak","C","1","0.28333333333333","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","100.00","100.00","2.000","1","0","0","100.00"
"","Connor Brown","R","1","0.28333333333333","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","100.00","100.00","2.000","1","0","0","100.00"
"","Nikita Zaitsev","D","1","0.28333333333333","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","100.00","100.00","2.000","1","0","0","100.00"
"","Patrick Marleau","C","1","0.9","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","1","0","0.00"
"","Connor Carrick","D","1","0.9","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","1","0","0.00"
"","William Nylander","C","1","0.9","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","1","0","0.00"
"","Auston Matthews","C","1","0.9","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","1","0","0.00"
