"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Jake Gardiner","D","1","18.466666666667","20","22","47.62","15","14","51.72","11","10","52.38","1","1","50.00","9","13","40.91","4","4","50.00","0","0","0.00","9.09","90.00","0.991","4","8","5","44.44"
"","Roman Polak","D","1","14.016666666667","6","17","26.09","4","13","23.53","2","11","15.38","0","2","0.00","3","9","25.00","1","2","33.33","0","2","0.00","0.00","81.82","0.818","1","4","5","16.67"
"","Auston Matthews","C","1","15.983333333333","15","16","48.39","8","11","42.11","6","10","37.50","2","1","66.67","8","10","44.44","3","3","50.00","1","1","50.00","33.33","90.00","1.233","3","11","4","42.86"
"","Martin Marincin","D","1","12.25","11","16","40.74","7","11","38.89","4","7","36.36","0","1","0.00","4","9","30.77","0","3","0.00","0","0","0.00","0.00","85.71","0.857","2","5","4","33.33"
"","Andreas Borgman","D","1","13.216666666667","6","16","27.27","3","14","17.65","1","11","8.33","1","2","33.33","2","7","22.22","0","3","0.00","0","2","0.00","100.00","81.82","1.818","2","3","4","33.33"
"","Zach Hyman","C","1","15.2","15","15","50.00","9","10","47.37","8","8","50.00","2","1","66.67","7","8","46.67","3","3","50.00","1","1","50.00","25.00","87.50","1.125","3","11","3","50.00"
"","William Nylander","C","1","16.216666666667","16","15","51.61","9","11","45.00","7","10","41.18","2","1","66.67","8","9","47.06","3","3","50.00","1","1","50.00","28.57","90.00","1.186","3","11","3","50.00"
"","Morgan Rielly","D","1","17.583333333333","19","14","57.58","13","10","56.52","11","7","61.11","2","2","50.00","11","8","57.89","8","3","72.73","2","1","66.67","18.18","71.43","0.896","3","11","6","33.33"
"","Ron Hainsey","D","1","16.716666666667","16","13","55.17","12","10","54.55","9","6","60.00","2","2","50.00","9","6","60.00","7","2","77.78","2","1","66.67","22.22","66.67","0.889","2","11","4","33.33"
"","Connor Brown","R","1","10.25","10","13","43.48","8","11","42.11","6","6","50.00","1","4","20.00","5","8","38.46","4","5","44.44","1","3","25.00","16.67","33.33","0.500","3","3","2","60.00"
"","Mitchell Marner","C","1","13.416666666667","12","13","48.00","8","9","47.06","4","7","36.36","0","1","0.00","4","6","40.00","3","0","100.00","0","0","0.00","0.00","85.71","0.857","2","3","7","22.22"
"","Tyler Bozak","C","1","11.883333333333","12","12","50.00","8","10","44.44","4","8","33.33","0","1","0.00","4","6","40.00","3","1","75.00","0","0","0.00","0.00","87.50","0.875","2","3","6","25.00"
"","Patrick Marleau","C","1","12.55","9","11","45.00","7","8","46.67","5","4","55.56","1","3","25.00","5","6","45.45","3","3","50.00","1","2","33.33","20.00","25.00","0.450","2","3","3","40.00"
"","James van Riemsdyk","L","1","12.2","10","11","47.62","6","9","40.00","3","7","30.00","0","1","0.00","3","5","37.50","2","1","66.67","0","0","0.00","0.00","85.71","0.857","2","3","6","25.00"
"","Leo Komarov","C","1","8.6333333333333","5","9","35.71","5","7","41.67","4","5","44.44","1","3","25.00","3","5","37.50","3","2","60.00","1","2","33.33","25.00","40.00","0.650","1","3","2","33.33"
"","Matt Martin","L","1","6.6","4","9","30.77","4","7","36.36","3","6","33.33","0","0","0.00","3","5","37.50","1","1","50.00","0","0","0.00","0.00","100.00","1.000","0","4","2","0.00"
"","Dominic Moore","C","1","7.7833333333333","6","8","42.86","5","6","45.45","4","4","50.00","0","0","0.00","4","3","57.14","1","1","50.00","0","0","0.00","0.00","100.00","1.000","0","4","2","0.00"
"","Josh Leivo","L","1","6.3333333333333","4","6","40.00","4","5","44.44","3","4","42.86","0","0","0.00","3","3","50.00","1","1","50.00","0","0","0.00","0.00","100.00","1.000","1","4","2","33.33"
