"","Player","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Jake Gardiner","D","1","3.8333333333333","2","4","33.33","2","3","40.00","0","2","0.00","0","1","0.00","0","4","0.00","0","2","0.00","0","1","0.00","0.00","50.00","0.500","2","2","2","50.00"
"","Roman Polak","D","1","3.75","1","4","20.00","1","4","20.00","1","4","20.00","0","2","0.00","1","2","33.33","0","2","0.00","0","2","0.00","0.00","50.00","0.500","1","2","0","100.00"
"","Andreas Borgman","D","1","1.5833333333333","0","4","0.00","0","4","0.00","0","4","0.00","0","2","0.00","0","2","0.00","0","2","0.00","0","2","0.00","0.00","50.00","0.500","1","0","0","100.00"
"","Martin Marincin","D","1","2.45","3","3","50.00","3","2","60.00","1","2","33.33","0","1","0.00","1","3","25.00","0","2","0.00","0","1","0.00","0.00","50.00","0.500","2","1","2","50.00"
"","Patrick Marleau","C","1","2.9833333333333","1","3","25.00","1","3","25.00","0","2","0.00","0","2","0.00","0","3","0.00","0","2","0.00","0","2","0.00","0.00","0.00","0.000","2","2","0","100.00"
"","Dominic Moore","C","1","2.4666666666667","1","3","25.00","1","2","33.33","1","2","33.33","0","1","0.00","1","3","25.00","0","2","0.00","0","1","0.00","0.00","50.00","0.500","0","1","2","0.00"
"","Leo Komarov","C","1","2.75","1","3","25.00","1","3","25.00","0","2","0.00","0","2","0.00","0","3","0.00","0","2","0.00","0","2","0.00","0.00","0.00","0.000","2","2","0","100.00"
"","Matt Martin","L","1","2.4666666666667","1","3","25.00","1","2","33.33","1","2","33.33","0","1","0.00","1","3","25.00","0","2","0.00","0","1","0.00","0.00","50.00","0.500","0","1","2","0.00"
"","Josh Leivo","L","1","2.2166666666667","1","3","25.00","1","2","33.33","1","2","33.33","0","1","0.00","1","3","25.00","0","2","0.00","0","1","0.00","0.00","50.00","0.500","0","1","2","0.00"
"","Connor Brown","R","1","2.6166666666667","1","3","25.00","1","3","25.00","0","2","0.00","0","2","0.00","0","3","0.00","0","2","0.00","0","2","0.00","0.00","0.00","0.000","2","2","0","100.00"
"","James van Riemsdyk","L","1","2.6","1","2","33.33","1","2","33.33","0","2","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","1","0","0","100.00"
"","Tyler Bozak","C","1","2.3666666666667","1","2","33.33","1","2","33.33","0","2","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","1","0","0","100.00"
"","Mitchell Marner","C","1","2.8833333333333","1","2","33.33","1","2","33.33","0","2","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","1","0","0","100.00"
"","Ron Hainsey","D","1","4.55","3","1","75.00","1","1","50.00","0","0","0.00","0","0","0.00","3","1","75.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","4","0","0.00"
"","Zach Hyman","C","1","2.2","3","0","100.00","1","0","100.00","0","0","0.00","0","0","0.00","3","0","100.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","3","0","0.00"
"","Morgan Rielly","D","1","3.8666666666667","3","0","100.00","1","0","100.00","0","0","0.00","0","0","0.00","3","0","100.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","3","0","0.00"
"","William Nylander","C","1","2.3","3","0","100.00","1","0","100.00","0","0","0.00","0","0","0.00","3","0","100.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","3","0","0.00"
"","Auston Matthews","C","1","2.2","3","0","100.00","1","0","100.00","0","0","0.00","0","0","0.00","3","0","100.00","0","0","0.00","0","0","0.00","0.00","100.00","1.000","0","3","0","0.00"
