"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Auston Matthews","January 15, 2018 - January 15, 2018","TOR","C","2","18.53","20.21","15.05","5.16","57.32","65.44","48.73","11.26","10.85","0.41","50.93","36.46","35.13","8.81","9.16","-0.35","49.03","28.53","29.66","--","--","--","--","--","1.1","0.48","0.62","69.62","3.56","1.55","1","--","-1","3.24","--","--","100","--","100","9.77","95.58","-9.77","4.42","100","105.35","-5.35"
"Connor Brown","January 15, 2018 - January 15, 2018","TOR","R","2","7.88","4.87","7.58","-2.71","39.12","37.08","57.72","3.24","5.96","-2.72","35.22","24.67","45.38","2.61","3.49","-0.88","42.79","19.87","26.57","--","--","--","--","--","0.07","0.32","-0.25","17.95","0.53","2.44","2","1","-1","15.23","7.61","--","100","--","100","2.16","94.63","-2.16","5.37","100","96.79","3.21"
"Connor Carrick","January 15, 2018 - January 15, 2018","TOR","D","2","22.1","19.88","19.71","0.17","50.21","53.97","53.51","13.26","15.86","-2.6","45.54","36","43.06","10.45","11.59","-1.14","47.41","28.37","31.47","--","--","--","--","--","1.12","0.88","0.24","56","3.04","2.39","3","1","-2","8.14","2.71","--","100","--","100","8.45","94.45","-8.45","5.55","100","102.9","-2.9"
"Frederik Gauthier","January 15, 2018 - January 15, 2018","TOR","C","2","6.53","4.09","5.64","-1.55","42.03","37.58","51.82","2.44","5","-2.56","32.8","22.42","45.94","1.79","2.53","-0.74","41.44","16.45","23.25","--","--","--","--","--","0.06","0.3","-0.24","16.67","0.55","2.76","1","2","1","9.19","18.38","--","100","--","100","2.46","94","-2.46","6","100","96.46","3.54"
"Jake Gardiner","January 15, 2018 - January 15, 2018","TOR","D","3","23.17","24.71","20.59","4.12","54.55","63.99","53.32","15.08","16.65","-1.57","47.53","39.05","43.12","12.23","12.36","-0.13","49.74","31.67","32.01","--","0.42","-0.42","--","1.09","1.21","0.92","0.29","56.81","3.13","2.38","3","1","-2","7.77","2.59","--","96.6","--","97.48","8.02","94.47","-8.02","3","96.6","102.5","-5.9"
"James Van Riemsdyk","January 15, 2018 - January 15, 2018","TOR","L","2","13.4","12.6","11.28","1.32","52.76","56.42","50.51","9.49","10.31","-0.82","47.93","42.49","46.16","7.98","9.68","-1.7","45.19","35.73","43.34","--","--","--","--","--","0.89","0.73","0.16","54.94","3.99","3.27","--","--","--","--","--","--","100","--","100","9.38","92.92","-9.38","7.08","100","102.3","-2.3"
"Leo Komarov","January 15, 2018 - January 15, 2018","TOR","C","2","16.17","11.89","16.74","-4.85","41.53","44.12","62.12","7.39","13.33","-5.94","35.67","27.42","49.46","6.42","11.02","-4.6","36.81","23.82","40.89","--","--","--","--","--","0.35","1.12","-0.77","23.81","1.3","4.16","--","1","1","--","3.71","--","100","--","100","4.74","91.6","-4.74","8.4","100","96.33","3.67"
"Matt Martin","January 15, 2018 - January 15, 2018","TOR","L","2","6.07","4.81","4.79","0.02","50.1","47.55","47.35","2.44","4.14","-1.7","37.08","24.12","40.92","1.79","1.67","0.12","51.73","17.69","16.51","--","--","--","--","--","0.06","0.29","-0.23","17.14","0.59","2.87","1","2","1","9.88","19.77","--","100","--","100","2.46","93","-2.46","7","100","95.45","4.55"
"Mitch Marner","January 15, 2018 - January 15, 2018","TOR","C","3","14.02","13.61","12.34","1.27","52.45","58.25","52.81","10.5","10.24","0.26","50.63","44.94","43.82","8.99","9.6","-0.61","48.36","38.47","41.08","--","0.42","-0.42","--","1.8","1.05","0.75","0.3","58.33","4.49","3.21","--","--","--","--","--","--","95.62","--","95.9","10","92.68","-10","3.22","95.62","102.68","-7.05"
"Morgan Rielly","January 15, 2018 - January 15, 2018","TOR","D","3","21.8","20.66","20.42","0.24","50.29","56.86","56.2","13.78","15.25","-1.47","47.47","37.93","41.97","11.03","13.02","-1.99","45.86","30.36","35.83","--","--","--","--","--","1.13","1.15","-0.02","49.56","3.11","3.17","--","--","--","--","--","--","100","--","100","8.2","92.46","-8.2","7.54","100","100.66","-0.66"
