"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Andreas Borgman","January 9, 2018 - January 9, 2018","TOR","D","1","9.93","15.67","8.35","7.32","65.24","94.68","50.45","12.93","6.18","6.75","67.66","78.13","37.34","10.16","4.24","5.92","70.56","61.39","25.62","1.9","1.78","0.12","51.63","11.48","10.76","0.58","0.54","0.04","51.79","3.5","3.26","--","--","--","--","--","18.7","58.02","14.69","71.2","4.49","91.26","10.21","-20.06","76.72","95.75","-19.03"
"Auston Matthews","January 9, 2018 - January 9, 2018","TOR","C","2","15.65","15.04","9.57","5.47","61.11","57.66","36.69","12.83","7.66","5.17","62.62","49.19","29.37","7.85","6.04","1.81","56.52","30.1","23.16","0.87","0.96","-0.09","47.54","3.34","3.68","0.93","0.94","-0.01","49.73","3.57","3.6","--","2","2","--","7.67","11.08","84.11","6.78","87.47","7.25","87.73","-0.47","-0.26","95.19","94.98","0.21"
"Connor Brown","January 9, 2018 - January 9, 2018","TOR","R","2","5.35","6.65","3.56","3.09","65.13","74.58","39.93","3.96","1.95","2.01","67.01","44.41","21.87","3.96","0.97","2.99","80.32","44.41","10.88","1.06","0.93","0.13","53.27","11.89","10.43","0.1","0.22","-0.12","31.25","1.12","2.47","--","--","--","--","--","26.77","4.12","26.77","52.31","2.53","88.72","24.24","-36.41","30.89","91.24","-60.35"
"Connor Carrick","January 9, 2018 - January 9, 2018","TOR","D","1","11.4","12.8","10.25","2.55","55.53","67.37","53.95","7.19","8.07","-0.88","47.12","37.84","42.47","1.67","4.52","-2.85","26.98","8.79","23.79","--","1.05","-1.05","--","--","5.53","0.37","1.12","-0.75","24.83","1.95","5.89","--","--","--","--","--","--","76.77","--","86.99","5.15","86.12","-5.15","0.87","76.77","91.27","-14.5"
"Frederik Gauthier","January 9, 2018 - January 9, 2018","TOR","C","2","6.73","5.71","7.61","-1.9","42.87","50.91","67.85","3","4.94","-1.94","37.78","26.75","44.04","3","2.92","0.08","50.68","26.75","26.03","--","1.78","-1.78","--","--","15.87","0.09","0.47","-0.38","16.07","0.8","4.19","--","--","--","--","--","--","39.04","--","63.97","3","90.49","-3","-26.52","39.04","93.49","-54.44"
"Jake Gardiner","January 9, 2018 - January 9, 2018","TOR","D","3","22.25","23.4","19.08","4.32","55.08","63.1","51.45","17.28","17.21","0.07","50.1","46.6","46.41","10.43","11.35","-0.92","47.89","28.13","30.61","1.7","1.05","0.65","61.82","4.58","2.83","0.89","1.81","-0.92","32.96","2.4","4.88","1","1","--","2.7","2.7","16.3","90.75","9.84","93.9","5.15","89.48","4.69","4.42","107.05","94.63","12.41"
"James Van Riemsdyk","January 9, 2018 - January 9, 2018","TOR","L","3","13.9","23.06","11.83","11.23","66.09","99.54","51.06","19.76","10.35","9.41","65.63","85.29","44.68","12.97","7.46","5.51","63.49","55.99","32.2","0.83","1.91","-1.08","30.29","3.58","8.24","1.58","0.97","0.61","61.96","6.82","4.19","--","--","--","--","--","6.4","74.4","4.2","81.55","8","90.63","-3.8","-9.08","80.8","98.62","-17.83"
"Leo Komarov","January 9, 2018 - January 9, 2018","TOR","C","1","14.75","19.09","15.22","3.87","55.64","77.65","61.91","15.77","14.25","1.52","52.53","64.15","57.97","9.65","11.33","-1.68","46","39.25","46.09","1.06","--","1.06","100","4.31","--","1.11","1.57","-0.46","41.42","4.52","6.39","1","--","-1","4.07","--","10.98","100","6.72","100","7.04","88.98","-0.32","11.02","110.98","96.02","14.96"
"Matt Martin","January 9, 2018 - January 9, 2018","TOR","L","1","5.2","5.71","3.56","2.15","61.6","65.88","41.08","3","1.95","1.05","60.61","34.62","22.5","3","0.97","2.03","75.57","34.62","11.19","--","0.93","-0.93","--","--","10.73","0.09","0.22","-0.13","29.03","1.04","2.54","--","--","--","--","--","--","4.12","--","52.31","3","88.72","-3","-36.41","4.12","91.72","-87.59"
"Mitch Marner","January 9, 2018 - January 9, 2018","TOR","C","3","14.08","22.01","11.04","10.97","66.6","93.79","47.05","18.71","9.53","9.18","66.25","79.73","40.61","11.92","7.58","4.34","61.13","50.8","32.3","0.83","1.05","-0.22","44.15","3.54","4.47","1.56","0.78","0.78","66.67","6.65","3.32","--","--","--","--","--","6.96","86.15","4.44","88.98","8.34","91.82","-3.9","-2.83","93.11","100.15","-7.04"
