"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Andreas Borgman","January 19, 2018 - January 19, 2018","TOR","D","2","13.72","14.32","14.39","-0.07","49.88","62.62","62.93","7.1","6.65","0.45","51.64","31.05","29.08","4.6","5.26","-0.66","46.65","20.12","23","1.03","--","1.03","100","4.5","--","0.43","0.45","-0.02","48.86","1.88","1.97","2","2","--","8.75","8.75","22.39","100","14.51","100","6.06","93.23","8.45","6.77","122.39","99.29","23.1"
"Auston Matthews","January 19, 2018 - January 19, 2018","TOR","C","2","14.27","15","11.27","3.73","57.1","63.07","47.39","11.72","5.66","6.06","67.43","49.28","23.8","9.49","1.74","7.75","84.51","39.9","7.32","1.87","0.85","1.02","68.75","7.86","3.57","0.96","0.26","0.7","78.69","4.04","1.09","1","1","--","4.2","4.2","19.7","51.15","15.96","84.98","8.19","95.41","7.76","-10.42","70.85","103.6","-32.74"
"Connor Brown","January 19, 2018 - January 19, 2018","TOR","R","3","13.18","5.61","9.61","-4","36.86","25.54","43.75","3.81","4.13","-0.32","47.98","17.34","18.8","3.25","3.07","0.18","51.42","14.8","13.98","--","--","--","--","--","--","0.63","0.11","0.52","85.14","2.87","0.5","--","--","--","--","--","--","100","--","100","16.54","97.34","-16.54","2.66","100","113.87","-13.87"
"Connor Carrick","January 19, 2018 - January 19, 2018","TOR","D","2","15.75","14.76","8.29","6.47","64.03","56.23","31.58","11.57","7.34","4.23","61.18","44.08","27.96","10.02","4.51","5.51","68.96","38.17","17.18","0.8","--","0.8","100","3.05","--","0.82","0.35","0.47","70.09","3.12","1.33","--","1","1","--","3.81","7.98","100","6.91","100","7.09","95.23","-0.17","4.77","107.98","102.32","5.67"
"Frederik Gauthier","January 19, 2018 - January 19, 2018","TOR","C","2","6.43","5.44","4.27","1.17","56.02","50.76","39.84","3.56","2.58","0.98","57.98","33.22","24.07","2.92","2.6","0.32","52.9","27.25","24.26","--","--","--","--","--","--","0.12","0.17","-0.05","41.38","1.12","1.59","--","--","--","--","--","--","100","--","100","3.37","93.41","-3.37","6.59","100","96.78","3.22"
"Jake Gardiner","January 19, 2018 - January 19, 2018","TOR","D","2","20.72","12.6","15.39","-2.79","45.02","36.49","44.57","11.72","3.55","8.17","76.75","33.94","10.28","9.63","0.72","8.91","93.04","27.89","2.08","1.87","0.85","1.02","68.75","5.42","2.46","1.22","0.14","1.08","89.71","3.53","0.41","--","1","1","--","2.9","19.42","-18.06","15.96","76.06","10.41","96.06","5.55","-20","1.36","106.47","-105.1"
"James Van Riemsdyk","January 19, 2018 - January 19, 2018","TOR","L","2","12.62","4.56","8.65","-4.09","34.52","21.68","41.13","3.81","3.12","0.69","54.98","18.11","14.83","3.25","2.06","1.19","61.21","15.45","9.79","--","--","--","--","--","--","0.63","0.09","0.54","87.5","3","0.43","--","--","--","--","--","--","100","--","100","16.54","97.12","-16.54","2.88","100","113.65","-13.65"
"Leo Komarov","January 19, 2018 - January 19, 2018","TOR","C","2","14.05","12.78","11.59","1.19","52.44","54.58","49.49","8.44","5.49","2.95","60.59","36.04","23.44","6.65","3.37","3.28","66.37","28.4","14.39","0.8","--","0.8","100","3.42","--","0.54","0.45","0.09","54.55","2.31","1.92","1","3","2","4.27","12.81","12.03","100","9.48","100","6.4","91.8","3.08","8.2","112.03","98.2","13.83"
"Matt Martin","January 19, 2018 - January 19, 2018","TOR","L","1","5.97","5.44","3.37","2.07","61.75","54.67","33.87","3.56","1.67","1.89","68.07","35.78","16.78","2.92","1.69","1.23","63.34","29.35","16.98","--","--","--","--","--","--","0.12","0.16","-0.04","42.86","1.21","1.61","--","--","--","--","--","--","100","--","100","3.37","90.42","-3.37","9.58","100","93.79","6.21"
"Mitch Marner","January 19, 2018 - January 19, 2018","TOR","C","2","10.23","7.42","8.03","-0.61","48.03","43.52","47.1","4.49","4.28","0.21","51.2","26.33","25.1","2.92","4.34","-1.42","40.22","17.13","25.45","--","--","--","--","--","--","0.14","0.2","-0.06","41.18","0.82","1.17","--","1","1","--","5.87","--","100","--","100","3.12","95.33","-3.12","4.67","100","98.45","1.55"
"Nazem Kadri","January 19, 2018 - January 19, 2018","TOR","C","2","14.52","13.79","9.58","4.21","59.01","56.98","39.59","9.44","4.47","4.97","67.86","39.01","18.47","7.66","2.36","5.3","76.45","31.65","9.75","0.8","--","0.8","100","3.31","--","0.56","0.39","0.17","58.95","2.31","1.61","1","3","2","4.13","12.4","10.44","100","8.47","100","5.93","91.28","2.54","8.72","110.44","97.21","13.24"
"Patrick Marleau","January 19, 2018 - January 19, 2018","TOR","C","2","14.8","13.79","11.11","2.68","55.38","55.91","45.04","9.44","6.08","3.36","60.82","38.27","24.65","7.66","3.98","3.68","65.81","31.05","16.14","0.8","--","0.8","100","3.24","--","0.56","0.41","0.15","57.73","2.27","1.66","1","3","2","4.05","12.16","10.44","100","8.47","100","5.93","93.26","2.54","6.74","110.44","99.19","11.26"
