"Player","Date","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Andreas Borgman","January 23, 2018 - January 23, 2018","TOR","D","2","11.65","11.38","13.1","-1.72","46.49","58.61","67.47","8.04","11.9","-3.86","40.32","41.41","61.29","7.49","9.23","-1.74","44.8","38.58","47.54","--","--","--","--","--","0.51","0.93","-0.42","35.42","2.63","4.79","1","--","-1","5.15","--","--","100","--","100","6.34","92.18","-6.34","7.82","100","98.53","1.47"
"Auston Matthews","January 23, 2018 - January 23, 2018","TOR","C","3","15.3","12.89","16.55","-3.66","43.78","50.55","64.9","10.85","10.71","0.14","50.32","42.55","42","4.15","10.04","-5.89","29.25","16.27","39.37","0.46","--","0.46","1.8","--","0.66","0.46","0.2","58.93","2.59","1.8","--","2","2","--","7.84","11.08","100","4.24","100","6.08","95.7","-1.84","4.3","111.08","101.79","9.3"
"Connor Brown","January 23, 2018 - January 23, 2018","TOR","R","2","10.47","11.78","9.11","2.67","56.39","67.51","52.21","7.41","9.24","-1.83","44.5","42.46","52.95","6.5","6.74","-0.24","49.09","37.25","38.62","--","--","--","--","--","0.24","0.6","-0.36","28.57","1.38","3.44","--","1","1","--","5.73","--","100","--","100","3.24","93.51","-3.24","6.49","100","96.75","3.25"
"Connor Carrick","January 23, 2018 - January 23, 2018","TOR","D","2","15.58","13.19","19.13","-5.94","40.81","50.8","73.67","8.89","14.06","-5.17","38.74","34.24","54.15","8.35","10.33","-1.98","44.7","32.16","39.78","--","--","--","--","--","0.6","1.05","-0.45","36.36","2.31","4.04","1","--","-1","3.85","--","--","100","--","100","6.75","92.53","-6.75","7.47","100","99.28","0.72"
"Dominic Moore","January 23, 2018 - January 23, 2018","TOR","C","1","7.07","2.8","6.14","-3.34","31.32","23.76","52.11","1.82","4.9","-3.08","27.08","15.45","41.58","1.82","3.22","-1.4","36.11","15.45","27.33","--","--","--","--","--","0.02","0.34","-0.32","5.56","0.17","2.89","1","--","-1","8.49","--","--","100","--","100","1.1","93.06","-1.1","6.94","100","94.16","5.84"
"Jake Gardiner","January 23, 2018 - January 23, 2018","TOR","D","3","21.17","22.18","17.87","4.31","55.38","62.86","50.65","17.29","11.2","6.09","60.69","49","31.74","10.66","6.27","4.39","62.97","30.21","17.77","1.47","--","1.47","4.17","--","1.12","0.65","0.47","63.28","3.17","1.84","1","3","2","2.83","8.5","13.79","100","8.5","100","6.48","94.2","2.02","5.8","113.79","100.67","13.12"
"James Van Riemsdyk","January 23, 2018 - January 23, 2018","TOR","L","2","9.92","10.88","8.43","2.45","56.34","65.81","50.99","7.47","7.6","-0.13","49.57","45.18","45.97","5.57","5.79","-0.22","49.03","33.69","35.02","--","--","--","--","--","0.42","0.52","-0.1","44.68","2.54","3.15","--","1","1","--","6.05","--","100","--","100","5.62","93.16","-5.62","6.84","100","98.78","1.22"
"Kasperi Kapanen","January 23, 2018 - January 23, 2018","TOR","R","2","9.08","2.8","6.78","-3.98","29.23","18.5","44.8","1.82","4.9","-3.08","27.08","12.03","32.38","1.82","3.22","-1.4","36.11","12.03","21.28","--","--","--","--","--","0.02","0.34","-0.32","5.56","0.13","2.25","1","--","-1","6.61","--","--","100","--","100","1.1","93.06","-1.1","6.94","100","94.16","5.84"
"Leo Komarov","January 23, 2018 - January 23, 2018","TOR","C","2","11.62","5.74","9.31","-3.57","38.14","29.64","48.07","3.81","6.54","-2.73","36.81","19.67","33.77","3.81","4.17","-0.36","47.74","19.67","21.53","--","--","--","--","--","0.09","0.42","-0.33","17.65","0.46","2.17","1","--","-1","5.16","--","--","100","--","100","2.36","93.58","-2.36","6.42","100","95.94","4.06"
"Mitch Marner","January 23, 2018 - January 23, 2018","TOR","C","3","15.12","18.8","21.69","-2.89","46.43","74.6","86.07","15.57","13.2","2.37","54.12","61.79","52.38","13","9.72","3.28","57.22","51.59","38.57","1.01","--","1.01","4.01","--","0.9","1.15","-0.25","43.9","3.57","4.56","1","2","1","3.97","7.94","7.77","100","6.49","100","5.78","91.29","0.71","8.71","107.77","97.07","10.7"
